tur-pa-9001 | T.8.3.18 | z2 | k0 | Bir kentin sesleri, o kentin saatini tutar. Sabahın ilk ışığında simit tezgâhının tıkırtısı duyulur; öğleye doğru sesler kalabalı… | ✓Kentteki en yüksek ses vapur düdüğüdür.
tur-pa-206 | T.8.3.21 | z2 | k0 | Okulun atletizm takımı sezon boyunca dört farklı mesafede yarıştı. Antrenör, sporcuların katıldığı yarış sayısını ve bu yarışları… | ✓Aylin, yarışlarının yarısından çoğunda ilk ü…
tur-pa-207 | T.8.3.17 | z3 | k0 | Kütüphaneye ilk girdiğimde beni rafların büyüklüğü korkutmuştu. Nereden başlayacağımı bilemeyip en yakın rafın önünde durmuş, kit… | ✓Çünkü bana uygun kitabı ancak açıp bakarak b…
tur-pa-208 | T.8.3.21 | z3 | k0 | Kulüpteki ilk yılımda maçlardan sonra hep aynı şeyi yapardım: Kaçırdığım topları sayardım. Kaç sayı attığımı değil, hangi pası ve… | ✓Kendisinde görmediği başarılı yanlarına
tur-pa-209 | T.8.3.18 | z3 | k0 | Fen kulübü, sınıfta yetiştirdiği fasulye fidelerini dört hafta boyunca izledi. Fideler üç saksıya ekildi; hepsine aynı toprak kon… | ✓Dolaptaki fide, üçüncü haftadan sonra hiç uz…
tur-pa-210 | T.8.3.23 | z3 | k0 | Aşağıda aynı yemek kitabının iki ayrı baskısından, mercimek çorbası tarifinin bulunduğu bölümler verilmiştir. Bu iki metinle ilgi… | ✓İki metinde de çorbanın üzerine tereyağı gez…
tur-pa-211 | T.8.3.23 | z3 | k0 | Aşağıda aynı öykünün başlangıç bölümü, iki ayrı çevirmenin kaleminden verilmiştir. Bu iki bölümle ilgili aşağıdakilerden hangisi … | ✓Anlatılan olay ve ayrıntılar aynıdır, sözcük…
tur-pa-212 | T.8.3.21 | z3 | k0 | Koroya girdiğim gün sesimin ince mi kalın mı olduğunu bilmiyordum. Şef, sırayla herkesi piyanonun yanına çağırdı. Benim sıram gel… | ✓Anlatıcı, kendi yaşadıklarını geriye dönerek…
tur-pa-301 | T.8.3.17 | z3 | k0 | Mutfak dolabının üstünde, kapağı çatlamış bir ekmek kızartma makinesi duruyor. Üç yıl önce bozulduğunda servise götürdüm; usta, y… | ✓Bir aletin gerçek ömrünü, onarılabilecek biç…
tur-pa-302 | T.8.3.25 | z3 | k0 | Karanlık, gökbilimcilerin en çok ihtiyaç duyduğu malzemedir. Şehir ışıkları geceleyin havadaki toz ve nem taneciklerine çarpıp ge… | ✓Gözlem yerinin yüksekliği, sayılan yıldız sa…
tur-pa-303 | T.8.3.16 | z3 | k0 | (I) Müzelerde vitrin aydınlatması yalnızca görmeyi kolaylaştırmak için değil, eseri korumak için de tasarlanır. (II) Işığın içind… | ✓IV
tur-pa-304 | T.8.3.11 | z3 | k0 | Gece yarısını geçe trenin koridorunda tek başıma duruyordum. Camın dışında, ay ışığında gümüş rengine çalan bir ova uzanıp gidiyo… | ✓Olaylar oluş sırasına göre aktarılmış, mekân…
tur-pa-305 | T.8.3.34 | z3 | k0 | Antrenman biliminde toparlanma; vücudun yüklenme sırasında tükettiği kaynakları yeniden kazanması ve dokularında oluşan küçük yır… | ✓Alanında yetkin bir kişinin sözünü doğrudan …
tur-pa-306 | T.8.3.10 | z3 | k0 | Bir dökümhanede fırından çıkan baca gazının sıcaklığı 400 dereceyi aşar. Uzun yıllar bu gaz, filtrelerden geçirildikten sonra doğ… | ✓Başka bir deyişle, bir zamanlar atık sayılan…
tur-pa-307 | T.8.3.21 | z3 | k0 | Bir tarım işletmesi, üç ürününde de salma sulamadan damla sulamaya geçmeyi düşünüyordu. Salma sulamada su, tarlanın başından bıra… | ✓Salma sulamada suyun en çok boşa gittiği ürü…
tur-pa-308 | T.8.3.21 | z4 | k0 | Dünya'dan milyonlarca kilometre uzaktaki bir araştırma aracına komut göndermek, bildiğimiz anlamda “konuşmak” değildir. Sinyal ış… | ✓Araçlar Dünya'dan uzaklaştıkça daha çok sayı…
tur-pa-309 | T.8.3.25 | z4 | k0 | Spor hekimliğinde uzun yıllar, sakatlanmayı önlemenin yolunun antrenman öncesinde yapılan uzun esneme hareketleri olduğu düşünüld… | ✓Sakatlanma sayısındaki azalmanın tek nedeni,…
tur-pa-310 | T.8.3.14 | z4 | k0 | Kuş halkalama; bir kuşun ayağına, üzerinde numara bulunan çok hafif bir bileziğin takılıp hayvanın yeniden doğaya bırakılmasıdır.… | ✓Halkalanan kuşların ne kadarı yeniden yakala…
tur-pa-311 | T.8.3.23 | z4 | k0 | Bir müzenin “Aynı Cümle, İki Ses” adlı küçük sergisinde, on yedinci yüzyılda yazılmış bir gezi kitabının aynı bölümü, iki ayrı çe… | ✓İkinci çeviri, aynı olayı duyulara seslenen …
tur-pa-312 | T.8.3.21 | z4 | k0 | Cep telefonlarında ve dizüstü bilgisayarlarda kullanılan lityum piller, her dolup boşalışta bir miktar yıpranır. Pilin içindeki m… | ✓Pili yüzde seksende prizden çıkarmak, telefo…
tur-pa-001 | T.8.3.16 | z1 | k0 | Bisiklet yolu, asfalta çizilen iki çizgiden ibaret değildir. İyi tasarlanmış bir yol, araç trafiğinden bir bordürle ayrılır; kavş… | ✓İyi bir bisiklet yolunun taşıması gereken öz…
tur-pa-002 | T.8.3.19 | z1 | k0 | Tohum, toprağa düştüğü anda uyanmaz. Kabuğunun altında beklemeye ayarlanmış bir saat vardır: yeterli nem, uygun sıcaklık ve bazı … | ✓Tohumun Sabrı
tur-pa-003 | T.8.3.18 | z1 | k0 | Bir müzede eserlerin yanında duran küçük etiketler rastgele yazılmaz. Etikette eserin adı, yapıldığı dönem, yapımında kullanılan … | ✓Hangi yazı büyüklüğüyle yazıldığına
tur-pa-004 | T.8.3.17 | z2 | k0 | Gökyüzüne bakmak, aslında geçmişe bakmaktır. Gözümüze ulaşan ışık, yola çıktığı yıldızdan yıllar, kimi zaman binlerce yıl önce ay… | ✓Uzaktan gelen ışık, evrenin geçmişini incele…
tur-pa-005 | T.8.3.25 | z2 | k0 | Bir mobilya atölyesinde kesim sırasında ortaya çıkan talaş, uzun yıllar çöpe atıldı. Atölye sahibi geçen yıl talaşı ayrıştırıp pr… | ✓Boya kaplarının değerlendirilememesinin nede…
tur-pa-006 | T.8.3.21 | z2 | k0 | (I) Kamp yeri seçerken dikkat edilmesi gereken ilk şey, alanın dere yatağından uzak olmasıdır. (II) Gece yağan bir yağmur, kilome… | ✓III
tur-pa-007 | T.8.3.18 | z2 | k0 | Bir arama motoruna yazdığınız soruya saniyeler içinde cevap gelmesi, dünyanın dört bir yanına dağılmış veri merkezleri sayesinded… | ✓Denize yerleştirilen sunucuların bakımının n…
tur-pa-008 | T.8.3.21 | z3 | k0 | Uzun mesafe koşucularının bir bölümü, yarış öncesindeki haftaları deniz seviyesinden iki bin metre yukarıda geçirir. Yüksekte hav… | ✓Yükseklik antrenmanı, bütün koşucularda aynı…
tur-pa-009 | T.8.3.25 | z3 | k0 | Bir kıyı ilçesinde belediye, yaz başında iki yakayı birbirine bağlayan bir deniz otobüsü seferi başlattı. Sefer, karayoluyla kırk… | ✓Deniz otobüsünü kullanan yolcuların tamamı d…
tur-pa-010 | T.8.3.17 | z3 | k0 | Çocuk müzeleri, yetişkin müzelerinin küçültülmüş hâli değildir. Bir yetişkin müzesinde ziyaretçiden beklenen, eserin önünde durup… | ✓Amaç, çocuğun bilgiyi hazır almasını değil, …
tur-pa-011 | T.8.3.25 | z4 | k0 | Bir tarım araştırma istasyonunda, aynı buğday çeşidinin dört farklı ekim tarihinde nasıl davrandığı üç yıl boyunca izlendi. Erken… | ✓Tablodaki ortalamalar, bölgenin olağan hava …
tur-pa-012 | T.8.3.21 | z4 | k0 | Bir gök taşı düştüğünde gazetelerde çıkan haberler hep aynı iki sözle başlar: “Az kalsın…” ve “Bilim insanları uyarıyor…” Oysa he… | ✓Bilimsel çalışmanın ağır ve tekrara dayalı y…
tur-pa-1161 | T.8.3.17 | z2 | k0 | Musluğu kapatmak, su tasarrufunun yalnızca görünen yüzüdür. Sofraya gelen her ürünün arkasında, biz görmeden harcanmış bir su var… | ✓Suyu korumak, tüketim seçimlerimizle ilgili …
tur-pa-1162 | T.8.3.18 | z3 | k0 | Kaldırıma bırakılan bir plastik şişe orada kalmaz. Rüzgâr onu ızgaraya, yağmur suyu dereye, dere de denize taşır. Yol boyunca gün… | ✓Kıyı temizliklerine katılanların sayısının a…
tur-pa-1163 | T.8.3.21 | z3 | k0 | Yaz öğlelerinde aynı sokağın iki yakası birbirinden farklıdır. Ağaçların sıralandığı kaldırımda yürümek kolaydır; karşı taraftaki… | ✓Ağaçların şehirdeki işlevinin güzel görünmek…
tur-pa-1164 | T.8.3.19 | z2 | k0 | Aşağıda numaralanmış cümlelerle bir parça oluşturulmuştur. Numaralanmış cümlelerden hangisi düşüncenin akışını bozmaktadır? | ✓III
tur-pa-1165 | T.8.3.16 | z1 | k0 | Çöp diye tek bir şey yoktur. Bir poşetin içindeki kâğıt, cam ve yemek artığı birbirine karıştığında hepsi birden değersizleşir; ı… | ✓Atıkların ayrı kutularda toplanması
tur-pa-1166 | T.8.3.34 | z3 | k0 | Su az olduğunda bahçeden vazgeçmek gerekmez; bahçe, suyu az isteyen bitkilerle de kurulabilir. Akdeniz’in kurak yamaçlarında kend… | ✓Örneklerden yararlanma
tur-pa-1167 | T.8.3.18 | z2 | k0 | Geceyi aydınlatmak, onu yok etmekle aynı şey değildir. Yukarı doğru saçılan sokak lambaları gökyüzünü soluklaştırır; şehirde büyü… | ✓Gece aydınlatmasının tümüyle kaldırılması en…
tur-pa-1168 | T.8.3.19 | z3 | k0 | Yağmur, şehre düştüğü anda sorun olmaya başlar. Toprağa inip süzülebileceği bir yer bulamayınca asfaltın üstünde birikir, ızgaral… | ✓Böylece yağmur, atılması gereken bir yük olm…
tur-pa-1169 | T.8.3.17 | z2 | k0 | Bir balkon saksısı, bir bahçe köşesi ya da yol kenarında biçilmeden bırakılmış dar bir şerit: Arılar için hepsi birer duraktır. Y… | ✓Şehirde bırakılan küçük çiçekli alanlar arıl…
tur-pa-1170 | T.8.3.16 | z1 | k0 | Mutfaktan çıkan çay posası, sebze kabuğu ve bahçeden toplanan kurumuş yapraklar bir köşede üst üste bekletildiğinde çürümeye başl… | ✓Çöpten Çıkan Toprak
tur-pa-1171 | T.8.3.18 | z3 | k0 | Denizin sığ tabanında, uzaktan bakınca çayırı andıran yeşil bir örtü vardır. Deniz çayırları yosun değil, kökü olan gerçek bitkil… | ✓Deniz çayırları koydaki balık türlerinin say…
tur-pa-1172 | T.8.3.21 | z2 | k0 | Dolabımı toplarken hiç giymediğim iki gömlek çıktı; etiketleri bile duruyordu. Ucuzdu, o yüzden almıştım. Bir gömleğin ucuz olmas… | ✓Bir ürünün fiyatının gerçek bedelini gösterm…
tur-pa-1173 | T.8.3.11 | z2 | k0 | Sabah yedide evden çıktı, bisikletini apartman girişinden aldı. İlk yüz metre yine aynıydı: kaldırıma park etmiş bir kamyonet, ar… | ✓Öyküleyici anlatım
tur-pa-1174 | T.8.3.19 | z3 | k0 | Aşağıda numaralanmış cümlelerle bir parça oluşturulmuştur. Numaralanmış cümlelerden hangisi düşüncenin akışını bozmaktadır? | ✓II
tur-pa-1175 | T.8.3.18 | z3 | k0 | Bir okulda yemekhane görevlileri, tabaklardan artan yemeğin ne kadar olduğunu merak etti. Bir hafta boyunca her öğünün ardından a… | ✓Artık miktarı hafta boyunca her gün bir önce…
tur-pa-1176 | T.8.3.21 | z3 | k0 | Dedemin bir bahçe defteri vardı; her yıl kayısının ilk çiçeğini açtığı günü oraya yazardı. Defterde yalnızca kayısı yoktu: İlk kı… | ✓Basit gözlem kayıtlarının iklimdeki değişimi…
tur-pa-1177 | T.8.3.34 | z4 | k0 | Rüzgâr esmediğinde ya da güneş battığında üretim düşer; bu, yenilenebilir kaynakların en çok eleştirilen yanıdır. Oysa asıl sorun… | ✓Sayısal verilerden yararlanma
tur-pa-1178 | T.8.3.17 | z3 | k0 | Bir avuç verimli toprağın oluşması yüzyıllar alır; oysa taşınıp gitmesi tek bir sağanağa bakar. Çıplak bırakılmış bir tarla, ilk … | ✓Toprağı korumanın yolu onu bitki örtüsüz bır…
tur-pa-1179 | T.8.3.19 | z4 | k0 | Kulaklığın bir kulağı susmuştu; ses yalnızca sağdan geliyordu. Bozulan bir kulaklık eskiden tamirciye giderdi; bugün çoğu zaman ö… | ✓Yani onarmanın önündeki asıl engel, kullanıc…
tur-pa-1180 | T.8.3.16 | z2 | k0 | Okulun arka bahçesindeki boş alan iki yıl önce moloz yığınıydı. Şimdi orada sekiz tahta kasa, bir yağmur suyu fıçısı ve bir kompo… | ✓Okul bahçesinde kurulan bostanın öğrettikleri
tur-pa-1061 | T.8.3.17 | z2 | k0 | Maratona hazırlanan biri, antrenmanlarının büyük bölümünü yarış hızının altında bir tempoda koşar. Bu yavaş kilometreler dışarıda… | ✓Yavaş tempolu koşular dayanıklılığın temelin…
tur-pa-1062 | T.8.3.18 | z2 | k0 | Bir basketbol maçında sayıyı atan oyuncunun adı tabelada yazar; o sayıyı hazırlayan pasın adı yazmaz. Oysa iyi bir takımda topun … | ✓Sayı atmak, takıma en az katkı sağlayan işti…
tur-pa-1063 | T.8.3.21 | z3 | k0 | Antrenman defterime yıllarca yalnızca koştuğum kilometreleri yazdım. Dinlendiğim günler defterde boş bir satır olarak kalırdı; on… | ✓Gelişimin asıl olarak dinlenme günlerinde ta…
tur-pa-1064 | T.8.3.19 | z3 | k0 | Aşağıdaki numaralanmış cümleler bir parçadan alınmıştır. Bu cümlelerden hangisi düşüncenin akışını bozmaktadır? | ✓IV
tur-pa-1065 | T.8.3.18 | z4 | k0 | Yüksek bir dağa tırmanan ekipler yola çıkmadan önce bir “dönüş saati” belirler. Bu saat geldiğinde, zirveye ne kadar yaklaşılmış … | ✓Dönüş saatini deftere yazmak, telsizle anıms…
tur-pa-1066 | T.8.3.19 | z3 | k0 | Yüzmeye yeni başlayan biri hızlanmak istediğinde ilk çare olarak kollarını daha hızlı çevirir. Bir süre sonra nefes nefese kalır,… | ✓vücudun sudaki duruşunu düzeltmeye ayrılır
tur-pa-1067 | T.8.3.16 | z1 | k0 | Yeni bir alışkanlık edinmek isteyen çoğu kişi işe büyük bir hedefle başlar: her gün bir saat spor. İlk hafta coşkuyla geçer, ikin… | ✓Alışkanlık kazanmada sürekliliğin önemi
tur-pa-1068 | T.8.3.18 | z2 | k0 | Antrenmana ısınmadan başlamak, soğuk bir motoru hemen son hıza çıkarmaya benzer. Isınma sırasında kalp atışı yavaş yavaş yükselir… | ✓Sakatlanma riskini ölçülebilir ölçüde azaltt…
tur-pa-1069 | T.8.3.18 | z3 | k0 | Bir koşu kulübünde yeni üyelere ilk altı hafta boyunca bir günlük tutturulur; amaç, haftalık yükün nasıl değiştiğini üyenin kendi… | ✓Üyenin altıncı haftada yarışa hazır duruma g…
tur-pa-1070 | T.8.3.19 | z2 | k0 | Uzun bir parkurda asıl sınav yokuşlarda verilir; eğim arttıkça bacaklara binen yük katlanır. Yokuşa gelen acemi bisikletçi çoğunl… | ✓ikincisinin bacaklarında yolun geri kalanı i…
tur-pa-1071 | T.8.3.34 | z3 | k0 | Bir rutin, zihni dağınıklıktan korumak için kurulmuş küçük bir düzendir. Serbest atış çizgisine gelen basketbolcuyu düşünün: topu… | ✓Örnek verme
tur-pa-1072 | T.8.3.19 | z3 | k0 | Ayak bileğini burkan bir sporcunun aklındaki ilk soru hep aynıdır: “Ne zaman geri dönerim?” Ağrı kesildiği gün kendini iyi hissed… | ✓takvim değil, bedenin geçtiği basamaklardır
tur-pa-1073 | T.8.3.19 | z2 | k0 | (I) Maç sonunda bir antrenörün oyuncusuna söylediği “iyi oynadın” sözü, kulağa hoş gelse de aslında pek bir şey öğretmez. (II) Oy… | ✓III
tur-pa-1074 | T.8.3.17 | z1 | k0 | Buz üstünde ilk adımını atan çocuk düşer, kalkar, yine düşer. Kimse ona dengenin formülünü anlatamaz; çünkü denge anlatılarak değ… | ✓Bazı beceriler ancak deneyerek öğrenilebilir.
tur-pa-1075 | T.8.3.11 | z2 | k0 | Sabah altıda alarmı kapatıp yatağın kenarına oturdu. Dışarıda yağmur vardı; camı aralayıp havayı yokladı, sonra ayakkabılarını ba… | ✓Öyküleyici anlatım
tur-pa-1076 | T.8.3.21 | z4 | k0 | Aynı hafta koşmaya başlayan iki komşu düşünün. Birincisi işe büyük bir hevesle girişti: ilk hafta beş gün, her gün yarım saat koş… | ✓Alışkanlığı heves değil, sürdürülebilir bir …
tur-pa-1077 | T.8.3.16 | z3 | k0 | Bir tenis öğreticisi, vuruşunu düzeltmek isteyen öğrencisine önce topu değil, hareketi çalıştırır. Raket elde, top olmadan, ağır … | ✓Ağır Tekrarın Gücü
tur-pa-1078 | T.8.3.19 | z2 | k0 | (I) Okçulukta hedefi tutturmayı belirleyen şey, çoğu zaman kolun gücü değil nefesin düzenidir. (II) Okçuluk, Anadolu'da yüzyıllar… | ✓II
tur-pa-1079 | T.8.3.18 | z3 | k0 | Bir maç boyunca sahadaki her oyuncu aynı işi yapmaz; bu yüzden aynı mesafeyi de koşmaz. Kalecinin koştuğu yol birkaç kilometreyi … | ✓Kanat oyuncusu maçta en çok yorulan oyuncu o…
tur-pa-1080 | T.8.3.17 | z4 | k0 | Bir okul takımı, sezonun en önemli maçını son saniyede kaybetti. Ertesi gün antrenör, herkesin beklediği gibi son hücumu konuşmad… | ✓Sonucu, ondan çok önce biriken küçük kararla…
tur-pa-1001 | T.8.3.16 | z1 | k0 | Kediler karanlıkta bizden çok daha iyi görür. Bunun nedeni gözlerinin arkasında bulunan parlak bir tabakadır. Göze giren ışık bu … | ✓Kedinin gece görüşünü sağlayan göz yapısı
tur-pa-1002 | T.8.3.17 | z1 | k0 | Toprak solucanı sessiz bir işçidir. Toprağın içinde gezinirken açtığı tüneller, suyun ve havanın köklere ulaşmasını kolaylaştırır… | ✓Solucan, fark edilmeden toprağın verimini ar…
tur-pa-1003 | T.8.3.18 | z2 | k0 | Göçmen kuşlar her yıl binlerce kilometre yol alır, üstelik yollarını şaşırmadan. Bu kuşlar yön bulurken tek bir ipucuna güvenmez:… | ✓Göç sırasında hangi düzende uçtuklarına
tur-pa-1004 | T.8.3.17 | z2 | k0 | Kovana dönen bir işçi arı, bulduğu çiçekli alanı arkadaşlarına anlatmak için konuşmaz; dans eder. Peteğin üzerinde sekiz çizer gi… | ✓Arı, dansıyla hem yönü hem uzaklığı arkadaşl…
tur-pa-1005 | T.8.3.16 | z2 | k0 | Aşağıdaki tabloda bir parçanın cümleleri sırasıyla numaralanmıştır. Bu parçada numaralanmış cümlelerden hangisi düşüncenin akışın… | ✓III
tur-pa-1006 | T.8.3.18 | z2 | k0 | Sonbaharda yaprakların sararması, aslında yeni bir rengin ortaya çıkması değildir. Yaprağa yeşil rengini veren madde, bütün yaz b… | ✓Yaprağın rengi, havanın soğumasından bağımsı…
tur-pa-1007 | T.8.3.17 | z2 | k0 | Yiyecek bulan bir karınca yuvaya dönerken arkasında ince bir koku izi bırakır. Yoldaki öteki karıncalar bu kokuyu alıp aynı yolu … | ✓Bu yüzden koloni, işe yaramayan yolları kend…
tur-pa-1008 | T.8.3.19 | z2 | k0 | Kunduz bir dere kenarına yerleşince ilk işi suyu durdurmak olur. Ağaç gövdelerini, dalları ve çamuru üst üste yığarak derenin önü… | ✓Bir Yuvadan Doğan Yaşam Alanı
tur-pa-1009 | T.8.3.18 | z2 | k0 | Yarasa, karanlıkta yol alırken gözlerine değil kulaklarına güvenir. Uçarken kısa ve yüksek sesler çıkarır; bu sesler önündeki nes… | ✓Karanlıkta hiçbir şey göremeyen bir canlıdır.
tur-pa-1010 | T.8.3.17 | z3 | k0 | Bir ormana dışarıdan baktığımızda birbirinden ayrı duran gövdeler, kendi başına büyüyen ağaçlar görürüz. Oysa toprağın altında du… | ✓Ağaçlar, toprak altındaki bir ortaklıkla bir…
tur-pa-1011 | T.8.3.18 | z3 | k0 | Mercanlar kendi başlarına renkli değildir. Dokularının içinde mikroskobik yosunlar barınır; mercana hem rengini hem besininin büy… | ✓Resif M, birkaç hafta içinde eski durumuna d…
tur-pa-1012 | T.8.3.16 | z3 | k0 | Aşağıdaki tabloda bir yazının cümleleri sırasıyla numaralanmıştır. Bu yazıda numaralanmış cümlelerden hangisi düşüncenin akışını … | ✓IV
tur-pa-1013 | T.8.3.21 | z3 | k0 | Akvaryumda bir ahtapotu izlemek insanı şaşırtıyor. Kum rengi bir taşın üstüne geçtiğinde saniyeler içinde kumlaşıyor; yosunlu bir… | ✓Uyum sağlamanın, gizlenmek değil yanıt verme…
tur-pa-1014 | T.8.3.34 | z3 | k0 | Bir bitki, kök saldığı yerden bir adım bile kıpırdayamaz; buna karşılık türünü kilometrelerce öteye taşıyabilir. Bunu, tohumların… | ✓Birbirinden farklı örneklerle düşünce somutl…
tur-pa-1015 | T.8.3.17 | z3 | k0 | Deniz kaplumbağası yavruları kumdan çıktıklarında denizi görmezler; onu bulmaları gerekir. Milyonlarca yıldır kullandıkları ipucu… | ✓Ne var ki bu ipucu, insan yapımı ışıklar yüz…
tur-pa-1016 | T.8.3.11 | z3 | k0 | Teknenin kenarından bakınca suyun derininde gümüş bir bulut görünüyor; binlerce küçük balık, tek bir gövde gibi aynı anda dönüyor… | ✓Görünenler, okurun gözünde canlanacak biçimd…
tur-pa-1017 | T.8.3.18 | z3 | k0 | Kış uykusu, hayvanın kendini kapatıp beklemesi değildir; ölçülü bir azaltma işidir. Yaz sonunda hayvan olağandan çok yer ve vücud… | ✓Uykuya yatan hayvanların yuvalarını birlikte…
tur-pa-1018 | T.8.3.16 | z4 | k0 | Aşağıdaki tabloda bir yazının cümleleri sırasıyla numaralanmıştır. Bu yazıda numaralanmış cümlelerden hangisi düşüncenin akışını … | ✓III
tur-pa-1019 | T.8.3.17 | z4 | k0 | Bir sulak alanın sağlıklı olup olmadığını anlamanın en hızlı yollarından biri, oradaki kurbağaları dinlemektir. Bu, kulağa şairan… | ✓İşte bu yüzden kurbağa sayısındaki azalma, b…
tur-pa-1020 | T.8.3.21 | z4 | k0 | Kuzeyde doğan bir kelebek, sonbaharda güneye doğru binlerce kilometrelik bir yola çıkar. Kışı geçireceği ormanı daha önce hiç gör… | ✓Bir işin, kuşaklar arasında devredilerek tam…
