mat-ck-101 | M.8.1.1.1 | z1 | k1 | 90 sayısının asal çarpanlarına ayrılmış biçimi aşağıdakilerden hangisidir? | ✓2 · 3^{2} · 5
mat-ck-203 | M.8.1.1.2 | z2 | k2 | Bir okulun satranç şenliğine 32 kız ve 48 erkek öğrenci katılmıştır. Öğrenciler; bütün gruplardaki kız sayıları birbirine eşit, e… | ✓5
mat-ck-204 | M.8.1.1.2 | z2 | k2 | Yüzme kursuna giden Kerem 4 günde bir kulaç, 6 günde bir dalış antrenmanı yapmaktadır. Kerem bir pazartesi günü iki antrenmanı da… | ✓Cumartesi
mat-ck-205 | M.8.1.1.2 | z2 | k2 | Bir okulun aile birliği, öğrencilere dağıtmak üzere defter ve kalem alacaktır. Defterler 6'lı, kalemler 8'li paketler hâlinde sat… | ✓7
mat-ck-206 | M.8.1.1.3 | z2 | k2 | Bir okul sergisinde 40 fotoğraf, her satırda eşit sayıda fotoğraf olacak şekilde panoya asılmıştır. Satır sayısı ile bir satırdak… | ✓13
mat-ck-207 | M.8.1.1.1 | z3 | k2 | Bir okul kütüphanesine bağışlanan 60 kitap, aşağıda gösterilen boş kitaplığa yerleştirilecektir. Kütüphane görevlisi Nermin Hanım… | ✓4
mat-ck-208 | M.8.1.1.1 | z3 | k2 | Matematik dersinde "Sayıyı Bul" etkinliği yapılmaktadır. Öğretmen aklından iki basamaklı bir sayı tutmuş ve bu sayıyla ilgili üç … | ✓28
mat-ck-209 | M.8.1.1.2 | z3 | k2 | Bir okulun dikdörtgen biçimindeki bahçesinin kenar uzunlukları görselde verilmiştir. Bahçenin uzun kenarlarından biri okul binası… | ✓18
mat-ck-210 | M.8.1.1.2 | z3 | k2 | Bir okulun koridoruna süsleme amacıyla kırmızı ve mavi ışıklar asılmıştır. Her iki ışık da kendi içinde eşit aralıklarla yanıp sö… | ✓13
mat-ck-211 | M.8.1.1.2 | z3 | k2 | Bir okul, 7 ve 8. sınıf öğrencileri için bilim merkezine gezi düzenlemektedir. Geziye katılacak öğrenci sayıları aşağıdaki tablod… | ✓38
mat-ck-212 | M.8.1.1.3 | z3 | k2 | Bir okulun masa tenisi takımında her sporcunun bir forma numarası vardır. Antrenör, çiftler antrenmanı için ilginç bir kural koym… | ✓6
mat-ck-301 | M.8.1.1.1 | z3 | k3 | Bir kargo firmasının teslimat dolaplarında her dolabın şifresi, dolap numarasından şu kuralla üretilmektedir: Dolap numarası asal… | ✓412
mat-ck-302 | M.8.1.1.2 | z3 | k3 | Bir yer istasyonu, üzerinden geçen iki gözlem uydusunu izlemektedir. Uyduların istasyonun üzerinden art arda iki geçişi arasındak… | ✓75
mat-ck-303 | M.8.1.1.2 | z3 | k3 | Bir pastanede bayram siparişleri için cevizli ve fıstıklı kurabiye üretilmiştir. Kurabiyelerin tamamı, her kutuda eşit sayıda ve … | ✓216
mat-ck-304 | M.8.1.1.3 | z3 | k3 | Makinelerde birbirini döndüren iki dişli çarkın diş sayıları aralarında asal seçilirse her diş, karşı çarkın bütün dişleriyle sır… | ✓4
mat-ck-305 | M.8.1.1.2 | z3 | k3 | Bir kodlama atölyesinde çizgi izleyen iki robot, aşağıda modellenen kapalı pistte test edilmektedir. Robotlar başlangıç çizgisind… | ✓42
mat-ck-306 | M.8.1.1.1 | z3 | k3 | Bir okulun bilim şenliği için LED'li bir yazı panosu tasarlanmaktadır. Tasarımcının elinde 96 adet LED vardır ve LED'lerin tamamı… | ✓6
mat-ck-307 | M.8.1.1.2 | z3 | k3 | Bir kargo aktarma merkezine gelen özdeş koliler, araçlara yüklenmeden önce üst üste istiflenmektedir. Merkezdeki sayaç arızalandı… | ✓4
mat-ck-308 | M.8.1.1.2 | z4 | k3 | Bir belediye, gençlik festivali için dikdörtgen biçimindeki etkinlik alanının çevresine hoparlör direkleri diktirecektir. Alanın … | ✓48
mat-ck-309 | M.8.1.1.2 | z4 | k3 | Bir robot atölyesinde iki uyarı robotu test edilmektedir. A robotu 36 saniyede bir, B robotu ise b saniyede bir ışığını yakmaktad… | ✓5
mat-ck-310 | M.8.1.1.1 | z4 | k3 | Bir kodlama atölyesinde öğrenciler "Asal Avcısı" adlı bir oyun programlamıştır. Oyunun kuralları şöyledir: • Oyun, ekrana yazılan… | ✓768
mat-ck-311 | M.8.1.1.2 | z4 | k3 | Bir serada iki damla sulama vanası zaman ayarlı çalışmaktadır. A vanası 45 dakikada bir, B vanası 60 dakikada bir açılmakta ve he… | ✓29
mat-ck-312 | M.8.1.1.3 | z4 | k3 | Bir dosya indirme programı, indirme sürerken ilerlemeyi ekranda kesir olarak göstermektedir. Program, payı indirilen dosya sayısı… | ✓7
mat-ck-001 | M.8.1.1.1 | z1 | k0 | 126 sayısının asal çarpanlarına ayrılmış biçimi aşağıdakilerden hangisidir? | ✓2 · 3^{2} · 7
mat-ck-002 | M.8.1.1.3 | z1 | k0 | Aşağıdaki sayı çiftlerinden hangisi aralarında asaldır? | ✓8 ve 15
mat-ck-003 | M.8.1.1.2 | z1 | k0 | 12 ile 18 sayılarının en küçük ortak katı (EKOK) kaçtır? | ✓36
mat-ck-004 | M.8.1.1.2 | z2 | k0 | Bir robot atölyesindeki 96 kablo ve 72 sensörün tamamı, özdeş deney setlerine paylaştırılacaktır. Her sette eşit sayıda kablo ve … | ✓7
mat-ck-005 | M.8.1.1.2 | z2 | k0 | Bir limanın girişindeki iki deniz fenerinden biri 45 saniyede bir, diğeri 60 saniyede bir ışık çakmaktadır. Bir gemi kaptanı, iki… | ✓3
mat-ck-006 | M.8.1.1.1 | z2 | k0 | Aşağıdaki çarpan ağacında her kutudaki sayı, o kutunun altındaki iki kutuda yazan sayıların çarpımına eşittir. En alttaki kutular… | ✓245
mat-ck-007 | M.8.1.1.3 | z2 | k0 | Mert, 20'den büyük ve 30'dan küçük doğal sayıların her birini ayrı bir karta yazmıştır. Ardından üzerinde 15 ile aralarında asal … | ✓5
mat-ck-008 | M.8.1.1.2 | z3 | k0 | Veteriner hekim, Zeynep'in kedisi Pamuk için iki ayrı ilaç yazmıştır. İlaçların verilme sıklığı aşağıdaki tabloda gösterilmiştir.… | ✓Perşembe
mat-ck-009 | M.8.1.1.1 | z3 | k0 | Bir simit fabrikasında sabah üretilen simitlerin sayısı, üretim programının ekranında asal çarpanlarına ayrılmış biçimde 2^{3} · … | ✓48
mat-ck-010 | M.8.1.1.3 | z3 | k0 | Ekranların en-boy oranı, genişlik ve yükseklikteki piksel sayıları sadeleştirilerek a : b biçiminde yazılır; burada a ile b arala… | ✓13
mat-ck-011 | M.8.1.1.2 | z4 | k0 | Bir kodlama atölyesinde Defne, girilen iki doğal sayının en büyük ortak bölenini (EBOB) ve en küçük ortak katını (EKOK) hesaplayı… | ✓65
mat-ck-012 | M.8.1.1.3 | z3 | k0 | Bora, bisiklet kilidinin iki basamaklı kodunu unutmamak için defterine şu iki ipucunu yazmıştır: • Kod, bir asal sayı değildir. •… | ✓91
mat-ck-113 | M.8.1.1.1 | z1 | k1 | Aşağıdaki sayılardan hangisi 48'in pozitif tam sayı çarpanı değildir? | ✓18
mat-ck-114 | M.8.1.1.1 | z1 | k1 | 2^{3} · 5 çarpımının değeri aşağıdakilerden hangisidir? | ✓40
mat-ck-115 | M.8.1.1.2 | z1 | k1 | 36 ve 60 sayılarının asal çarpanlarına ayrılmış biçimleri aşağıda verilmiştir. 36 = 2^{2} · 3^{2} 60 = 2^{2} · 3 · 5 Buna göre EB… | ✓12
mat-ck-116 | M.8.1.1.2 | z1 | k1 | Ada 6'şar 6'şar, Bora 10'ar 10'ar sayarken durdukları sayıları aşağıdaki sayı doğrusunda işaretlemiştir. İkisi de 0'dan başlamışt… | ✓30
mat-ck-117 | M.8.1.1.3 | z1 | k1 | Aşağıdaki sayılardan hangisi 21 ile aralarında asaldır? | ✓20
mat-ck-118 | M.8.1.1.1 | z1 | k1 | 180 sayısının kaç farklı asal çarpanı vardır? | ✓3
mat-ck-119 | M.8.1.1.1 | z2 | k1 | Bir kodlama etkinliğinde öğrenciler 1'den 30'a kadar olan doğal sayıları aşağıdaki tabloya yazdıran bir program hazırlamıştır. Pr… | ✓10
mat-ck-120 | M.8.1.1.1 | z2 | k1 | Bir matematik dergisindeki bulmacada bir sayının asal çarpanlarına ayrılmış biçimi yazılmış, çarpanlardan biri koyu bir kutuyla g… | ✓3^{2}
mat-ck-121 | M.8.1.1.3 | z2 | k1 | Bir matematik öğretmeni tahtaya 24 ve 36 sayılarını yazmış ve öğrencilerden şunu istemiştir: "Bu iki sayıyı aynı doğal sayıya böl… | ✓12
mat-ck-122 | M.8.1.1.2 | z2 | k1 | Bir hediyelik eşya mağazasının deposunda yüksekliği 12 cm olan kutularla yüksekliği 18 cm olan kutular bulunmaktadır. Vitrine, ya… | ✓5
mat-ck-123 | M.8.1.1.2 | z2 | k1 | Bir okulun kermesinde 63 bardak limonata ve 84 adet sandviç ziyaretçilere ikram edilecektir. Her ziyaretçiye eşit sayıda limonata… | ✓21
mat-ck-124 | M.8.1.1.2 | z2 | k1 | Bir kafe, açılış gününde müşterilerine aşağıdaki afişte yazan ikram kampanyasını uygulamıştır. O gün kafeye gelen müşteriler, gel… | ✓200
mat-ck-125 | M.8.1.1.3 | z2 | k1 | Bir sınıf etkinliğinde üzerinde 6, 10, 21 ve 25 yazan dört taş vardır. Oyunun kuralına göre iki taş, ancak üzerlerindeki sayılar … | ✓3
mat-ck-213 | M.8.1.1.1 | z2 | k2 | Ada bir sayı tutmuş ve arkadaşlarına ipucu olarak bu sayının asal çarpanlarına ayrılmış biçimini söylemiştir: 2^{2} · 3 · 5. Buna… | ✓6
mat-ck-214 | M.8.1.1.1 | z2 | k2 | Bir matematik kulübü, çalıştığı sayıları aşağıdaki tabloya işlemektedir. Tabloda her sayının yanına asal çarpanlarına ayrılmış bi… | ✓200
mat-ck-215 | M.8.1.1.2 | z2 | k2 | Bir parkın 100 metre uzunluğundaki düz yürüyüş yolunun kenarına, başlangıç noktasından itibaren her 6 metrede bir aydınlatma dire… | ✓5
mat-ck-216 | M.8.1.1.2 | z2 | k2 | Bir atölyede üretilen 90 mavi ve 150 beyaz düğme, birbirinin aynısı kartonlara dikilecektir. Her kartonda eşit sayıda mavi, eşit … | ✓2
mat-ck-217 | M.8.1.1.3 | z2 | k2 | Bir matematik yarışmasının hızlı turunda yarışmacılara şu soru sorulmuştur: "42 ile aralarında asal olan iki basamaklı doğal sayı… | ✓97
mat-ck-218 | M.8.1.1.1 | z2 | k2 | Bir ilçedeki okullar arası voleybol turnuvasına 96 takım katılmıştır. Eleme turlarında takımlar ikişerli eşleşmekte ve her maçı k… | ✓3
mat-ck-219 | M.8.1.1.2 | z2 | k2 | Aşağıdaki şemada A ve B doğal sayılarının asal çarpanları gösterilmiştir. Ortadaki bölgede yazan çarpanlar iki sayıda da bulunmak… | ✓420
mat-ck-220 | M.8.1.1.1 | z3 | k2 | Bir televizyon yarışmasının "Çarpanlara Ayır" bölümünde yarışmacıya bir sayı verilir. Yarışmacı bu sayıyı, ikisi de 1'den büyük i… | ✓20
mat-ck-221 | M.8.1.1.1 | z3 | k2 | Bir takı atölyesinde 300 boncuk vardır. Boncukların tamamı, her dizide eşit sayıda boncuk bulunacak ve hiç boncuk artmayacak biçi… | ✓75
mat-ck-222 | M.8.1.1.2 | z3 | k2 | Bir kırtasiye deposundaki kalemler ve silgiler, her kutuda eşit sayıda kalem ve eşit sayıda silgi bulunacak biçimde kutulanmıştır… | ✓12
mat-ck-223 | M.8.1.1.2 | z3 | k2 | Bir bisiklet tekerleğinin çemberine, jant tellerinin geçirileceği 72 delik eşit aralıklarla açılmış ve delikler 1'den 72'ye kadar… | ✓12
mat-ck-224 | M.8.1.1.3 | z3 | k2 | Bir çerçeveci, çevresi 36 cm olan dikdörtgen biçiminde bir çerçeve yapacaktır. Çerçevenin kenar uzunlukları santimetre cinsinden … | ✓13
mat-ck-225 | M.8.1.1.2 | z3 | k2 | Bir yazılım dersinde öğrenciler, girilen iki doğal sayının bütün ortak pozitif bölenlerini ekrana alt alta yazan bir program hazı… | ✓8
mat-ck-313 | M.8.1.1.1 | z3 | k3 | Bir çiftlikte bir günde toplanan 252 yumurtanın tamamı viyollere yerleştirilecektir. Her viyole eşit sayıda yumurta konulacak ve … | ✓9
mat-ck-314 | M.8.1.1.2 | z3 | k3 | Bir tesisatçı, uzunlukları görselde verilen iki plastik boruyu hiç artmayacak biçimde eşit uzunlukta parçalara ayıracaktır. Parça… | ✓7
mat-ck-315 | M.8.1.1.2 | z3 | k3 | Bir anaokulunda 15 çocuk vardır. Öğretmen, elindeki 60 elma ile 72 mandalinayı çocuklara dağıtacaktır. Her çocuğa eşit sayıda elm… | ✓3
mat-ck-316 | M.8.1.1.1 | z3 | k3 | Bir tiyatro salonundaki 128 koltuk, eşit sayıda koltuk içeren bloklara ayrılmıştır. Salonun krokisi aşağıda verilmiştir. Bir blok… | ✓8
mat-ck-317 | M.8.1.1.3 | z3 | k3 | Bir okul kermesinde çekiliş yapılacaktır. Her bilete iki basamaklı bir numara verilmiştir ve hiçbir numara tekrar etmemektedir. K… | ✓3
mat-ck-318 | M.8.1.1.2 | z3 | k3 | Bir hırdavatçıda vidalar ve dübeller yalnızca kutu hâlinde satılmaktadır. Kutulardaki ürün sayıları aşağıdaki tabloda verilmiştir… | ✓216
mat-ck-319 | M.8.1.1.1 | z3 | k3 | Mert ile Ela, dört zarla oynanan bir tahmin oyunu oynamaktadır. Zarların yüzlerinde 1'den 6'ya kadar sayılar vardır. Sırası gelen… | ✓16
mat-ck-320 | M.8.1.1.2 | z3 | k3 | Bir kitap fuarında A yayınevinin standı 16 dakikada bir, B yayınevinin standı 24 dakikada bir okurlara hediye dağıtmaktadır. Fuar… | ✓2
mat-ck-321 | M.8.1.1.2 | z4 | k3 | Bir okulun kitap bağışı kampanyasında 8. sınıflar 168, 7. sınıflar 252 kitap toplamıştır. Kitaplar kolilenirken şu kurallara uyul… | ✓14
mat-ck-322 | M.8.1.1.2 | z4 | k3 | Selin, 60 gün süren bir yaz kampına katılmıştır. Kampın günleri 1'den 60'a kadar numaralanmıştır ve kamp programı 60. gün de eksi… | ✓3
mat-ck-323 | M.8.1.1.3 | z4 | k3 | Bir animasyon programında iki hareket döngüsü aynı anda başlatılıp sürekli tekrar ettirilmektedir. Birinci döngü 45 kare, ikinci … | ✓47
mat-ck-324 | M.8.1.1.1 | z4 | k3 | Bir okulun geri dönüşüm kulübü topladığı plastik kapakları sayamamış, ancak elindeki kayıtlardan aşağıdaki panoda yazan üç bilgiy… | ✓108
mat-ck-325 | M.8.1.1.3 | z4 | k3 | Nehir'in dedesinden kalma ahşap bir akıl oyununda 3 satır ve 4 sütundan oluşan bir ızgara vardır. Her satırın ve her sütunun başı… | ✓21
mat-ck-013 | M.8.1.1.2 | z2 | k0 | Bir arıcı, hasat ettiği balı kavanozlara doldurmuş ve şu an elinde 98 kavanoz bal birikmiştir. Arıcının kullandığı iki koli türü … | ✓22
mat-ck-014 | M.8.1.1.2 | z4 | k0 | Bir çiçekçinin deposunda, sabah halden aldığı laleler durmaktadır. Çiçekçi bu lalelerin tamamını buketler hâlinde bağlayıp vitrin… | ✓4
mat-ck-015 | M.8.1.1.1 | z4 | k0 | Bir yazılım ekibi, uzun süredir üzerinde çalıştığı mobil oyunu yayımlamaya hazırlanmaktadır. Oyunun toplam 180 bölümü vardır ve b… | ✓9
