tur-yk-101 | T.8.4.16 | z1 | k1 | Aşağıdaki cümlelerin hangisinde "de/da"nın yazımıyla ilgili bir yanlışlık vardır? | ✓Akşam bizde kalmaya sende gelmelisin.
tur-yk-120 | T.8.4.16 | z2 | k1 | (I) Dedem aslen Rizeli ama yıllardır İzmir'de yaşıyor. (II) Her yaz Karadenizdeki köyüne gider. (III) Oradan dönerken bize Rize'n… | ✓II
tur-yk-121 | T.8.4.16 | z2 | k1 | İki arkadaş arasındaki mesajlaşma şöyledir: (I) Dün akşamki maçı izledin mi? (II) Son dakikada atılan golü görünce gözlerime inan… | ✓III
tur-yk-122 | T.8.4.16 | z2 | k1 | (I) Kasabadaki eski kâğıtçı dükkanı kapanmak üzereymiş. (II) Sahibi, yıllardır pek kâr etmediğini söylüyor. (III) Ama mahallenin … | ✓I
tur-yk-123 | T.8.4.16 | z2 | k1 | Aşağıdaki cümlelerin hangisinde tarihle ilgili bir yazım yanlışı vardır? | ✓Ailece 23 nisan'da düzenlenen gösteriye katı…
tur-yk-124 | T.8.4.16 | z2 | k1 | (I) Babaannemin bahçesinde hanımeli ve aslanağzı çiçekleri var. (II) Her sabah erkenden kalkıp onları tek tek sular. (III) Bahçen… | ✓III
tur-yk-125 | T.8.4.16 | z2 | k1 | Aşağıdaki cümlelerin hangisinde yazım yanlışı vardır? | ✓Yüzme yarışında 2.'nci olduğumu duyunca çok …
tur-yk-201 | T.8.4.16 | z2 | k2 | Aşağıdaki cümlelerin hangisinde büyük harflerin kullanımıyla ilgili bir yanlışlık vardır? | ✓Ramazan bayramında fırının önünde uzun kuyru…
tur-yk-202 | T.8.4.16 | z2 | k2 | Aşağıdaki cümlelerin hangisinde kesme işaretinin kullanımıyla ilgili bir yanlışlık vardır? | ✓Ablam, Hacettepe Üniversitesi'ne yerleştiğin…
tur-yk-203 | T.8.4.16 | z2 | k2 | (I) Kardeşim kahvaltıda "Bugün sen de benimle yürüyerek gelecek misin?" diye sordu. (II) Servisle gideceğimi söyleyince yüzü bira… | ✓IV
tur-yk-204 | T.8.4.16 | z2 | k2 | (I) Fen dersinde sınıfı dört kişilik gruplara ayırdık. (II) Her gruba 3'er deney tüpü ve birer termometre verildi. (III) Suyun sı… | ✓II
tur-yk-205 | T.8.4.16 | z2 | k2 | Bir spor kulübünün panosundaki duyuru şöyledir: (I) Kulübümüzün yüzme takımına yeni sporcular alınacaktır. (II) Seçmeler hafta so… | ✓IV
tur-yk-206 | T.8.4.16 | z2 | k2 | Aşağıdaki cümlelerin hangisinde düzeltme işaretinin kullanımıyla ilgili bir yanlışlık vardır? | ✓Bu geleneğin çevre köylerde hala sürdürüldüğ…
tur-yk-207 | T.8.4.16 | z2 | k2 | (I) Tatilde ailece doğu Karadeniz'in yaylalarını gezdik. (II) Kaldığımız evin kuzeyinde sisli bir orman uzanıyordu. (III) Ev sahi… | ✓I
tur-yk-208 | T.8.4.16 | z2 | k2 | Aşağıdaki cümlelerin hangisinde "ki"nin yazımıyla ilgili bir yanlışlık vardır? | ✓Senin projen, benim kinden daha kolay uygula…
tur-yk-209 | T.8.4.16 | z2 | k2 | (I) Kütüphaneden aldığım kitabı iade etmeyi unutmuşum. (II) Görevli, gecikmemi af etti ama bir daha olmamasını rica etti. (III) B… | ✓II
tur-yk-210 | T.8.4.16 | z2 | k2 | Aşağıdaki cümlelerin hangisinde yazım yanlışı vardır? | ✓Yarışmadan önce konuşmanı ezberleye bildin m…
tur-yk-211 | T.8.4.16 | z2 | k2 | (I) Geçen Salı okulumuz, şehrimizdeki halk kütüphanesine bir gezi düzenledi. (II) Gezide, kütüphanenin 1950'lerden kalma kitaplar… | ✓I
tur-yk-212 | T.8.4.16 | z2 | k2 | Aşağıdaki cümlelerin hangisinde yazım yanlışı yoktur? | ✓Kuaförde sıra beklerken bir dergi okudum.
tur-yk-213 | T.8.4.16 | z2 | k2 | (I) Okulumuzun masa tenisi turnuvası 8 Aralık'ta başlayacak. (II) Karşılaşmalar öğle aralarında spor salonunda yapılacak. (III) G… | ✓III
tur-yk-214 | T.8.4.16 | z3 | k2 | (I) Okulumuzun kompozisyon yarışmasında dereceye giren yazılar, ilçedeki bir gazetenin çocuk sayfasında yayımlandı. (II) Yarışmad… | ✓II
tur-yk-215 | T.8.4.16 | z3 | k2 | Kasabamızın meydanındaki saat kulesi yıllardır bozuktu. Geçen bahar belediye, kulenin onarımı için yaşlı bir usta çağırdı. Usta, … | ✓IV
tur-yk-216 | T.8.4.16 | z3 | k2 | Deniz, proje arkadaşı Selin'e şu mesajı gönderiyor: "Merhaba Selin, yarın sabah biz de kütüphaneye gideceğiz. Proje için gereken … | ✓Bu yıl okulun satranç kulübünede katılmaya k…
tur-yk-217 | T.8.4.16 | z3 | k2 | (I) Geçen hafta sonu ailece, sekizyüz yıllık olduğu söylenen kaleyi gezdik. (II) Dedem, surlardaki taşların herbirinin farklı bir… | ✓III
tur-yk-218 | T.8.4.16 | z3 | k2 | Okul kantininin kapısına asılan afiş şöyledir: KİTAP TAKASI Evinde okunmayı bekleyen kitaplar var mı? Onları yeni okurlarla buluş… | ✓istermisin → ister misin
tur-yk-219 | T.8.4.16 | z3 | k2 | Çocukken yazları dedemin köyünde geçirirdim. Köyün meydanında akşam üstü (I) toplanır, yaşlıların anlattığı hikâyeleri dinlerdik.… | ✓IV
tur-yk-220 | T.8.4.16 | z3 | k2 | Sınavdan önceki hafta - - - - konuyu yeniden gözden geçirdim. Sınav sabahı kafamda - - - - yerli yerindeydi; soruları okurken - -… | ✓birçok – her şey – bir an
tur-yk-221 | T.8.4.16 | z3 | k2 | Aşağıdaki cümlelerin hangisinde yazım yanlışı vardır? | ✓Yaşlı bir balıkçı, "Madem ki denizden geçini…
tur-yk-222 | T.8.4.16 | z3 | k2 | (I) Sosyal bilgiler kulübü olarak geçen ay TBMM'ye bir gezi düzenledik. (II) O binayı daha önce televizyonda görmüştüm ama içi ba… | ✓IV
tur-yk-223 | T.8.4.16 | z3 | k2 | Okul gazetesinde çıkan haber şöyledir: "Okulumuzun robotik takımı bu yıl ilk kez ulusal bir yarışmaya katıldı. Takımın tasarladığ… | ✓Robotumuz, Çevre Kulübü'nün hazırladığı serg…
tur-yk-224 | T.8.4.16 | z3 | k2 | (I) Mahallemizdeki eski sinema salonu, yıllarca kapalı kaldıktan sonra bir atolyeye dönüştürüldü. (II) Salonun perdesinin bulundu… | ✓I
tur-yk-225 | T.8.4.16 | z3 | k2 | Aşağıdaki cümlelerin hangisinde yazım yanlışı yoktur? | ✓Sergi için birkaç arkadaşımla birlikte eski …
tur-yk-301 | T.8.4.16 | z3 | k3 | Okul panosuna asılacak gezi duyurusunu hazırlayan öğrenci, metni öğretmenine göstermeden önce bir kez daha okumak istiyor. (I) Gö… | ✓II
tur-yk-302 | T.8.4.16 | z3 | k3 | Okul bahçesinde küçük bir sebze bahçesi kuran sınıfın sorumlusu Ece, arkadaşlarına aşağıdaki mesajı yazdı: (I) Arkadaşlar, yarınk… | ✓IV
tur-yk-303 | T.8.4.16 | z3 | k3 | Arda, yaz tatilinde köydeki evlerinin boyanmasını anlatan bir yazı yazdı: (I) Annem, bu yaz köydeki evi boyayacağımızı söyledi; ö… | ✓I
tur-yk-304 | T.8.4.16 | z3 | k3 | Okul gazetesinde yayımlanacak bir haber metni aşağıda verilmiştir: (I) Okulumuzun düzenlediği yardım koşusuna bu yıl dört yüz on … | ✓III
tur-yk-305 | T.8.4.16 | z3 | k3 | Okul gazetesinin bu ayki sayısı için öğrencilerin yazdığı haber cümlelerinden dördü aşağıda verilmiştir. Gazetenin editörü, cümle… | ✓Sözcüklerin doğru yazılışını TDK'nın sitesin…
tur-yk-306 | T.8.4.16 | z3 | k3 | Elif ile Nehir'in akşam yazıştığı mesajlar aşağıda sırayla verilmiştir: Elif: (I) Sınavdan sonra kütüphaneye uğrayacakmısın? Nehi… | ✓I
tur-yk-307 | T.8.4.16 | z3 | k3 | Zeynep, dedesinin eski dükkânını anlattığı kompozisyondan bir bölümü öğretmenine gösterdi: (I) Dedemin dükkânı, çarşının en eski … | ✓IV
tur-yk-308 | T.8.4.16 | z3 | k3 | Defne, ailesiyle çıktığı bir şehir gezisinden sonra günlüğüne dört cümle yazdı. Türkçe öğretmeni, cümlelerden birinde birleşik bi… | ✓Asansörden inince manzara karşısında birkaç …
tur-yk-309 | T.8.4.16 | z3 | k3 | Okulun tiyatro kulübü, yeni oyunu için aşağıdaki duyuruyu hazırladı: (I) Sahne dekorları için orjinal fikirlerinizi kulüp panosun… | ✓I
tur-yk-310 | T.8.4.16 | z3 | k3 | Kerem, üniversitede okuyan ablasını anlatan bir paragraf yazdı: (I) Ablam, geçen yıl Ankara Üniversitesine kaydını yaptırdı. (II)… | ✓IV
tur-yk-311 | T.8.4.16 | z3 | k3 | Okul yönetimi, yıl boyunca yapılacak etkinlikleri duyurmak için bir takvim hazırlıyor. Takvim için yazılan cümlelerden dördü aşağ… | ✓Kitap fuarı ziyaretimiz, bu yıl da Mart ayın…
tur-yk-312 | T.8.4.16 | z3 | k3 | Bazı sözcükler düzeltme işareti (^) alıp almamasına göre farklı anlamlar taşır. Bir öğrenci, bu sözcüklerden birini işaretsiz yaz… | ✓Dedemin dükkânı bu ay kar etmediği için yeni…
tur-yk-313 | T.8.4.16 | z3 | k3 | Şehrin halk kütüphanesini tanıtan bir broşürden alınan metin aşağıda verilmiştir: (I) Şehrimizin ilk halk kütüphanesi 1958'de açı… | ✓IV
tur-yk-314 | T.8.4.16 | z3 | k3 | Baran, hafta sonu yaptıkları aile ziyaretini anlatan bir paragraf yazdı: (I) Hafta sonu Kırşehir'de yaşayan Nermin Teyzemi ziyare… | ✓I
tur-yk-315 | T.8.4.16 | z3 | k3 | Okul kütüphanesinin gönüllü öğrencileri, panoya asmak için kısa notlar yazdı. Kütüphane öğretmeni, notlardan birinde "ki"nin yanl… | ✓Yarın ki söyleşinin afişlerini koridordaki p…
tur-yk-316 | T.8.4.16 | z4 | k3 | Defne'nin arkadaşına yazdığı e-posta aşağıda verilmiştir: Sevgili Arda, Geçen hafta anlattığın kitabı ben de aldım. Kitap o kadar… | ✓bitirdin mi — Kent Kütüphanesine
tur-yk-317 | T.8.4.16 | z4 | k3 | Okul yönetiminin velilere gönderdiği duyuru aşağıda verilmiştir: Değerli Velilerimiz, Okulumuzun geleneksel kitap şenliği 14 Mayı… | ✓Kurum ve kuruluş adlarına gelen ekler kesme …
tur-yk-318 | T.8.4.16 | z4 | k3 | Aşağıdaki metin, bir öğrencinin "Mahallemizin Unutulmayanları" başlıklı yazısından alınmıştır: Kasabanın tek kitapçısı, meydandak… | ✓III ve IV
tur-yk-319 | T.8.4.16 | z4 | k3 | Okul gazetesinin muhabiri, kasabanın kültür merkezinde düzenlenen bir halk müziği konserini haberleştirdi. Konsere çevre illerden… | ✓Gecenin sunuculuğunu, Çanakkale Boğazı'nı an…
tur-yk-320 | T.8.4.16 | z4 | k3 | Okulun fen kulübü, panoya aşağıdaki duyuruyu astı: Bilim şenliğimiz bu dönem her salı saat 15.30'da okulumuzun ikinci katındaki f… | ✓"Velilerde" → "Veliler de": Bağlaç olan "de"…
tur-yk-321 | T.8.4.16 | z4 | k3 | Türkçe öğretmeni, öğrencilerin kompozisyonlarında sık rastladığı dört cümleyi tabloya yazdı ve her birinin yanına kısa bir not dü… | ✓I
tur-yk-322 | T.8.4.16 | z4 | k3 | Sınıfça hazırlanan "Sayılarla Ailemiz" panosu için her öğrenci, ailesinin gündelik yaşamından bir ayrıntıyı anlatan kısa bir cüml… | ✓Kırtasiyeden aldığım 45 TL'lık defterin fiya…
tur-yk-323 | T.8.4.16 | z4 | k3 | Doruk, yaz tatilinde dedesiyle yaptığı Karadeniz gezisini anlatan bir yazı yazdı. Öğretmeni yazıyı okuduktan sonra yalnızca bir c… | ✓II
tur-yk-324 | T.8.4.16 | z4 | k3 | Okul gazetesine gönderilen bir haber metni aşağıda verilmiştir: Çevre kulübümüz, bu yıl genç doğa gönüllüleri derneği'nin düzenle… | ✓Genç Doğa Gönüllüleri Derneğinin — Doğu Anad…
tur-yk-325 | T.8.4.16 | z4 | k3 | Nehir, sınıf gezisinin ayrıntılarını arkadaşına bildirmek için bir e-posta yazdı. E-postayı aceleyle gönderdiği için birkaç yazım… | ✓Sayıların yazımı
tur-yk-001 | T.8.4.16 | z1 | k0 | Aşağıdaki cümlelerin hangisinde "de"nin yazımıyla ilgili bir yanlış yapılmıştır? | ✓Bende sizinle sinemaya gelmek istiyorum.
tur-yk-002 | T.8.4.16 | z1 | k0 | Aşağıdaki sözcüklerden hangisinin yazımı yanlıştır? | ✓antreman
tur-yk-003 | T.8.4.16 | z1 | k0 | Aşağıdakilerin hangisinde sayının yazımı yanlıştır? | ✓yüzelli sayfa
tur-yk-004 | T.8.4.16 | z2 | k0 | Okuma kulübü, öğrencilerin okuma alışkanlıklarını öğrenmek için dört soruluk bir anket hazırladı. Anketi panoya asmadan önce kont… | ✓Kitap okurken müzik dinlermisin?
tur-yk-005 | T.8.4.16 | z2 | k0 | Sınıf dergisinin "Tatil Notları" bölümü için yazılan cümlelerden dördü aşağıda verilmiştir. Dergiyi hazırlayanlar, cümlelerden bi… | ✓Kumbaramda biriken 200 Lira ile yeni bir söz…
tur-yk-006 | T.8.4.16 | z2 | k0 | Bir öğrencinin günlüğünden alınan dört cümle aşağıda verilmiştir. Öğretmeni, cümlelerden birinde iki sözcükten oluşan bir ifadeni… | ✓Konser biletlerini aylar önce almıştık ama h…
tur-yk-007 | T.8.4.16 | z2 | k0 | Düzeltme işareti (^), bazı sözcüklerde anlam karışıklığını önlemek, bazılarında da ince okunuşu göstermek için kullanılır. Bir öğ… | ✓Hâlam bize her yaz bahçesinden bir kasa kira…
tur-yk-008 | T.8.4.16 | z2 | k0 | Bir öğrenci, ödevinde kısaltmaları kullanırken dört cümle yazdı. Cümlelerden birinde kısaltmanın kendisi yanlış yazılmıştı. Bu ya… | ✓Göz muayenesi için Dr Leyla Tan'ın muayeneha…
tur-yk-009 | T.8.4.16 | z3 | k0 | Bisiklet kulübünün hazırladığı etkinlik raporundan bir bölüm aşağıda verilmiştir: (I) Bisiklet turumuza bu yıl otuziki öğrenci ka… | ✓I
tur-yk-010 | T.8.4.16 | z3 | k0 | Sınıfın fidan dikme etkinliğini anlatan bir yazı aşağıda verilmiştir: (I) Sınıfımızın fidan dikme etkinliği okulun arka bahçesind… | ✓IV
tur-yk-011 | T.8.4.16 | z3 | k0 | Okulun duyuru panosunda yer alan haberlerden dört cümle aşağıda verilmiştir. Pano sorumlusu öğrenci, cümlelerden birinde yabancı … | ✓Bilim yarışmasına katılacak projelerin proğr…
tur-yk-012 | T.8.4.16 | z3 | k0 | Aslı, dedesiyle ilgili bir anısını anlatan paragraf yazdı: (I) Dedem, 19 Mayıs 1919 tarihinin anlamını bize her yıl yeniden anlat… | ✓II
tur-yk-013 | T.8.4.16 | z4 | k0 | Okul gazetesine gönderilen bir haber aşağıda verilmiştir: Okulumuzun kütüphane kulübü bu dönem sınıflara kitaplık kurmak için bir… | ✓"Çınar Ortaokulunun" → "Çınar Ortaokulu'nun"
tur-yk-014 | T.8.4.16 | z4 | k0 | Sınıfta "Ailemin Göç Hikâyesi" konulu bir yazı çalışması yapıldı. Öğretmen, öğrencilerin yazılarından seçtiği dört cümleyi tahtay… | ✓Dedem, 1974'te Almanya'dan dönünce Konya ili…
tur-yk-015 | T.8.4.16 | z4 | k0 | Bir öğrencinin okul gazetesi için yazdığı haberden bir bölüm aşağıda verilmiştir: Okulumuzda bu yıl ilk kez bir "Söz Avcıları" ya… | ✓I – 1, II – 2, III – 3
