tur-gg-101 | T.8.3.32 | z1 | k1 | Aşağıdaki grafikte bir okul kütüphanesinden bir hafta boyunca ödünç alınan kitap sayıları gösterilmiştir. Bu grafiğe göre aşağıda… | ✓Çarşamba günü ödünç alınan kitap sayısı en a…
tur-gg-219 | T.8.3.32 | z3 | k2 | Bir şehrin içme suyunu sağlayan barajın doluluk oranları, 2025 ve 2026 yıllarının ilk altı ayı için aşağıdaki grafikte gösterilmi… | ✓2026’daki artışın nedeni, bahar aylarında dü…
tur-gg-220 | T.8.3.27 | z3 | k2 | Aşağıda bir okulun bilim fuarı afişi ve fuara başvuran dört takımın bilgileri verilmiştir. Afişteki koşullara göre başvurusu kabu… | ✓Kozalak
tur-gg-221 | T.8.3.32 | z3 | k2 | Bir okulda 8. sınıf öğrencilerine "Boş zamanında en çok ne yaparsın?" diye sorulmuştur. Her öğrenci yalnızca bir cevap vermiştir.… | ✓Spor yapanlar, ankete katılanların üçte biri…
tur-gg-222 | T.8.3.32 | z3 | k2 | Aşağıdaki tabloda üç sınıfın gezi yeri oylamasının sonuçları verilmiştir. Oylamayı okul gazetesine yazan Duru, yazısını şöyle bit… | ✓8-C’de en çok oy alan yer toplamda son sırad…
tur-gg-223 | T.8.3.27 | z3 | k2 | Bir kargo şirketinin internet sitesinde, siparişin müşteriye ulaşma sürecini anlatan aşağıdaki bilgi görseli yer almaktadır. Kere… | ✓Çarşamba
tur-gg-224 | T.8.3.27 | z3 | k2 | Aşağıda bir yerel haber sitesinde yayımlanan haber görseli verilmiştir. Görselin üst kısmında haberin başlığı, alt kısmında ise b… | ✓Yalnızca bisiklet yolu iddiası grafiklerle d…
tur-gg-225 | T.8.3.32 | z3 | k2 | Elif, ekran süresini sınırlamak için kendine şu hedefi koymuştur: "Hafta içi her gün en fazla 2 saat, hafta sonu her gün en fazla… | ✓3
tur-gg-301 | T.8.3.32 | z3 | k3 | Bir semt pazarında sebze satan Hasan Amca, iki hafta boyunca tezgâhından satılan sebzeleri tartmış ve sonuçları aşağıdaki grafikt… | ✓Yalnızca salatalıkta satılan miktar iki haft…
tur-gg-302 | T.8.3.27 | z3 | k3 | Bir ortaokulun koro öğretmeni, öğrencileriyle hazırladığı konseri duyurmak için aşağıdaki afişi okul panosuna asmıştır. Bu afişe … | ✓Konseri izleyecek her öğrencinin yanında bir…
tur-gg-303 | T.8.3.32 | z3 | k3 | Bir yayla köyünde pansiyon işleten bir aile, mayıs-ekim ayları arasında ağırladığı misafir sayısını aşağıdaki grafikte göstermişt… | ✓Temmuz ile ağustos arasındaki artış, haziran…
tur-gg-304 | T.8.3.27 | z3 | k3 | Aşağıdaki çizgi romanda dört arkadaşın birlikte hazırladığı bir grup projesinin başı, ortası ve sonu gösterilmiştir. Karelerde ba… | ✓Grup çalışmasında emeğin ve başarının adil p…
tur-gg-305 | T.8.3.32 | z3 | k3 | Bir okul, 38 öğrenci ve 4 öğretmenle bir bilim müzesine gezi düzenleyecektir. Otobüsün sabah 08.30'da okulun önünde hazır olması … | ✓N firması
tur-gg-306 | T.8.3.32 | z3 | k3 | Bir belediyenin düzenlediği halk koşusuna 13 yaş ve üzerindeki 400 kişi katılmıştır. Koşu sonunda katılımcıların yaş gruplarına g… | ✓13-17 yaş grubundakiler, 36-60 yaş grubundak…
tur-gg-307 | T.8.3.27 | z3 | k3 | Bir göl kenarındaki kano kiralama noktasında aşağıdaki bilgi görseli asılıdır. Kanolar yarım saatlik dilimler hâlinde kiralanmakt… | ✓Kanoyu 2 saat kullanan kişi toplam 120 TL öd…
tur-gg-308 | T.8.3.27 | z3 | k3 | Aşağıdaki karikatürde, deniz kenarında gün batımını izlemeye gelmiş bir grup insan çizilmiştir. Karikatürde hiçbir konuşma ya da … | ✓Anı yaşamak yerine onu kaydetmeye odaklanılm…
tur-gg-309 | T.8.3.32 | z3 | k3 | Elif'in okulu hafta içi her gün 15.40'ta bitmektedir. Elif, okuldan ilçedeki müzik okuluna 30 dakikada ulaşabilmektedir. Salı ve … | ✓Gitar kursu
tur-gg-310 | T.8.3.32 | z3 | k3 | Arda ile kız kardeşi Ece, aynı gün kumbaralarına 40'ar lira koyarak para biriktirmeye başlamıştır. İki kardeş altı hafta boyunca … | ✓İki kardeşin birikimleri arasındaki fark 4. …
tur-gg-311 | T.8.3.27 | z3 | k3 | Bir ortaokulun hayvan dostları kulübü, sokak hayvanları için mama bağışı kampanyası düzenleyecektir. Kulüp, kampanya afişlerinde … | ✓III
tur-gg-312 | T.8.3.32 | z3 | k3 | Bir banliyö hattındaki trenlerin istasyonlardan geçiş saatleri aşağıdaki tabloda verilmiştir. Trenler tabloda yukarıdan aşağıya d… | ✓11.05
tur-gg-313 | T.8.3.27 | z3 | k3 | Aşağıdaki çizgi romanın ilk karesinde öğretmen, sınıfa proje ödevinin teslim tarihini duyurmaktadır. İkinci kare ise aradan üç ha… | ✓İşini son güne bırakıp sorumluluğu başkaları…
tur-gg-314 | T.8.3.32 | z3 | k3 | Sağlıklı beslenme projesi hazırlayan Zeynep, marketteki üç kahvaltılık gevreğin paketlerinde yazan besin değerlerini aşağıdaki ta… | ✓Enerjisi en düşük olan gevrek, en az şeker i…
tur-gg-315 | T.8.3.27 | z3 | k3 | Bir ortaokulun çevre kulübü, yıl sonunda okulda toplanan atıkları türlerine göre tartmış ve sonuçları okul panosunda aşağıdaki bi… | ✓Bu yıl toplanan kâğıt, diğer üç atığın topla…
tur-gg-316 | T.8.3.32 | z4 | k3 | Bir haber sitesi, K ve L kasabalarının son dört yıldaki nüfuslarını aşağıdaki iki grafikle vermiştir. Haberin başlığı "K kasabası… | ✓Dört yılda nüfusu daha çok artan kasaba L ka…
tur-gg-317 | T.8.3.32 | z4 | k3 | Bir ortaokulun 8. sınıf öğrencilerine mezuniyet gezisi için dört seçenek sunulmuş, her öğrenci yalnızca bir seçeneğe oy vermiştir… | ✓IV
tur-gg-318 | T.8.3.32 | z4 | k3 | Beden eğitimi öğretmeni, dört öğrencisinin yaşını, günlük etkinliklerini ve spor alışkanlıklarını göz önünde bulundurarak her bir… | ✓Hedefine ulaşamayanlardan Cem'in eksiği, Ada…
tur-gg-319 | T.8.3.27 | z4 | k3 | Bir ilçe halk kütüphanesi, öğrenciler için bir öykü yarışması düzenlemiş ve aşağıdaki afişi hazırlamıştır. Yarışmaya başvuran dör… | ✓Cenk
tur-gg-320 | T.8.3.32 | z4 | k3 | Bir alışveriş merkezinin otoparkında her gün saat 13.00'te ölçülen doluluk oranları, geçen hafta ve bu hafta için aşağıdaki grafi… | ✓Bu hafta cuma ulaşılan oran, geçen haftanın …
tur-gg-321 | T.8.3.27 | z4 | k3 | Bir okul kütüphanesinin girişinde aşağıdaki afiş asılıdır. Deniz, 3 Mart'ta kütüphaneden bir roman ödünç almıştır. Ödünç süresi d… | ✓1 Nisan
tur-gg-322 | T.8.3.32 | z4 | k3 | Bir ilçedeki iki halk kütüphanesinin yılın ilk üç ayındaki ziyaretçi sayıları aşağıdaki grafikte verilmiştir. Yerel bir gazete, b… | ✓III
tur-gg-323 | T.8.3.27 | z4 | k3 | Bir çevre dergisinin "Dolabına bir bak" başlıklı sayfasında aşağıdaki karikatür ile bilgi notu yan yana yayımlanmıştır. Karikatür… | ✓Gereğinden fazla giysi almak, görünmeyen bir…
tur-gg-324 | T.8.3.32 | z4 | k3 | Bir sinema salonunda yalnızca tam, öğrenci, öğretmen ve çocuk bileti satılmaktadır. Salonda hafta içindeki beş günün her birinde … | ✓Hafta içinde en çok öğrenci bileti satılan g…
tur-gg-325 | T.8.3.32 | z4 | k3 | Bir gençlik merkezi, hafta sonu için dört etkinlik planlamaktadır. Merkezdeki salonların hafta sonu boş olduğu saatler Tablo 1'de… | ✓Belgesel gösterimi
tur-gg-001 | T.8.3.27 | z1 | k0 | Okul panosunda aşağıdaki afiş asılıdır. Bu afişe göre turnuvaya katılmak isteyen bir öğrenci en geç hangi tarihte kayıt yaptırmal… | ✓15 Ekim
tur-gg-002 | T.8.3.32 | z1 | k0 | Bir sınıftaki öğrencilere en sevdikleri meyve sorulmuş, her öğrenci yalnızca bir meyve söylemiştir. Sonuçlar aşağıdaki grafikte g… | ✓4
tur-gg-003 | T.8.3.32 | z1 | k0 | Bir botanik bahçesinin ziyaret saatleri aşağıdaki tabloda verilmiştir. Tabloya göre botanik bahçesi aşağıdaki zamanların hangisin… | ✓Perşembe, saat 17.30
tur-gg-004 | T.8.3.32 | z2 | k0 | Yusuf'un girdiği beş deneme sınavındaki Türkçe netleri aşağıdaki grafikte gösterilmiştir. Bu grafiğe göre aşağıdakilerden hangisi… | ✓En büyük artış, üçüncü denemeden dördüncüye …
tur-gg-005 | T.8.3.27 | z2 | k0 | Aşağıdaki iki karelik çizgi romanda, okul kütüphanesine kitap taşıyan bir öğrenci ile arkadaşı çizilmiştir. Çizgi romanda hiç kon… | ✓Yardımsever olmak
tur-gg-006 | T.8.3.27 | z2 | k0 | Bir gençlik merkezinin yaz dönemi için hazırladığı afiş aşağıda verilmiştir. Bu afişe göre aşağıdakilerden hangisi söylenebilir? | ✓Atölye toplam sekiz gün sürecek biçimde plan…
tur-gg-007 | T.8.3.32 | z2 | k0 | Bir çiftçinin 20 dönümlük tarlasında bu yıl ektiği ürünlerin tarladaki paylarının dağılımı aşağıdaki daire grafiğinde gösterilmiş… | ✓9
tur-gg-008 | T.8.3.32 | z2 | k0 | Üç kırtasiyedeki bazı ürünlerin fiyatları (TL) aşağıdaki tabloda verilmiştir. Tabloya göre aşağıdakilerden hangisi söylenebilir? | ✓Her ürünün en ucuz satıldığı kırtasiye birbi…
tur-gg-009 | T.8.3.27 | z3 | k0 | Aşağıdaki karikatürde bir binanın girişi çizilmiştir. Bu karikatürde asıl eleştirilen durum aşağıdakilerden hangisidir? | ✓İnsanların amaçlarıyla davranışları arasında…
tur-gg-010 | T.8.3.32 | z3 | k0 | Bir sahil temizliği etkinliğine Mavi ve Yeşil adlı iki gönüllü grubu katılmıştır. Etkinlik sonunda grupların topladığı atıklar tü… | ✓Mavi grubun topladığı plastik, Yeşil grubun …
tur-gg-011 | T.8.3.32 | z3 | k0 | Bir sınıfta hafta içi her gün üç öğrenci nöbet tutmaktadır. Nöbetçilerden biri tahtayı siler, biri pencereleri açıp kapatır, biri… | ✓Öğrencilerin tümü, üç görevin her birini haf…
tur-gg-012 | T.8.3.27 | z3 | k0 | Bir köyün muhtarlığı, köye gelen yürüyüşçüler için aşağıdaki bilgi görselini hazırlamıştır. Görselde rotanın uğradığı noktalar ar… | ✓Rotanın kullanıma açık bölümü toplam 2 kilom…
tur-gg-013 | T.8.3.32 | z4 | k0 | Bir köydeki üç elma bahçesinde bu yıl toplanan elma miktarları grafikte, bahçelerdeki ağaç sayıları tabloda verilmiştir. Köyün ta… | ✓En çok ağacın bulunduğu bahçe, en çok elmanı…
tur-gg-014 | T.8.3.27 | z4 | k0 | Bir müzenin girişinde aşağıdaki afiş asılıdır. Bir aile çarşamba günü bu müzeyi ziyaret etmiştir. Ailede anne, baba, 13 yaşındaki… | ✓150
tur-gg-015 | T.8.3.32 | z4 | k0 | Bir öğrenci, bir ilkbahar gününde okul bahçesindeki termometreden saat 06.00'dan başlayarak üç saatte bir, toplam beş kez hava sı… | ✓II
