din-u1-101 | 8.1.1 | z1 | k1 | Fen dersinde suyun deniz seviyesinde her zaman 100 °C'de kaynadığını öğrenen Yusuf, din dersinde bu değişmez düzenin bir kavramla… | ✓Sünnetullah
din-u1-206 | 8.1.2 | z3 | k2 | 8-B sınıfında "Yaptıklarımızdan neden sorumluyuz?" sorusu tartışılmıştır. Öğrencilerin söyledikleri tabloda verilmiştir. Buna gör… | ✓Aylin ve Derya
din-u1-207 | 8.1.3 | z2 | k2 | Hafta sonu kamp yapan bir aile, çadırı kurduktan sonra iplerini gerdirip kazıklarını iyice çakmıştır. Küçük kardeş, "Allah korusu… | ✓II ve III
din-u1-208 | 8.1.4 | z3 | k2 | Zeynep'in şeker hastası olan dedesi, hekiminin verdiği beslenme listesine temmuz ayından sonra uymayı bırakmış ve "Hastalık Allah… | ✓I ve II
din-u1-209 | 8.1.2 | z3 | k2 | Din dersinde bir öğrenci, "Allah olacakları önceden biliyorsa ben nasıl özgür olabilirim?" diye sormuştur. Öğretmeni şöyle cevap … | ✓İnsan, bir başkasının ne yapacağını eksiksiz…
din-u1-210 | 8.1.3 | z3 | k2 | Yaz tatilinde amcasının manavında çalışan Yiğit, kazandığı parayla kendine bir bisiklet almıştır. Akşam yemeğinde amcası ona şöyl… | ✓I ve II
din-u1-301 | DKAB.8.1.3 | z3 | k3 | Bir ayette, "Kararını verdiğin zaman artık Allah'a tevekkül et. Şüphesiz Allah, kendisine tevekkül edenleri sever." (Âl-i İmrân s… | ✓Sinem
din-u1-302 | DKAB.8.1.2 | z3 | k3 | Bir ayette şöyle buyrulur: "İnsan için ancak çalıştığının karşılığı vardır. Şüphesiz onun çalışması ileride görülecektir." (Necm … | ✓İnsanın ulaştığı sonuç, ortaya koyduğu çabay…
din-u1-303 | DKAB.8.1.5 | z3 | k3 | Kur'an'da bildirildiğine göre Hz. Musa, Mısır'da erkek çocukların öldürüldüğü bir dönemde doğmuştur. Annesine, "Onu emzir. Başına… | ✓Gereken tedbirleri aldıktan sonra sonucu All…
din-u1-304 | DKAB.8.1.4 | z3 | k3 | Bir mobilya atölyesinde çalışan usta, kesim makinesinde elini yaralamıştır. Atölye sahibi, "Kaderinde bu varmış, elden ne gelir?"… | ✓Kendi ihmalinin sorumluluğunu kader inancını…
din-u1-305 | DKAB.8.1.2 | z3 | k3 | Kur'an'da şöyle buyrulmaktadır: "De ki: Hak, Rabbinizdendir. Artık dileyen iman etsin, dileyen inkâr etsin." (Kehf suresi, 29. ay… | ✓İnsanın seçim yapma özgürlüğüne ve bu seçimi…
din-u1-306 | DKAB.8.1.3 | z3 | k3 | Bir ayette, "Hiçbir kimse Allah'ın izni olmadıkça ölmez. Ölüm belirli bir süreye göre yazılmıştır." (Âl-i İmrân suresi, 145. ayet… | ✓I ve II
din-u1-307 | DKAB.8.1.2 | z4 | k3 | Bir öğretmen dersinde şunları anlatmıştır: "Allah evrendeki her şeyi belli bir ölçüye ve yasaya göre yaratmıştır. Allah'ın her şe… | ✓İnsanın tercih ettiği davranışı yaratan, ins…
din-u1-308 | DKAB.8.1.5 | z4 | k3 | Kur'an'da bildirildiğine göre Hz. Musa ile kavmi Mısır'dan çıktıklarında, önlerinde deniz arkalarında Firavun'un ordusu bulunuyor… | ✓II ve III
din-u1-309 | DKAB.8.1.3 | z4 | k3 | Aynı hastalığın teşhisi konulan üç kişinin doktor muayenesinden sonraki tutumları aşağıdaki tabloda verilmiştir. I. Yasin'in tutu… | ✓I ve II
din-u1-310 | DKAB.8.1.6 | z4 | k3 | Aşağıdaki tabloda Ayet el-Kürsi'nin anlamından bazı bölümler numaralandırılarak verilmiştir. Buna göre bu bölümlerden aşağıdakile… | ✓Allah, kullarına güçlerinin üstünde bir soru…
din-u1-001 | DKAB.8.1.3 | z1 | k0 | "Yeryüzünde hiçbir canlı yoktur ki rızkı Allah'a ait olmasın." (Hûd suresi, 6. ayet) Bu ayet, kaderle ilgili aşağıdaki kavramlard… | ✓Rızık
din-u1-002 | DKAB.8.1.5 | z1 | k0 | Kur'an'da bildirildiğine göre Hz. Musa, Firavun'a gitmeden önce Allah'a dua etmiş ve kardeşinin kendisine yardımcı olarak verilme… | ✓Hz. Harun
din-u1-003 | DKAB.8.1.3 | z2 | k0 | Hz. Peygamber bir hadisinde, "Hiç kimse elinin emeğiyle kazandığından daha hayırlı bir lokma yememiştir." buyurmuştur. (Buhârî, B… | ✓Helal kazanç için emek harcamak değerli bir …
din-u1-004 | DKAB.8.1.4 | z2 | k0 | Deniz, girdiği denemeden düşük puan alınca "Benim şansım yok, alın yazım böyleymiş." demiştir. Deniz'in deneme öncesindeki bir ha… | ✓Kendi tercihlerinin sonucunu şansla açıklama…
din-u1-005 | DKAB.8.1.1 | z2 | k0 | Bir ayette, "Şüphesiz Allah, bir toplumun durumunu, o toplum kendi durumunu değiştirmedikçe değiştirmez." (Ra'd suresi, 11. ayet)… | ✓Toplumların yaşadığı değişimde insanın kendi…
din-u1-006 | DKAB.8.1.5 | z3 | k0 | Kur'an'da bildirildiğine göre Hz. Musa, Mısır'dan ayrılıp Medyen'e vardığında hayvanlarını sulamak için sıra bekleyen iki kadına … | ✓Peygamber olarak seçilen bir kimsenin de eme…
din-u1-007 | DKAB.8.1.1 | z3 | k0 | Allah'ın evrene koyduğu değişmez yasalara sünnetullah denir. Bir ayette, "Sen, Allah'ın kanununda hiçbir değişiklik bulamazsın." … | ✓Bu yasalar, Allah'ın evrene koyduğu ölçünün …
din-u1-008 | DKAB.8.1.2 | z4 | k0 | Bir yazılım yarışmasına aynı takımda katılan İrem ile Tuna, finalde ikinci olmuştur. İrem, "Elimizden gelenin en iyisini yaptık; … | ✓II ve III
