ink-u2-101 | İTA.8.2.1 | z1 | k1 | Aşağıdaki tabloda Birinci Dünya Savaşı öncesinde Avrupa'da kurulan iki grup gösterilmiştir. Tabloda gösterilen bu duruma verilen … | ✓Bloklaşma
ink-u2-114 | İTA.8.2.1 | z2 | k1 | Bulgaristan, Balkan Savaşları'nda kaybettiği toprakları geri alma umuduyla 1915'te İttifak Devletlerinin yanında savaşa girdi. Ro… | ✓Devletlerin saf tutarken kendi çıkarlarını g…
ink-u2-115 | İTA.8.2.2 | z2 | k1 | Kafkas Cephesi'nde görev yapmış bir erin anılarından: "Aralık ayının sonunda dağlara doğru yürümeye başladık. Sırtımızdaki ince k… | ✓Harekâtın kış şartlarına hazırlıksız yapılma…
ink-u2-116 | İTA.8.2.2 | z2 | k1 | Birinci Dünya Savaşı'nın son aylarında Suriye Cephesi'nde İngiliz ordusu hızla kuzeye doğru ilerliyordu. Bu cephede 7. Ordu'nun b… | ✓Dağılan birlikleri toplayıp cepheyi kuzeyde …
ink-u2-117 | İTA.8.2.2 | z2 | k1 | Aşağıda Irak Cephesi'yle ilgili kurgusal bir gazete küpürü verilmiştir. Bu habere göre Irak Cephesi ile ilgili aşağıdakilerden ha… | ✓Osmanlı ordusu bu cephede savunma başarısı k…
ink-u2-118 | İTA.8.2.3 | z2 | k1 | Mondros Ateşkes Antlaşması'nın 7. maddesi şöyledir: "İtilaf Devletleri, güvenliklerini tehdit edecek bir durum ortaya çıkarsa her… | ✓İşgaller için hukuki bir dayanak oluşturmuşt…
ink-u2-119 | İTA.8.2.3 | z2 | k1 | 15 Mayıs 1919'da İzmir'in işgal edilmesi üzerine İstanbul Hükûmeti, işgali kınayan yazılı notalar gönderdi ve işgalci devletlerin… | ✓İşgalleri durduracak bir karşılık ortaya koy…
ink-u2-120 | İTA.8.2.4 | z2 | k1 | Aşağıdaki tabloda Mondros Ateşkes Antlaşması'ndan sonra kurulan ya da faaliyetini artıran bazı cemiyetler, amaçlarıyla eşleştiril… | ✓İngiliz Muhipleri Cemiyeti
ink-u2-121 | İTA.8.2.5 | z2 | k1 | 4 Eylül 1919'da toplanan Sivas Kongresi'nde alınan kararlardan ikisi şunlardır: • Yurdun her yerinde ayrı ayrı çalışan millî cemi… | ✓Millî Mücadele'nin tek merkezden yönetilebil…
ink-u2-122 | İTA.8.2.5 | z2 | k1 | Erzurum Kongresi, Doğu illerinin temsilcilerinin katılımıyla toplanmıştır. Kongrede alınan kararlardan bazıları şunlardır: • Mill… | ✓Bölgesel toplandığı hâlde bütün vatanı ilgil…
ink-u2-123 | İTA.8.2.5 | z2 | k1 | Millî Mücadele'nin hazırlık dönemine ait dört gelişme karışık sırayla verilmiştir. I. Erzurum Kongresi'nin toplanması II. Mustafa… | ✓II – IV – I – III
ink-u2-124 | İTA.8.2.6 | z2 | k1 | Misakımilli kararlarından biri şudur: "Siyasi, adli ve mali gelişmemizi engelleyen sınırlamalar kaldırılmalıdır." Bu karar ile aş… | ✓Tam bağımsızlığı sağlamak
ink-u2-125 | İTA.8.2.8 | z2 | k1 | Sevr Antlaşması 10 Ağustos 1920'de imzalandı. Büyük Millet Meclisi antlaşmayı tanımadığını duyurdu ve imzalayanları vatan haini i… | ✓Hukuken hiçbir zaman yürürlüğe girememiştir.
ink-u2-201 | İTA.8.2.1 | z2 | k2 | Aşağıdaki kavram haritasında Birinci Dünya Savaşı'nın sebeplerinden bazıları verilmiştir. Kavram haritasında boş bırakılan yere a… | ✓Devletlerin silahlanma yarışına girmesi
ink-u2-202 | İTA.8.2.4 | z2 | k2 | Birinci Dünya Savaşı'ndan sonra kurulan Milletler Cemiyeti, kendi kendini yönetecek olgunluğa erişmediği ileri sürülen bölgelerin… | ✓Sömürgeciliğin ad değiştirmiş biçimidir.
ink-u2-203 | İTA.8.2.2 | z2 | k2 | Aşağıdaki tabloda Osmanlı Devleti'nin Birinci Dünya Savaşı'nda savaştığı bazı cepheler verilmiştir. Tabloda boş bırakılan yere aş… | ✓İngiltere'nin sömürgeleriyle bağlantısını ke…
ink-u2-204 | İTA.8.2.2 | z2 | k2 | Çanakkale kara savaşlarında Conkbayırı'nda birliklerine seslenen Mustafa Kemal'in sözlerinden: "Ben size taarruzu emretmiyorum, ö… | ✓Zaman kazanmanın cephenin kaderini belirleye…
ink-u2-205 | İTA.8.2.3 | z2 | k2 | Aşağıda Mondros Ateşkes Antlaşması'nın bazı maddeleri ile bu maddelerin doğurduğu sonuçlar eşleştirilmiştir. I. Ordu terhis edile… | ✓Yalnız II
ink-u2-206 | İTA.8.2.3 | z2 | k2 | Aşağıda bir gazete arşivinden alınan dört manşet karışık sırayla verilmiştir. I. "YUNAN BİRLİKLERİ İZMİR'E ÇIKTI" II. "SİLAHLAR S… | ✓II – IV – III – I
ink-u2-207 | İTA.8.2.4 | z2 | k2 | Batı Anadolu'da Kuvâ-yı Millîye birliklerinde görev yapmış birinin anılarından: "Cepheye gittiğimizde ne tek tip bir kıyafetimiz … | ✓Cesaretleri yüksek, iş birlikleri zayıftır.
ink-u2-208 | İTA.8.2.4 | z2 | k2 | Millî cemiyetler kuruldukları bölgelerde gazete çıkarmış, broşür bastırmış; yabancı devletlerin temsilcilerine bölge nüfusunun ço… | ✓İşgallerin haksızlığını dünyaya duyurmak
ink-u2-209 | İTA.8.2.5 | z2 | k2 | Mustafa Kemal'e verilen görev emrinde bölgedeki karışıklıkların önlenmesi, halkın elindeki silahların toplanması ve dağınık diren… | ✓Verilen görevi millî mücadeleyi örgütlemek i…
ink-u2-210 | İTA.8.2.5 | z2 | k2 | Aşağıdaki tabloda I. sütunda Millî Mücadele'nin hazırlık dönemine ait üç gelişme, II. sütunda ise bu gelişmelerin doğurduğu sonuç… | ✓I-b, II-ç, III-a
ink-u2-211 | İTA.8.2.6 | z2 | k2 | 16 Mart 1920'de İstanbul'un işgal edilmesi ve son Osmanlı Mebusan Meclisinin dağılması üzerine Mustafa Kemal, illere aşağıdaki se… | ✓Üyeleri iki ayrı yoldan belirlenecektir.
ink-u2-212 | İTA.8.2.6 | z2 | k2 | 23 Nisan 1920'de açılan Büyük Millet Meclisinin ilk kararlarından ikisi şöyledir: • Yasama ve yürütme yetkileri Büyük Millet Mecl… | ✓Kanun yapma ve yönetme yetkilerini birlikte …
ink-u2-213 | İTA.8.2.7 | z2 | k2 | Büyük Millet Meclisinin açıldığı günlerde İstanbul'daki şeyhülislam, Ankara'daki meclisi destekleyenlere karşı çıkmanın dinî bir … | ✓Ayaklanmaların çıkışında dışarıdan desteklen…
ink-u2-214 | İTA.8.2.1 | z3 | k2 | Aşağıdaki tabloda Birinci Dünya Savaşı öncesine ait iki kaynaktan alınan bölümler verilmiştir. Buna göre bu iki kaynakla ilgili a… | ✓Devletlerin savaş öncesinde barış görüşmeler…
ink-u2-215 | İTA.8.2.2 | z3 | k2 | Çanakkale Cephesi'nde İtilaf Devletleri Boğazları geçemedi. Bu sonucun ardından şunlar yaşandı: Rusya'ya beklediği yardım ulaşmad… | ✓I ve III
ink-u2-216 | İTA.8.2.2 | z3 | k2 | Aşağıdaki tabloda Osmanlı Devleti'nin Birinci Dünya Savaşı'nda savaştığı dört cephe ve bu cephelerde öne çıkan gelişmeler verilmi… | ✓Yalnız III
ink-u2-217 | İTA.8.2.3 | z3 | k2 | Aşağıdaki tabloda Mondros Ateşkes Antlaşması'nın uygulanması karşısında üç tarafın tutumu verilmiştir. Bu tabloya göre aşağıdakil… | ✓Osmanlı Hükûmetinin işgallere silahla dirend…
ink-u2-218 | İTA.8.2.3 | z3 | k2 | Aşağıdaki tabloda, İzmir'in işgal edildiği gün yaşananları anlatan iki gazeteden alınmış birer bölüm verilmiştir. Aynı olayı anla… | ✓İki kaynak, aynı olayı kendi tarafının bakış…
ink-u2-219 | İTA.8.2.4 | z3 | k2 | Aşağıdaki tabloda Mondros Ateşkes Antlaşması'ndan sonra faaliyetlerini artıran, azınlıkların kurduğu bazı cemiyetler verilmiştir.… | ✓Tümünün ülke topraklarını parçalamayı amaçla…
ink-u2-220 | İTA.8.2.5 | z3 | k2 | İşgal yıllarında Anadolu'ya ulaşan haberlerin çoğu, İstanbul'da ya da işgalci devletlerin denetiminde çıkan yayınlardan geliyordu… | ✓Kuruluşların tamamı haber ve bilgi yayma işi…
ink-u2-221 | İTA.8.2.5 | z3 | k2 | Sivas Kongresi'nden sonra İstanbul Hükûmeti, Temsil Heyeti ile görüşmek üzere Bahriye Nazırı Salih Paşa'yı Amasya'ya gönderdi. Ek… | ✓İstanbul Hükûmeti Temsil Heyetini resmen muh…
ink-u2-222 | İTA.8.2.5 | z3 | k2 | Aşağıda Erzurum Kongresi'nin ilk dört kararı, üçüncüsü boş bırakılarak verilmiştir. Belgede boş bırakılan yere aşağıdakilerden ha… | ✓İstanbul Hükûmeti görevini yapamazsa geçici …
ink-u2-223 | İTA.8.2.6 | z3 | k2 | Misakımilli kararlarından bazıları şunlardır: • Kars, Ardahan ve Batum ile Batı Trakya'da gerekirse halk oylaması yapılacaktır. •… | ✓II ve III
ink-u2-224 | İTA.8.2.7 | z3 | k2 | Büyük Millet Meclisi açıldıktan sonra Anadolu'nun çeşitli yerlerinde meclise karşı ayaklanmalar çıktı. Meclis bu ayaklanmalara ka… | ✓Ayaklanmalar Millî Mücadele'nin gecikmesine …
ink-u2-225 | İTA.8.2.8 | z3 | k2 | Aşağıdaki tabloda üç konuda Misakımilli'nin kararı ile Sevr Antlaşması'nın maddesi karşılaştırılmıştır. Tablodaki üç satır birlik… | ✓Misakımilli'nin üç isteğinin tamamına karşı …
ink-u2-301 | İTA.8.2.1 | z3 | k3 | Aşağıda, 1914 yazında Avrupa'da yayımlanan gazetelerin haber başlıkları tarih sırasıyla verilmiştir. 28 Haziran: "Avusturya-Macar… | ✓I ve II
ink-u2-302 | İTA.8.2.2 | z3 | k3 | Aşağıdaki tabloda, Osmanlı Devleti'nin Birinci Dünya Savaşı'nda savaştığı bazı cepheler tanıtılmıştır. Bu tabloya göre aşağıdakil… | ✓Savunma nitelikli cepheler taarruz nitelikli…
ink-u2-303 | İTA.8.2.2 | z3 | k3 | İngiltere, Birinci Dünya Savaşı'nda Irak Cephesi'ni; bölgedeki petrol kaynaklarını güvence altına almak ve kuzeye ilerleyerek müt… | ✓Kazanılan zafer, cephedeki düşman ilerleyişi…
ink-u2-304 | İTA.8.2.2 | z3 | k3 | İtilaf Devletleri, 18 Mart 1915'te güçlü bir donanmayla Çanakkale Boğazı'nı geçmeye çalıştı. Nusret mayın gemisinin döşediği mayı… | ✓I ve III
ink-u2-305 | İTA.8.2.3 | z3 | k3 | Aşağıda, 30 Ekim 1918'de imzalanan Mondros Ateşkes Antlaşması'nın bazı maddeleri bir sınıf panosunda özetlenmiştir. Bu maddelere … | ✓Devletin savunma gücü ve haberleşme denetimi…
ink-u2-306 | İTA.8.2.3 | z3 | k3 | Aşağıdaki tabloda, Mondros Ateşkes Antlaşması'nın imzalanması ve uygulanması karşısında üç tarafın tutumu verilmiştir. Bu tabloya… | ✓Tablodaki üç tarafın tamamı birbirinden fark…
ink-u2-307 | İTA.8.2.4 | z3 | k3 | Mondros Ateşkes Antlaşması'ndan sonra Osmanlı ordusu büyük ölçüde terhis edildi ve yurdun çeşitli bölgeleri işgal edilmeye başlan… | ✓Düzenli ordunun bulunmadığı koşullarda halkı…
ink-u2-308 | İTA.8.2.4 | z3 | k3 | Aşağıdaki tabloda Millî Mücadele Dönemi'nde kurulan dört cemiyetin amacı verilmiştir. Bu tabloya göre, I. Tablodaki cemiyetlerin … | ✓Yalnız II
ink-u2-309 | İTA.8.2.5 | z3 | k3 | 22 Haziran 1919'da yayımlanan Amasya Genelgesi'nde şu ifadeler yer almıştır: "Vatanın bütünlüğü, milletin bağımsızlığı tehlikeded… | ✓Kurtuluşun milletin kendi kararıyla sağlanac…
ink-u2-310 | İTA.8.2.5 | z3 | k3 | Aşağıdaki tabloda Erzurum ve Sivas kongreleri karşılaştırılmıştır. Bu tabloya göre iki kongreyle ilgili aşağıdakilerden hangisi s… | ✓Erzurum'da atılan adımlar Sivas'ta ülke gene…
ink-u2-311 | İTA.8.2.5 | z3 | k3 | 20-22 Ekim 1919'da Amasya'da, Temsil Heyeti adına Mustafa Kemal ile İstanbul Hükûmeti adına Bahriye Nazırı Salih Paşa bir araya g… | ✓Yalnız III
ink-u2-312 | İTA.8.2.6 | z3 | k3 | Aşağıda, son Osmanlı Mebusan Meclisinin 28 Ocak 1920'de kabul ettiği Misakımillî'nin bazı maddeleri verilmiştir. Bu maddelere gör… | ✓Bazı bölgelerin geleceği halkın oyuna bırakı…
ink-u2-313 | İTA.8.2.6 | z3 | k3 | 23 Nisan 1920'de Ankara'da açılan Büyük Millet Meclisi, ilk günlerinde şu kararları almıştır: "Hükûmet kurmak zorunludur." "Mecli… | ✓II ve III
ink-u2-314 | İTA.8.2.7 | z3 | k3 | Büyük Millet Meclisine karşı ayaklanmaların yaygınlaştığı günlerde Ankara'da iki metin yayımlandı. Birinci metin, 29 Nisan 1920'd… | ✓Mücadeleye karşı çıkışın haklı bir dayanağı …
ink-u2-315 | İTA.8.2.8 | z3 | k3 | Aşağıdaki tabloda, 10 Ağustos 1920'de imzalanan Sevr Antlaşması'nın bazı maddeleri konularına göre sıralanmıştır. Bu maddelere gö… | ✓Devletin hem toprakları hem egemenlik haklar…
ink-u2-316 | İTA.8.2.1 | z4 | k3 | Aşağıdaki tabloda Birinci Dünya Savaşı öncesinde kurulan bloklar ve savaş sırasında yaşanan değişimler gösterilmiştir. Bir tarih … | ✓Blokların tamamında savaş sırasında üye deği…
ink-u2-317 | İTA.8.2.2 | z4 | k3 | Aşağıda iki kaynak verilmiştir. Kaynak I: "İtilaf Devletleri Çanakkale Cephesi'ni; boğazları geçip İstanbul'u almak, Osmanlı Devl… | ✓Yalnız I
ink-u2-318 | İTA.8.2.2 | z4 | k3 | Aşağıda iki kaynak verilmiştir. Kaynak I: Tabloda Mustafa Kemal'in Birinci Dünya Savaşı'ndaki bazı görevleri yer almaktadır. Kayn… | ✓Savaş boyunca yalnızca savunma görevleri üst…
ink-u2-319 | İTA.8.2.3 | z4 | k3 | Aşağıda iki kaynak verilmiştir. Kaynak I: "Ateşkes, savaşan tarafların çarpışmalara son vermek için imzaladığı geçici bir anlaşma… | ✓İşgallerin tamamının ateşkese uygun olduğunu…
ink-u2-320 | İTA.8.2.4 | z4 | k3 | Trakya Paşaeli Cemiyeti Edirne ve çevresini, Redd-i İlhak Cemiyeti İzmir ve çevresini, Kilikyalılar Cemiyeti Adana ve çevresini, … | ✓Bölgesel amaçlarla kurulan cemiyetlerin tama…
ink-u2-321 | İTA.8.2.5 | z4 | k3 | Aşağıdaki tabloda Millî Mücadele'nin hazırlık döneminde atılan üç adım ve her adımın getirdiği yenilik verilmiştir. Bu adımlar sü… | ✓Resmî görev sona erdikten sonra mücadele hal…
ink-u2-322 | İTA.8.2.5 | z4 | k3 | Millî Mücadele'nin hazırlık döneminde alınan kararların duyurulması için basın çalışmalarına önem verildi. Temsil Heyeti, 4-11 Ey… | ✓Basın çalışmaları mücadelenin yürütüldüğü me…
ink-u2-323 | İTA.8.2.6 | z4 | k3 | Aşağıdaki zaman şeridinde 1920 yılının ilk aylarında yaşanan gelişmeler kısa açıklamalarıyla birlikte verilmiştir. Bu gelişmelere… | ✓Yalnız III
ink-u2-324 | İTA.8.2.7 | z4 | k3 | Büyük Millet Meclisine karşı çıkan ayaklanmaların bir bölümünü İstanbul Hükûmetinin kurduğu birlikler yürüttü. Bir bölümü, yıllar… | ✓Kaynakları farklı olan ayaklanmaların tamamı…
ink-u2-325 | İTA.8.2.8 | z4 | k3 | Sevr Antlaşması 10 Ağustos 1920'de Osmanlı Devleti adına gönderilen bir heyet tarafından imzalandı. Ancak Mebusan Meclisi 11 Nisa… | ✓I, II ve III
ink-u2-001 | İTA.8.2.1 | z1 | k0 | Birinci Dünya Savaşı'nın başlamasına doğrudan yol açan olay aşağıdakilerden hangisidir? | ✓Avusturya-Macaristan veliahdının Saraybosna'…
ink-u2-002 | İTA.8.2.3 | z1 | k0 | Mondros Ateşkes Antlaşması'nın 7. maddesine göre İtilaf Devletleri, güvenliklerini tehdit eden bir durum ortaya çıkarsa herhangi … | ✓Topraklarının işgale açık duruma gelmesi
ink-u2-003 | İTA.8.2.6 | z1 | k0 | Büyük Millet Meclisi 23 Nisan 1920'de Ankara'da, halkın seçtiği temsilcilerle açıldı. Bu gelişme aşağıdakilerden hangisi yolunda … | ✓Ulusal egemenliğin gerçekleştirilmesi
ink-u2-004 | İTA.8.2.2 | z2 | k0 | Osmanlı Devleti, Birinci Dünya Savaşı'nda Kanal Cephesi'ni; Akdeniz'i Kızıldeniz'e bağlayan Süveyş Kanalı'nı ele geçirerek İngilt… | ✓Taarruz amacıyla açılan cephe Osmanlı Devlet…
ink-u2-005 | İTA.8.2.4 | z2 | k0 | Bir öğrenci, Millî Mücadele Dönemi'ndeki cemiyetleri "millî cemiyetler" ve "millî varlığa düşman cemiyetler" olmak üzere iki grub… | ✓Redd-i İlhak Cemiyeti
ink-u2-006 | İTA.8.2.5 | z2 | k0 | Mustafa Kemal 28 Mayıs 1919'da yayımladığı Havza Genelgesi'nde; işgallerin protesto edilmesini, her yerde mitingler düzenlenmesin… | ✓Halkı işgallere karşı harekete geçirmek
ink-u2-007 | İTA.8.2.7 | z2 | k0 | Büyük Millet Meclisine karşı çıkan ayaklanmalar yayılınca cephe gerisinde güvenlik bozuldu; askere alma ve ulaştırma işleri aksad… | ✓Cephe gerisinde bozulan güvenliği sağlamak
ink-u2-008 | İTA.8.2.8 | z2 | k0 | 10 Ağustos 1920'de imzalanan Sevr Antlaşması'nın bir maddesine göre Osmanlı ordusu 50.700 kişiyle sınırlandırılacak, ağır silah v… | ✓Devletin kendini savunma gücünü ortadan kald…
ink-u2-009 | İTA.8.2.2 | z3 | k0 | Osmanlı Devleti, Kafkas Cephesi'ni Rus ilerleyişini durdurmak ve Orta Asya'daki Türklerle bağlantı kurmak amacıyla taarruz cephes… | ✓II ve III
ink-u2-010 | İTA.8.2.5 | z3 | k0 | Erzurum Kongresi'nde alınan kararlardan ikisi şöyledir: "Millî sınırlar içinde vatan bir bütündür, bölünemez." "Manda ve himaye k… | ✓Bağımsızlık ve toprak bütünlüğü esas alınmış…
ink-u2-011 | İTA.8.2.6 | z3 | k0 | Misakımillî'nin bazı maddeleri şöyledir: "Kars, Ardahan ve Batum'da gerekirse halkın oyuna başvurulacaktır." "Siyasi, adli ve mal… | ✓I, II ve III
ink-u2-012 | İTA.8.2.3 | z3 | k0 | Mondros Ateşkes Antlaşması imzalandığı sırada Yıldırım Orduları Grubu Komutanı olan Mustafa Kemal, İskenderun'a asker çıkarmak is… | ✓Ateşkesin işgale dönüştürülmesine karşı çıkm…
ink-u2-013 | İTA.8.2.2 | z4 | k0 | Ocak 1918'de ABD Başkanı Wilson'ın yayımladığı ilkelerde; yenilen devletlerden toprak ve savaş tazminatı alınmayacağı, Osmanlı De… | ✓Yalnız II
ink-u2-014 | İTA.8.2.6 | z4 | k0 | Aşağıda iki kaynak verilmiştir. Kaynak I (Amasya Genelgesi, 22 Haziran 1919): "Milletin bağımsızlığını yine milletin azim ve kara… | ✓Genelgede dile getirilen ilke, meclisin açıl…
ink-u2-015 | İTA.8.2.7 | z4 | k0 | Aşağıda iki kaynak verilmiştir. Kaynak I: Büyük Millet Meclisi 19 Ağustos 1920'de, Sevr Antlaşması'nı imzalayanları ve onaylayanl… | ✓I ve II
