fen-dn-101 | F.8.2.1.1 | z1 | k1 | Fen laboratuvarında öğretmen, DNA'nın yapı birimi olan nükleotidin bölümlerini tahtaya çizip numaralandırmıştır. Buna göre şekild… | ✓Fosfat – Deoksiriboz şekeri – Organik baz
fen-dn-002 | F.8.2.1.2 | z1 | k0 | Bir nükleotidin yapısında aşağıdakilerden hangisi bulunmaz? | ✓Protein
fen-dn-003 | F.8.2.1.3 | z1 | k0 | DNA'nın kendini eşlemesiyle ilgili aşağıdakilerden hangisi doğrudur? | ✓İki zincirin birbirinden ayrılmasıyla başlar.
fen-dn-004 | F.8.2.1.1 | z2 | k0 | Bir tohum bankasında saklanan buğday çeşitlerinin etiketlerinde "kurağa dayanıklılık geni", "başak uzunluğu geni" gibi ifadeler y… | ✓DNA üzerinde bir özelliği belirleyen anlamlı…
fen-dn-005 | F.8.2.1.2 | z2 | k0 | Aşağıdaki şemada, bir hücrede DNA'nın kendini eşlemesinin bir bölümü gösterilmiştir. Eski zincirdeki bazlar harflerle, yeni kurul… | ✓1: A — 2: C — 3: T
fen-dn-006 | F.8.2.1.1 | z2 | k0 | Bir müzede açılan sergide, hücre bölünmesi sırasında çekirdekte belirginleşen yapıların fotoğrafları yer almaktadır. Sergi metnin… | ✓Kromozom
fen-dn-007 | F.8.2.1.3 | z2 | k0 | Aşağıdaki tabloda, DNA'nın kendini eşlemesi sırasında gerçekleşen üç olay karışık sırayla verilmiştir. Buna göre bu olayların ger… | ✓L – K – M
fen-dn-008 | F.8.2.1.2 | z3 | k0 | 1950'li yıllarda X ışınları kullanılarak elde edilen bir DNA görüntüsünde, molekülün burgu biçiminde olduğunu gösteren bir desen … | ✓I ve II
fen-dn-009 | F.8.2.1.1 | z3 | k0 | Bir mağarada yapılan kazıda bulunan kemik parçasından (K) az miktarda DNA elde edilmiştir. Araştırmacılar, K'nin baz diziliminin … | ✓I ve II
fen-dn-010 | F.8.2.1.2 | z3 | k0 | Bir bilim merkezinde DNA'nın kendini eşlemesi büyük bir maketle canlandırılmaktadır. Gösteride, eşlenme sırasında bir bazın karşı… | ✓Eşlenme sırasında hiçbir zaman hata oluşmaz.
fen-dn-011 | F.8.2.1.1 | z4 | k0 | Bir adli tıp laboratuvarına K, L ve M olarak adlandırılan üç DNA örneği gelmiştir. Üç örnekte de aynı bölge incelenmiş ve karşıla… | ✓II ve III
fen-dn-012 | F.8.2.1.1 | z4 | k0 | Bir ıslah merkezinde, X ve Y olarak adlandırılan iki buğday çeşidinin yaprak hücreleri incelenmiştir. İnceleme sonuçları tabloda … | ✓Yalnız I
fen-dn-113 | F.8.2.1.2 | z1 | k1 | Öğretmen, DNA'da bulunan dört organik bazın adını tahtaya yazmıştır: adenin, timin, guanin, sitozin. Buna göre DNA'da karşı karşı… | ✓Adenin ile timin
fen-dn-114 | F.8.2.1.1 | z1 | k1 | Bir öğrenci, DNA'daki nükleotidlerin hepsinde birer fosfat ve birer deoksiriboz şekeri bulunduğunu öğrenmiştir. Buna göre nükleot… | ✓Taşıdıkları organik baza göre
fen-dn-115 | F.8.2.1.2 | z1 | k1 | Görselde bir DNA modelinin düzleştirilerek çizilmiş bölümü verilmiştir. Modelde K ile molekülün kenarı, L ile basamaklarından bir… | ✓K: Fosfat ve şeker — L: Karşılıklı organik b…
fen-dn-116 | F.8.2.1.3 | z1 | k1 | Fen dersinde öğretmen, bir hücrede DNA'nın kendini eşlemesinin ne zaman gerekli olduğunu sormuştur. Buna göre DNA'nın kendini eşl… | ✓Hücre bölünmeye hazırlanırken
fen-dn-117 | F.8.2.1.1 | z1 | k1 | Bir öğrenci mikroskopta incelediği hayvan hücresini defterine çizmiş ve kalıtsal bilgiyi taşıyan molekülün hücrenin neresinde bul… | ✓Çekirdekte
fen-dn-118 | F.8.2.1.2 | z1 | k1 | Aşağıda DNA'nın yapısıyla ilgili dört ifade verilmiştir. Buna göre bu ifadelerden hangisi yanlıştır? | ✓Bütün basamaklarında aynı çeşit organik baz …
fen-dn-119 | F.8.2.1.1 | z2 | k1 | Bir öğrenci, hücredeki kalıtsal yapıları okul kütüphanesindeki kitaplara benzeterek tablodaki eşleştirmeyi yapmıştır. Tabloda bir… | ✓Gen
fen-dn-120 | F.8.2.1.3 | z2 | k1 | Görselde, kendini eşlemekte olan bir DNA molekülünün açılmış bölümü verilmiştir. Açıkta kalan eski zincirdeki bazların karşısına,… | ✓Yeni zincire gelecek nükleotidlerin sırasını…
fen-dn-121 | F.8.2.1.1 | z2 | k1 | Bir öğrenci, DNA'nın yapı birimlerini tanıtmak için görseldeki dört kartı hazırlamıştır. Kartların hepsinde aynı biçimde birer fo… | ✓I ve II
fen-dn-122 | F.8.2.1.1 | z2 | k1 | Görselde bir süs bitkisinin DNA molekülünün bir bölümü ile bu bölüm üzerinde yer alan üç gen ve bu genlerin belirlediği özellikle… | ✓I ve III
fen-dn-123 | F.8.2.1.3 | z2 | k1 | Öğretmen sınıfa şu soruyu sormuştur: "Bir hücre, DNA'sını eşlemeden ikiye bölünseydi oluşan hücreler nasıl olurdu?" Buna göre bu … | ✓Kalıtsal bilgilerinin bir bölümü eksik kalır…
fen-dn-124 | F.8.2.1.2 | z2 | k1 | Bir öğrenci, bir DNA molekülünün 2. zincirindeki bazların sırasını tabloya yazmış, 1. zincirdeki bazların yerini ise boş bırakmış… | ✓C – T – G – T – A
fen-dn-125 | F.8.2.1.3 | z2 | k1 | Bir hayvanın vücut hücrelerinin her birinde 24 kromozom bulunmaktadır. Bu hayvanın derisindeki bir hücrenin bölünmesi görseldeki … | ✓24 kromozom; çünkü bölünmeden önce DNA kendi…
fen-dn-213 | F.8.2.1.3 | z2 | k2 | Bir öğrenci, gölden aldığı su örneğini mikroskopta incelerken görseldeki gibi tek hücreli bir canlının ikiye bölünerek çoğaldığın… | ✓Yalnız I
fen-dn-214 | F.8.2.1.2 | z2 | k2 | Bir öğrenci, iki farklı canlı türünden alınan DNA örneklerinin eşit uzunluktaki birer bölümünde bulunan bazları sırasıyla tabloya… | ✓Bazların çeşitleri aynı, sıralamaları farklı…
fen-dn-215 | F.8.2.1.1 | z2 | k2 | Bir sınıfın panosuna DNA ile ilgili dört bilgi kartı asılmıştır. Buna göre bu kartlardan hangisinde yanlış bir bilgi verilmiştir? | ✓2. kart
fen-dn-216 | F.8.2.1.2 | z2 | k2 | Bir okulun tasarım atölyesinde üç boyutlu yazıcıyla bir DNA modeli basılmıştır. Basılan modelin özellikleri tabloda verilmiştir. … | ✓Zincirler birbirine sarılmış biçimde basılma…
fen-dn-217 | F.8.2.1.2 | z2 | k2 | Görselde bir öğrencinin kâğıttan yaptığı DNA modelinin beş basamağı verilmiştir. Öğretmen, modeli inceledikten sonra yalnızca bir… | ✓4. basamak
fen-dn-218 | F.8.2.1.3 | z2 | k2 | Bir öğrenci, kestirdiği saçlarının birkaç ay içinde yeniden uzadığını fark etmiştir. Öğretmeni, saçın uzamasını sağlayan hücreler… | ✓I ve III
fen-dn-219 | F.8.2.1.1 | z2 | k2 | Öğretmen, bir hücrenin çekirdeğindeki DNA'nın açıldığında çekirdeğe sığmayacak kadar uzun olduğunu söylemiş ve bunu anlatmak için… | ✓DNA, proteinlerle birlikte paketlenerek krom…
fen-dn-220 | F.8.2.1.2 | z3 | k2 | Bir fen kulübü etkinliğinde öğrenciler görseldeki basamakları uygulamıştır: çilekleri poşette ezmiş, üzerine tuzlu su ile sıvı bu… | ✓I ve II
fen-dn-221 | F.8.2.1.1 | z3 | k2 | Öğretmen tahtaya üç ifade yazmış ve öğrencilerinden her ifadenin doğru mu yanlış mı olduğunu işaretlemelerini istemiştir. Dört öğ… | ✓Ege
fen-dn-222 | F.8.2.1.3 | z3 | k2 | Bir öğrenci, DNA'nın kendini eşlemesini dört cümleyle özetlemiştir. I. Eşlenme, iki zincirin karşılıklı bazlarından ayrılmasıyla … | ✓III
fen-dn-223 | F.8.2.1.3 | z3 | k2 | Bir tarım laboratuvarında, bir muz bitkisinin gövdesinden alınan küçük bir doku parçası görseldeki gibi özel besin ortamına konul… | ✓II ve III
fen-dn-224 | F.8.2.1.3 | z3 | k2 | Bir araştırmacı, bölünmeye hazırlanan bir hücrede DNA miktarının zamana göre nasıl değiştiğini ölçmüş ve grafiği çizmiştir. Buna … | ✓I ve II
fen-dn-225 | F.8.2.1.3 | z3 | k2 | Bir hücrede DNA'nın kendini eşlemesi tamamlanmış, ancak hücre henüz bölünmemiştir. Buna göre bu hücreyle ilgili aşağıdakilerden h… | ✓Hücredeki kalıtsal bilginin iki kopyası bulu…
fen-dn-313 | F.8.2.1.3 | z3 | k3 | Bir doktor, hastasına kemik iliğinde her gün milyonlarca yeni kan hücresi üretildiğini, bu üretimin var olan hücrelerin art arda … | ✓II ve III
fen-dn-314 | F.8.2.1.3 | z3 | k3 | Bir balık çiftliğinde döllenmiş alabalık yumurtaları özel havuzlarda tutulmaktadır. Çiftlik görevlisi, yumurtanın içindeki tek hü… | ✓Yalnız I
fen-dn-315 | F.8.2.1.3 | z3 | k3 | Bir öğrenci, ılık şekerli suya ekmek mayası ekleyip karışımdan belirli aralıklarla örnek almış ve mikroskopta saydığı maya hücres… | ✓I, II ve III
fen-dn-316 | F.8.2.1.2 | z3 | k3 | Bir okulun bilim şenliğinde görseldeki DNA maketi sergilenmiştir. Maketi inceleyen üç öğrenci şu yorumları yapmıştır: I. Maketin … | ✓I ve III
fen-dn-317 | F.8.2.1.2 | z3 | k3 | Bir laboratuvarda, içinde DNA bulunan bir çözelti yavaş yavaş ısıtılmış, sonra yeniden yavaşça soğutulmuştur. Bu sırada yapılan g… | ✓I ve III
fen-dn-318 | F.8.2.1.1 | z3 | k3 | Üç öğrenci, bir nükleotidin bölümlerinin nasıl bağlandığını göstermek için görseldeki şemaları çizmiştir. Şemalarda kutuların içi… | ✓Yalnız K
fen-dn-319 | F.8.2.1.3 | z3 | k3 | Bir araştırmacı, bir fasulye bitkisinin kök ucundan aldığı hücreleri iki eşit gruba ayırmıştır. K grubundaki hücreleri bölünmeyi … | ✓I ve II
fen-dn-320 | F.8.2.1.2 | z3 | k3 | Bir öğrenci, üç DNA örneğinin (K, L, M) karşılıklı zincirlerindeki bazları tabloya yazmıştır. Öğretmeni, örneklerden yalnızca bir… | ✓Yalnız L
fen-dn-321 | F.8.2.1.3 | z4 | k3 | Bir öğrenci, DNA'nın kendini eşlemesini şöyle anlatmıştır: "Eşlenme, bir fotokopi makinesinin kitabı çoğaltmasına benzer. Makiney… | ✓Eşlenme sonunda oluşan iki DNA'nın her birin…
fen-dn-322 | F.8.2.1.3 | z4 | k3 | Bir araştırmacı, hücre bölünmesini incelediği çalışmasında DNA eşlenmesini engelleyen bir madde kullanmıştır. Bu maddenin verildi… | ✓I ve III
fen-dn-323 | F.8.2.1.3 | z4 | k3 | Görselde bir DNA molekülünün kendini eşlemesi verilmiştir. Eşlenmeden önceki molekülün zincirleri 1 ve 2 numaralarıyla, eşlenme s… | ✓I ve II
fen-dn-324 | F.8.2.1.1 | z4 | k3 | Bir çam fidanının tomurcuğundaki bir hücre bölünerek iki yeni hücre oluşturmuştur. Bir araştırmacı, oluşan hücrelerden birinin çe… | ✓I ve II
fen-dn-325 | F.8.2.1.2 | z4 | k3 | Bir öğrenci, dört basamaklı bir DNA bölümünü çizmeye başlamış ama bazı bazları henüz yazmamıştır. Öğrencinin çizimindeki yazılmış… | ✓1. basamakta adeninin karşısında sitozin bul…
fen-dn-013 | F.8.2.1.2 | z2 | k0 | Bir DNA molekülünün iki zinciri, aralarında basamaklar oluşturacak biçimde karşı karşıya durur. Buna göre bu iki zinciri bir arad… | ✓Karşılıklı gelen organik bazların eşleşmesi
fen-dn-014 | F.8.2.1.1 | z3 | k0 | Bir hücrenin çekirdeğinden alınan bir DNA molekülü incelenmektedir. Buna göre bu molekülle ilgili; I. Üzerinde çok sayıda gen bul… | ✓I, II ve III
fen-dn-015 | F.8.2.1.1 | z4 | k0 | Bir araştırmacı, bir canlının iki ayrı hücresinden aldığı DNA örneklerini incelemiş ve bazların dizilim sırasının iki örnekte de … | ✓Taşıdıkları genler birbirinin aynısıdır.
