tur-ca-101 | T.8.3.25 | z1 | k1 | Aşağıdaki cümlelerin hangisinde neden-sonuç ilişkisi vardır? | ✓Otobüs geç geldiği için derse yetişemedim.
tur-ca-116 | T.8.3.25 | z2 | k1 | Babaannem telefonda şöyle dedi: "Bu yıl da bahçedeki elma ağacı meyve verdi, gelirken yanınıza bir sepet alın." Babaannenin sözün… | ✓Elma ağacı, önceki yıllarda da meyve vermişt…
tur-ca-117 | T.8.3.25 | z2 | k1 | Sınıf gezisini planlayan dört öğrenci şunları söylüyor: Tolga: "Dönüşte herkes epey yorgun düşecek gibi görünüyor." Zeynep: "Gün … | ✓Zeynep
tur-ca-118 | T.8.3.25 | z2 | k1 | Bir kütüphanenin girişine asılan duyuruda şu cümleler yer alıyor: (I) Ödünç aldığınız kitabı süresinde getirmezseniz yeni kitap a… | ✓I
tur-ca-119 | T.8.3.25 | z2 | k1 | Selim, kamp tatilini şöyle anlatıyor: (I) Kamp alanına varınca önce çadırımızı kurduk. (II) Akşam göl kıyısında ateş yakıp şarkı … | ✓III
tur-ca-120 | T.8.3.25 | z2 | k1 | Bir doğum günü partisinden sonra dört kişi arkadaşlarına aşağıdaki mesajları gönderiyor. Bu mesajların hangisinde sitem (kırgınlı… | ✓Geleceğine söz vermiştin, bir kez olsun aram…
tur-ca-121 | T.8.3.25 | z2 | k1 | Kuş gözlem kulübünün panosuna asılan notlardan bazıları aşağıda verilmiştir. Bu notların hangisinde bir tanım yapılmıştır? | ✓Göç, canlıların belli dönemlerde yaşadıkları…
tur-ca-122 | T.8.3.10 | z2 | k1 | Bir alışveriş sitesine yazılan yorumdan: "Yeni aldığım matara, suyu saatlerce soğuk tutuyor. - - - - kapağı sıkı kapandığı için ç… | ✓Üstelik
tur-ca-123 | T.8.3.25 | z2 | k1 | Okul gazetesinde çıkan bir haberde şu cümleler yer alıyor: (I) Okulumuzun bahçesine bu hafta yirmi fidan dikildi. (II) Fidanların… | ✓III
tur-ca-124 | T.8.3.25 | z2 | k1 | Okula geç kalan Emre, sınıfa girerken öğretmeninden özür diledi. Sonra sırasına oturup çantasını karıştırdı, defterini bulamayınc… | ✓Emre, çantasını dün akşam hazırlamamıştır.
tur-ca-125 | T.8.3.21 | z2 | k1 | Bir öğrencinin sonbahar üzerine yazdığı kısa yazıdan: (I) Meteorolojiye göre yarın kentte hava sıcaklığı 12 dereceye düşecek. (II… | ✓I
tur-ca-201 | T.8.3.25 | z2 | k2 | "İçin" sözcüğü cümleye bazen amaç, bazen neden anlamı katar. Aşağıdaki cümlelerin hangisinde "için" sözcüğü ötekilerden farklı ol… | ✓Bu güzel başarın için seni yürekten kutluyor…
tur-ca-202 | T.8.3.10 | z2 | k2 | Kasabadaki eski fırın, yetmiş yıldır ekmeğini aynı tarifle ve odun ateşinde pişiriyor. Oysa çevredeki fırınların çoğu, hem hızlı … | ✓İki durum arasındaki karşıtlığı belirtme
tur-ca-203 | T.8.3.21 | z2 | k2 | Bir öğrencinin okuduğu öykü kitabını tanıttığı yazıdan: (I) Kitap, bir kıyı kasabasında geçen on iki öyküden oluşuyor. (II) Öykül… | ✓I
tur-ca-204 | T.8.3.25 | z2 | k2 | Bir gençlik merkezinin bülteninde şu cümleler yer alıyor. Bu cümlelerin hangisinde bir yargı koşula bağlanmıştır? | ✓Kurallara uyduğunuz sürece müzik odasını dil…
tur-ca-205 | T.8.3.10 | z2 | k2 | Mahallemizdeki bisiklet yolu geçen ay açıldı. Yol, okulla park arasındaki mesafeyi yarıya indiriyor; (1) - - - - yol boyunca dinl… | ✓üstelik / bu yüzden
tur-ca-206 | T.8.3.25 | z2 | k2 | Deniz, eve girer girmez annesine şöyle seslendi: "Sonunda ben de okula otobüsle tek başıma gidip gelebiliyorum!" Deniz'in bu sözü… | ✓Deniz, bundan sonra okula her zaman otobüsle…
tur-ca-207 | T.8.3.25 | z2 | k2 | Dedemin eski marangoz atölyesinin önünden her geçişimde içeriden gelen talaş kokusunu arıyorum. O tezgâhın başında bana çekiç tut… | ✓Özlem
tur-ca-208 | T.8.3.25 | z2 | k2 | Hafta sonu yapılacak doğa yürüyüşü için buluşan dört arkadaş şunları söylüyor: Kerem: "Servis yarın sabah yedide okulun önünden k… | ✓İpek
tur-ca-209 | T.8.3.10 | z2 | k2 | Çevre kulübü üyeleri, okulda toplanan eski tişörtleri kesip bez torbalar dikti ve bunları kantinde öğrencilere dağıttı. - - - - h… | ✓Böylece
tur-ca-210 | T.8.3.25 | z2 | k2 | "Gibi" sözcüğü cümleye benzetme, tahmin, uygunluk ya da zaman gibi farklı anlamlar katabilir. Aşağıdaki cümlelerin hangisinde "gi… | ✓Ağabeyim kızınca bir volkan gibi patlar.
tur-ca-211 | T.8.3.21 | z2 | k2 | Okul gazetesinin yeni sayısı çıktıktan sonra yayın kurulundaki öğrenciler şunları söylüyor: Melis: "Gazetenin bir sonraki sayısı … | ✓Efe
tur-ca-212 | T.8.3.25 | z2 | k2 | Mahallemizdeki semt pazarı, kurulduğu meydana otopark yapılınca dar bir sokağa taşındı. Sokakta tezgâhlar için yeterli yer olmadı… | ✓Pazardaki tezgâh sayısının azalması
tur-ca-213 | T.8.3.21 | z2 | k2 | Sahil yolunun yeniden düzenlenmesiyle yürüyüş alanı genişledi, bisikletler için ayrı bir yol yapıldı. Akşamları sahil, eskisinden… | ✓Düzenlemeyi beğenir, yalnızca bir eksikliğin…
tur-ca-214 | T.8.3.25 | z3 | k2 | Okul gazetesinde bilim şenliği üzerine çıkan yazıdan: (I) Bilim şenliğimize bu yıl yirmi iki okul katıldı. (II) Kar yağışı nedeni… | ✓II. cümlede neden-sonuç, III. cümlede amaç-s…
tur-ca-215 | T.8.3.10 | z3 | k2 | Kent bahçeleri, apartmanlar arasındaki boş alanlarda kurulan küçük sebze bahçeleridir. Bu bahçeler mahalle sakinlerine taze ürün … | ✓üstelik / oysa / kısaca
tur-ca-216 | T.8.3.25 | z3 | k2 | Okul kütüphanesinin iade masasında sıra Ozan'a geldi. Kütüphane görevlisi Zehra Hanım, Ozan'ın uzattığı kitabın arka kapağındaki … | ✓Ozan, daha önce de en az bir kitabı geç geti…
tur-ca-217 | T.8.3.21 | z3 | k2 | Bir yerel gazetenin spor sayfasında, kıyı kentinde hafta sonu yapılacak yelken yarışıyla ilgili şu cümleler yer alıyor: (I) Bu ka… | ✓II ve III
tur-ca-218 | T.8.3.21 | z3 | k2 | Okul bahçesine basketbol sahası yapılması önerisi üzerine iki öğrenci görüşlerini şöyle anlatıyor: Elif: "Bahçemiz zaten küçük. S… | ✓İki öğrenci de sahanın küçük sınıflara etkis…
tur-ca-219 | T.8.3.25 | z3 | k2 | Sahneye çıkmadan önce perdenin arkasında bekliyordum. Avuçlarım terlemişti, aylardır çalıştığım notalar sanki kafamdan birer bire… | ✓Kaygı → rahatlama
tur-ca-220 | T.8.3.10 | z3 | k2 | Deniz kaplumbağaları yumurtalarını geceleri kumsala gömer. Yaklaşık iki ay sonra yumurtadan çıkan yavrular kumun altından yüzeye … | ✓kıyıdaki yapıların ışıkları, yavruların yönü…
tur-ca-221 | T.8.3.25 | z3 | k2 | Sınıf başkanı Işıl, yıl sonu gezisi için iki seçenek sundu: bilim merkezi ya da çiftlik. Oylamada sınıfın yarıdan fazlası bilim m… | ✓Gezi planında, oylamada azınlıkta kalanların…
tur-ca-222 | T.8.3.25 | z3 | k2 | Sırt çantası almak isteyen Defne, bir mağazada gördüğü üç çantanın bilgilerini aşağıdaki tabloya yazdı. Ardından bu bilgilere day… | ✓IV
tur-ca-223 | T.8.3.10 | z3 | k2 | Balkonda fesleğen yetiştirmek sanıldığı kadar zor değil. (1) İlk olarak tohumlar, nemli toprakla doldurulmuş küçük kaplara ekilir… | ✓4 numaralı ifade, önceki cümleyle karşıtlık …
tur-ca-224 | T.8.3.21 | z3 | k2 | Aşağıda, bir kasaba pazarını anlatan dört kısa metin verilmiştir. Bu metinlerden hangisi, ötekilerden farklı olarak yalnızca nesn… | ✓Kasabanın pazarı her cumartesi kurulur; tezg…
tur-ca-225 | T.8.3.21 | z3 | k2 | Yeni taşındığımız apartmanın yöneticisi Nail Bey, ilk gün kapımızı çalıp bize bir liste uzattı. Listede çöplerin hangi saatte çık… | ✓Baba, kuralların fazla ayrıntılı olduğunu şa…
tur-ca-301 | T.8.3.25 | z3 | k3 | Bilim şenliğine hazırlanan bir öğrenci, standını kurarken yaşadıklarını şu cümlelerle anlatıyor: (I) Afişin boyası geç kuruduğu i… | ✓III
tur-ca-302 | T.8.3.25 | z3 | k3 | Mahallemizin kütüphanesi yaz boyunca bir okuma yarışması düzenliyor. (I) Yarışmaya katılan her okur, bitirdiği kitabın özetini de… | ✓I. cümlede koşul-sonuç ilişkisi vardır.
tur-ca-303 | T.8.3.21 | z3 | k3 | Okulun giriş katında yeni açılan kitap kafe için dört arkadaş şunları söylüyor: Deniz: "Kafedeki koltuklar, okulun en rahat oturm… | ✓Selin ve Kaan
tur-ca-304 | T.8.3.25 | z3 | k3 | Sınıf başkanı Ayça, ayın ilk günü sınıf panosuyla ilgili görevleri dağıtırken Efe'ye dönüp şöyle diyor: "Geçen ayki gibi panonun … | ✓Efe'nin geçen ay yazdığı başlık, arkadan zor…
tur-ca-305 | T.8.3.10 | z3 | k3 | Bu yıl bahçemizdeki domates fidelerini mayıs yerine haziranın ortasında dikebildik çünkü ilkbahar boyunca toprak çok ıslaktı. Fid… | ✓Bu nedenle
tur-ca-306 | T.8.3.25 | z3 | k3 | Bir yaz kursunun kayıt haftasında öğrencilerin söylediği cümleler aşağıda verilmiştir. Bu cümlelerin hangisinde bir yargının gerç… | ✓Velinden imzalı izin getirmedikçe kursa kayd…
tur-ca-307 | T.8.3.25 | z3 | k3 | (I) Bisikletini kapının önüne kilitlemeden bırakmasaydın bu olmazdı. (II) Otobüs kartına her ayın başında yükleme yaparsan yolda … | ✓I. cümlede öneri anlamı vardır.
tur-ca-308 | T.8.3.25 | z3 | k3 | Okul gazetesinde yayımlanan yıl sonu konseri haberinden bazı cümleler aşağıda verilmiştir. Bu cümlelerin hangisinde karşılaştırma… | ✓Koro, son şarkıyı seyircilerin isteğiyle bir…
tur-ca-309 | T.8.3.21 | z3 | k3 | Bir kırtasiye dükkânının vitrininde, yeni bir okul çantası için şu tanıtım yazısı asılı: (I) Çantanın boş ağırlığı 650 gramdır. (… | ✓I ve II
tur-ca-310 | T.8.3.10 | z3 | k3 | Deniz yıldızlarının pek çok türü, bir yırtıcının saldırısında kolunu kaybedebilir. Bu kayıp, hayvan için bir son değildir. Kopan … | ✓Anlatılanları farklı sözcüklerle yeniden açı…
tur-ca-311 | T.8.3.25 | z3 | k3 | Gökyüzü gözlem gecesinden döndükten sonra günlüğüme şunları yazdım: (I) Haftalardır takvimde işaretli duran gece, gökyüzü bize te… | ✓I
tur-ca-312 | T.8.3.25 | z3 | k3 | Bazı cümleler, açıkça söylemedikleri bir bilgiyi de bize sezdirir. Örneğin "Otobüsü bu sefer kaçırmadık." diyen biri, önceki sefe… | ✓Kuzenim, bayram tatilinde bize Bursa'dan şef…
tur-ca-313 | T.8.3.25 | z3 | k3 | Sınıfın sözlük panosu için hazırlanan bir metin şöyledir: (I) Bilmece, bir varlığı adını söylemeden, özelliklerini üstü kapalı bi… | ✓I ve III
tur-ca-314 | T.8.3.10 | z3 | k3 | Okulumuzun bahçesindeki çeşmenin musluğu aylardır damlatıyordu. Fen kulübü, musluğun altına bir kova koyup bir gün boyunca birike… | ✓Bu sayede
tur-ca-315 | T.8.3.25 | z3 | k3 | Bir öğrenci, hafta sonunu anlatan dört cümlesini aşağıdaki tabloya yazmıştır. Tablodaki cümlelerin taşıdığı anlam ilişkileri sıra… | ✓amaç – neden – karşılaştırma – koşul
tur-ca-316 | T.8.3.25 | z4 | k3 | Göl kıyısındaki bir kamp alanı, ziyaretçilere dağıttığı broşürde hem kurallara hem de önerilere yer vermiş. Broşürü hazırlayanlar… | ✓Gün doğumunu tepeden izlerseniz ömrünüzün en…
tur-ca-317 | T.8.3.21 | z4 | k3 | Okulumuzun fen kulübü, bir ay boyunca iki saksıdaki fasulye fidelerini izledi. Saksılardan biri güneş alan pencerenin önüne, diğe… | ✓IV
tur-ca-318 | T.8.3.25 | z4 | k3 | Okul voleybol takımının antrenörü, deplasmandaki maçtan sonra soyunma odasında oyunculara şöyle seslendi: "Bu maçta da ikinci yar… | ✓Takım, maçı ikinci yarıda yaptığı hatalar yü…
tur-ca-319 | T.8.3.10 | z4 | k3 | Çoğumuz yarasaların göremediğini düşünürüz. (I) - - - - yarasaların gözleri vardır ve bazı türlerin görme duyusu oldukça gelişmiş… | ✓Oysaki / böylece
tur-ca-320 | T.8.3.25 | z4 | k3 | (I) Babaannemin köyündeki taş fırın her sabah beşte yakılır. (II) Hamurun zamanında mayalanması için fırıncı gece yarısı kalkıp h… | ✓II. cümlede neden-sonuç ilişkisi kurulmuştur.
tur-ca-321 | T.8.3.25 | z4 | k3 | Okul kütüphanesi kulübü, "Kitap Takas Günü" için bir afiş hazırlayacak. Kulüp danışmanı, afiş metninin aşağıdaki üç ölçütü birlik… | ✓Takas günü cuma saat 14.00'te kütüphanede. B…
tur-ca-322 | T.8.3.25 | z4 | k3 | Geçen yaz ağabeyimle üç günlük bir bisiklet turuna katıldık. Tur, kıyı boyunca uzanan köy yollarından geçiyordu. Her akşam belirl… | ✓III
tur-ca-323 | T.8.3.25 | z4 | k3 | Türkçe öğretmeni, Deren'in "Mahallemizin Unutulan Çeşmesi" başlıklı kompozisyonunu okuduktan sonra kâğıdın altına şu notu yazmış:… | ✓Hem övgü hem de öğrencinin daha önce zorland…
tur-ca-324 | T.8.3.21 | z4 | k3 | Okulun düzenlediği fidan dikme etkinliğinden sonra dört arkadaş bahçede şöyle konuşuyor: Arda: "Bugün okul bahçesine otuz iki fid… | ✓Buse'nin sözü hem nesneldir hem de amaç-sonu…
tur-ca-325 | T.8.3.10 | z4 | k3 | Mahallemizdeki eski sinema salonu yıllardır kapalıydı. Geçen ay bir grup gönüllü, salonu çocuklar için bir sanat atölyesine dönüş… | ✓I, olumsuzluklara aynı yönde bir yenisini ek…
tur-ca-001 | T.8.3.21 | z1 | k0 | Aşağıdaki cümlelerin hangisinde nesnel bir yargı vardır? | ✓Kütüphane cumartesi günleri saat on sekizde …
tur-ca-002 | T.8.3.25 | z1 | k0 | Keşke o gün arkadaşımın doğum günü partisine gitseydim. Bu cümlede aşağıdaki anlamlardan hangisi vardır? | ✓Pişmanlık
tur-ca-003 | T.8.3.10 | z1 | k0 | Sabah hava çok soğuktu; - - - - okulun futbol maçı ertelenmedi. Bu cümlede boş bırakılan yere aşağıdakilerden hangisi getirilmeli… | ✓yine de
tur-ca-004 | T.8.3.25 | z2 | k0 | Sınıfça düzenlediğimiz kermesi anlatan cümleler şunlardır: (I) Köy okulundaki öğrencilere kitap göndermek için pasta satmaya kara… | ✓I
tur-ca-005 | T.8.3.25 | z2 | k0 | Okulun duyuru panosuna bahçeyle ilgili notlar asılmış. Notlarda yer alan cümleler aşağıda verilmiştir. Bu cümlelerin hangisinde k… | ✓Hava güzel olursa beden eğitimi dersi bahçed…
tur-ca-006 | T.8.3.21 | z2 | k0 | Planetaryum gezisinden dönen dört öğrenci izlenimlerini şöyle anlatıyor: Ela: "Gösteri kırk dakika sürdü." Umut: "Kubbeye yansıtı… | ✓Umut
tur-ca-007 | T.8.3.25 | z2 | k0 | Annem, akşam yemeğinde yaz planlarımızı konuşurken şöyle dedi: "Ablan bu yaz da yüzme kursuna gidecek." Annemin bu sözünden aşağı… | ✓Ablam, daha önce de yüzme kursuna gitmiştir.
tur-ca-008 | T.8.3.10 | z2 | k0 | Mahallemizde yeni açılan halk kütüphanesi, evimize yürüme mesafesinde. Üstelik hafta sonları da akşam dokuza kadar açık kalıyor. … | ✓Önceki cümledeki olumlu yöne yeni bir bilgi …
tur-ca-009 | T.8.3.25 | z3 | k0 | Okulumuzun meteoroloji kulübü, çatıya bir ölçüm cihazı yerleştirdi. Kulüp üyelerinden biri, ilk haftayı şu cümlelerle anlatıyor: … | ✓IV
tur-ca-010 | T.8.3.21 | z3 | k0 | (I) Kâğıt katlama sanatı origami, adını Japoncadan alır. (II) Tek bir kare kâğıttan, makas ve yapıştırıcı kullanmadan pek çok far… | ✓III
tur-ca-011 | T.8.3.10 | z3 | k0 | Evde kompost yapmak isteyenler şu yolu izleyebilir. (I) - - - - bahçenin gölge bir köşesine tahta bir kasa yerleştirilir. Ardında… | ✓İlk olarak / böylece
tur-ca-012 | T.8.3.25 | z3 | k0 | Apartmanın giriş kapısına şu not asılmış: "Sevgili komşular, geçen hafta olduğu gibi bu hafta da merdivenlere bırakılan bisikletl… | ✓Bisikletlerin merdivenlere bırakılması yeni …
tur-ca-013 | T.8.3.21 | z4 | k0 | Sınıf gezisinin nereye yapılacağını konuşan dört öğrenci, görüşlerini şöyle dile getiriyor: Ada: "Müzeye gidersek tarih dersinde … | ✓Cansu
tur-ca-014 | T.8.3.21 | z4 | k0 | Kuş gözlem gezisine katılan iki öğrenci, gezi defterlerine şunları yazmıştır: Zeynep: "Göl kıyısındaki gözlem kulübesinde iki saa… | ✓Zeynep gözlemini nesnel, Kerem ise duyguları…
tur-ca-015 | T.8.3.25 | z4 | k0 | Kardeşim Can, bu yıl da okulun satranç turnuvasında finale kalamadı. Oysa yaz boyunca her akşam babamla çalışmıştı. Yine de yarı … | ✓Can, turnuvadaki bütün maçlarını kaybetmişti…
