tur-fi-101 | T.8.3.9 | z1 | k1 | Aşağıdaki cümlelerin hepsinde "yoğurmak" fiilinden türemiş bir sözcük vardır. Bu cümlelerin hangisinde söz konusu sözcük, işin ad… | ✓Mutfakta hamur yoğurmak beni çok dinlendiriy…
tur-fi-112 | T.8.3.9 | z2 | k1 | Aşağıdaki tabloda Berk'in okul korosuyla ilgili kurduğu dört cümle verilmiştir. Cümlelerin her birinde bir fiilimsi vardır. Buna … | ✓I ve II
tur-fi-201 | T.8.3.9 | z2 | k2 | (I) Sabah uyandığımda bütün camlar buğulanmıştı. (II) Yağmur başlamadan çamaşırları içeri aldık. (III) Islanan ayakkabılarımı kal… | ✓IV
tur-fi-202 | T.8.3.9 | z2 | k2 | (I) Yarışmaya katılan öğrenciler sabah erkenden toplandı. (II) Anlamadığım soruyu öğretmenime tekrar sordum. (III) Ödevini erken … | ✓III
tur-fi-203 | T.8.3.9 | z2 | k2 | (I) Fideleri dikerken eldiven takmayı unutmuşum. (II) Toprağı havalandırıp tohumları özenle yerleştirdik. (III) Güneş batmadan ba… | ✓I
tur-fi-204 | T.8.3.9 | z2 | k2 | Aşağıdaki tabloda bir basketbol antrenmanıyla ilgili dört cümle verilmiştir. Buna göre numaralanmış cümlelerin hangisinde fiilims… | ✓II
tur-fi-205 | T.8.3.9 | z2 | k2 | (I) Annemin akşama hazırladığı börek çok lezzetliydi. (II) Tencerenin kapağını kapatınca mutfak mis gibi koktu. (III) Sebzeleri d… | ✓III
tur-fi-206 | T.8.3.9 | z2 | k2 | Kırtasiyeye girdiğimde ilk işim raflara bakmaktır. Yeni çıkan defterleri incelemek, kapak desenlerini karşılaştırmak hoşuma gider… | ✓3
tur-fi-207 | T.8.3.9 | z3 | k2 | Deniz'in kış tatilinde tuttuğu günlükten bir cümle aşağıda verilmiştir. Cümledeki dört söz numaralandırılarak altı çizilmiştir. B… | ✓III
tur-fi-208 | T.8.3.9 | z3 | k2 | Fiilimsiler, bir fiilden türediği hâlde cümlede ad, sıfat ya da zarf gibi kullanılan sözcüklerdir. Bir cümlede birden çok fiilims… | ✓Mutfağı toplarken radyoyu kapatmayı unuttum.
tur-fi-209 | T.8.3.9 | z3 | k2 | Fiilimsi ekleriyle türeyen bazı sözcükler zamanla bir varlığın adı hâline gelmiştir. Bu sözcükler artık iş, oluş ya da hareket bi… | ✓Sıcaklar bastırınca dondurma satışları birde…
tur-fi-210 | T.8.3.9 | z3 | k2 | Sena, okul kütüphanesinin tanıtım yazısındaki fiilimsileri türlerine göre saymış ve sonucu aşağıdaki tabloya yazmıştır. Ne var ki… | ✓3
tur-fi-211 | T.8.3.9 | z3 | k2 | Aşağıda üç arkadaşın ders çalışma alışkanlıklarıyla ilgili sözleri verilmiştir. Ece: Müzik dinleyerek çalışmak dikkatimi dağıtıyo… | ✓Poyraz'ın cümlesindeki fiilimsi, 'parçalar' …
tur-fi-212 | T.8.3.9 | z3 | k2 | Bir öğrencinin balkonundaki bitkiler için tuttuğu bahçe defterinden dört not aşağıdaki tabloda verilmiştir. Buna göre bu notların… | ✓20 Nisan
tur-fi-301 | T.8.3.9 | z3 | k3 | Okulun gökyüzü kulübü, her yıl sonbaharda bir gözlemevi gezisi düzenler. Bu yılki gezi, ayın en karanlık gecesine denk geldi. Kul… | ✓I
tur-fi-302 | T.8.3.9 | z3 | k3 | Bir gönüllü grubu, çöpe atılacak eski telefonlar için bir onarım atölyesi açtı. Grup, her cumartesi öğleden sonra bir okulun boş … | ✓Atölyeye gelen cihazların çoğu yalnızca küçü…
tur-fi-303 | T.8.3.9 | z3 | k3 | Türkçe dersinde fiilimsi konusu işlendi. Öğretmen, tahtaya bir tren yolculuğuyla ilgili dört cümle yazdı ve sınıftan her cümledek… | ✓III
tur-fi-304 | T.8.3.9 | z3 | k3 | Ayşe Teyze, köyündeki küçük serada yıl boyunca sebze yetiştiriyor. Sera, iki yıl önce ilçe tarım müdürlüğünün desteğiyle kuruldu.… | ✓Ayşe Teyze, fideleri dikerken eldiven takmay…
tur-fi-305 | T.8.3.9 | z3 | k3 | Sekizinci sınıflar, şehirdeki bilim müzesini gezdi. Müzede uzay, fosiller ve basit deneyler için ayrı salonlar var. Öğrenciler he… | ✓I
tur-fi-306 | T.8.3.9 | z3 | k3 | Fen kulübü, ilçedeki göl kıyısında iki günlük bir doğa gözlemi kampı düzenliyor. Programda kuş sayımı, bitki fotoğrafı ve gece gö… | ✓Ateşin çevresine dizilecek taşları sabahtan …
tur-fi-307 | T.8.3.9 | z3 | k3 | Üniversitenin spor bilimi merkezi, uzun mesafe koşucularına ücretsiz ölçüm hizmeti veriyor. Merkeze her hafta yirmi kadar sporcu … | ✓III
tur-fi-308 | T.8.3.9 | z4 | k3 | Türkiye'de her yıl yüz binlerce ton cam ambalaj çöpe gider. Oysa cam, sınırsız sayıda yeniden kullanıma uygun bir maddedir. Bu yü… | ✓5
tur-fi-309 | T.8.3.9 | z4 | k3 | Bir gökbilim ekibi, arşivdeki eski fotoğraflar üzerinde yeniden çalıştı ve önemli bir sonuca ulaştı. Çalışmanın ayrıntıları geçen… | ✓I. cümledeki fiilimsi, bir varlığı nitelemek…
tur-fi-310 | T.8.3.9 | z4 | k3 | Yarıyıl tatilinde akrabalarını ziyaret edecek olan bir grup öğrenci, sabah erkenden otogara geldi. Otogarın dijital panosunda her… | ✓Kastamonu seferlerinden biri iptal edilince …
tur-fi-311 | T.8.3.9 | z4 | k3 | Türkçe dersinde fiilimsi konusu işlendikten sonra öğretmen kısa bir alıştırma dağıttı. Alıştırmada müze gezisiyle ilgili dört cüm… | ✓2
tur-fi-312 | T.8.3.9 | z4 | k3 | Akıllı saatler, gün içindeki hareketleri ve uyku süresini kaydediyor. Bu veriler telefondaki uygulamaya aktarılır ve haftalık bir… | ✓I
tur-fi-001 | T.8.3.9 | z1 | k0 | Aşağıdaki cümlelerin hangisinde isim-fiil vardır? | ✓Gökyüzünü izlemek için balkona dürbün kurduk.
tur-fi-002 | T.8.3.9 | z1 | k0 | Aşağıdaki cümlelerin hangisinde fiilimsi yoktur? | ✓Gemi limandan tam saatinde ayrıldı.
tur-fi-003 | T.8.3.9 | z1 | k0 | Aşağıdaki cümlelerin hangisinde zarf-fiil vardır? | ✓Kaslarını iyice esnetmeden koşuya başlama.
tur-fi-004 | T.8.3.9 | z2 | k0 | Şehir müzesinin yeni bölümü bu ay ziyarete açıldı. Aşağıda bu bölümle ilgili dört cümle verilmiştir. Bu cümlelerin hangisinde sıf… | ✓Camekânda duran çini tabak iki yüz yıl önces…
tur-fi-005 | T.8.3.9 | z2 | k0 | Aşağıda küçük bir ayakkabı atölyesiyle ilgili dört cümle verilmiştir. (I) Atölyede çalışan ustalar günde yüz çift ayakkabı dikiyo… | ✓I ve II
tur-fi-006 | T.8.3.9 | z2 | k0 | Kuş gözlem kulübünün üyeleri, sabah çok erken kalkar. Aşağıdaki cümle Kerem'in böyle bir sabahını anlatmaktadır. Sabah erkenden k… | ✓4
tur-fi-007 | T.8.3.9 | z2 | k0 | Ekim ayında zeytin hasadı başlıyor. Aşağıda bu hasatla ilgili dört cümle verilmiştir. Bu cümlelerin hangisindeki fiilimsi, tür ba… | ✓Ağaçların altına serilen filelere zeytinler …
tur-fi-008 | T.8.3.9 | z3 | k0 | Aşağıda bir köydeki ekim hazırlıklarıyla ilgili dört cümle verilmiştir. Dört cümlede de "ekmek" sözcüğü geçmektedir. Buna göre, b… | ✓Kahvaltıda köy fırınından aldığımız ekmek ço…
tur-fi-009 | T.8.3.9 | z3 | k0 | Tam güneş tutulması sırasında gökyüzü birkaç dakikalığına karardı. Aşağıda o günle ilgili dört cümle verilmiştir. Bu cümlelerin h… | ✓Gölge Dünya'ya ulaşınca ortalık birden karar…
tur-fi-010 | T.8.3.9 | z3 | k0 | Aşağıda bir millî park kamp alanının girişine asılan levha verilmiştir. Buna göre, levhadaki maddelerin hangisinde sıfat-fiil kul… | ✓3. madde
tur-fi-011 | T.8.3.9 | z4 | k0 | Bir okulun teknoloji atölyesinde üç boyutlu yazıcıyla parça üretiliyor. Aşağıda bu çalışmayla ilgili dört cümle verilmiştir. Buna… | ✓IV
tur-fi-012 | T.8.3.9 | z4 | k0 | Bir spor bilimi merkezinde, ameliyat sonrası hastalar için su içinde egzersiz programları uygulanıyor. Aşağıda bu merkezle ilgili… | ✓Yüzmeyi yeni öğrenen çocuklar, sığ havuzda h…
tur-fi-113 | T.8.3.9 | z1 | k1 | (I) Rüzgârın çıkmasını sabahtan beri bekliyoruz. (II) Sahilde koşan çocuklar uçurtmalarını uçurdu. (III) İpi biraz gevşetince uçu… | ✓I
tur-fi-114 | T.8.3.9 | z1 | k1 | (I) Turnuvaya katılmak için sabah erkenden salona gittik. (II) Masada bekleyen rakibim bana elini uzattı. (III) İlk hamlemi yapın… | ✓II
tur-fi-115 | T.8.3.9 | z1 | k1 | Bir arıcının gününden dört cümle aşağıdaki tabloda verilmiştir. Numaralanmış cümlelerin hangisinde fiilimsi kullanılmıştır? | ✓III
tur-fi-116 | T.8.3.9 | z1 | k1 | Dedem, kendi tamir ettiği bisikleti bahçedeki ağaca yaslamış. Bu cümledeki "ettiği" sözcüğü, aşağıdaki soruların hangisine cevap … | ✓Hangi bisikleti?
tur-fi-117 | T.8.3.9 | z1 | k1 | Okul gazetesini hazırlamak bu yıl bizim sınıfa düştü. Bu cümledeki fiilimsiyle ilgili aşağıdakilerden hangisi doğrudur? | ✓Yapılan bir işin adını bildirmektedir.
tur-fi-118 | T.8.3.9 | z1 | k1 | Sabah sağılan sütü, mandıranın arkasındaki büyük kazanlara boşalttık. Bu cümledeki sıfat-fiil, aşağıdaki sözcüklerden hangisini n… | ✓süt
tur-fi-119 | T.8.3.9 | z2 | k1 | Aşağıda birbiriyle ilgili iki cümle verilmiştir. · Vapur iskeleye yanaştı. · Yolcular sırayla dışarı çıktı. Bu iki cümle anlamı k… | ✓Vapur iskeleye yanaşınca yolcular sırayla dı…
tur-fi-120 | T.8.3.9 | z2 | k1 | Okul radyosunun yayın ekibinden iki öğrenci konuşuyor. Mert: Mikrofonu açmadan önce herkesin susması gerekiyor. Selin: Ben de bu … | ✓Mert'in cümlesinde iki, Selin'in cümlesinde …
tur-fi-121 | T.8.3.9 | z2 | k1 | Aşağıdaki cümlelerin her birinde bir sözcük koyu yazılmıştır. Bu sözcüklerden hangisi, bir işin adını bildiren fiilimsidir? | ✓Ekibin sahneye çıkışı uzun uzun alkışlandı.
tur-fi-122 | T.8.3.9 | z2 | k1 | Okulun doğa kulübü, bitki kurutma atölyesi için bir duyuru hazırlamıştır. Duyurudaki maddeler aşağıda verilmiştir. Buna göre, bu … | ✓4. madde
tur-fi-123 | T.8.3.9 | z2 | k1 | Okulda yangın tatbikatı yapıldı ve öğrenciler tahliye sırasını öğrendi. Aşağıdaki cümlelerin hangisinde diğerlerinden daha çok fi… | ✓Merdivenlerde koşmadan, eğilerek ilerlemeyi …
tur-fi-124 | T.8.3.9 | z2 | k1 | Bir öğrenci, bir sözcüğün fiilimsi olup olmadığını adım adım belirlemek için aşağıdaki akış şemasını çizmiştir. Buna göre, aşağıd… | ✓Eldivenlerini giyerken sağ parmağı acımış.
tur-fi-125 | T.8.3.9 | z2 | k1 | Bir orman yangını gözetleme kulesiyle ilgili dört cümle aşağıdaki tabloda verilmiştir. Numaralanmış cümlelerin hangisinde fiilims… | ✓I
tur-fi-213 | T.8.3.9 | z2 | k2 | Bir kargo gönderimiyle ilgili dört cümle aşağıdaki tabloda verilmiştir. Numaralanmış cümlelerin hangisinde fiilimsi, olumsuzluk e… | ✓II
tur-fi-214 | T.8.3.9 | z2 | k2 | Bazı zarf-fiiller, iki eylemin art arda yapıldığını bildirir. Böyle bir fiilimsinin yerine "…dı ve" sözünü koyduğunda cümlenin an… | ✓Çamuru tezgâha koyup tornayı yavaşça döndürd…
tur-fi-215 | T.8.3.9 | z2 | k2 | Buz pistine ilk kez bu ay gittim. Paten ayakkabılarını kiralamak epey kolaymış. Buzun üstünde ayakta durmayı ancak yarım saatte ö… | ✓3
tur-fi-216 | T.8.3.9 | z2 | k2 | Türkçe öğretmeni, öğrencilerinden içinde sıfat-fiil bulunan birer cümle yazmalarını istemiştir. Dört öğrencinin yazdığı cümleler … | ✓Ela
tur-fi-217 | T.8.3.9 | z2 | k2 | Aşağıdaki atasözlerinin hangisinde fiilimsi kullanılmıştır? | ✓Gülü seven dikenine katlanır.
tur-fi-218 | T.8.3.9 | z2 | k2 | Bir öğrenci, fiilimsileri ayırt etmek için defterine dört not almış ve her notun yanına bir örnek yazmıştır. Buna göre, bu notlar… | ✓IV
tur-fi-219 | T.8.3.9 | z2 | k2 | Köydeki dokuma atölyesinde her yaştan kadın çalışıyor. Tezgâha oturan usta, ipleri tek tek sayarak yerleştiriyor. Desenleri ezber… | ✓sayarak
tur-fi-220 | T.8.3.9 | z3 | k2 | Bir öğrenci, okul bahçesindeki kompost kutusuyla ilgili aşağıdaki yazıyı okumuş, yazıdaki fiilimsileri türlerine göre saymış ve s… | ✓Sıfat-fiil sütununu bir birim fazla çizmişti…
tur-fi-221 | T.8.3.9 | z3 | k2 | Türkçe dersinde şu cümle tahtaya yazıldı: Kapıyı çalan komşumuz, elindeki sepeti uzatıp hemen gitti. Sıla, cümlede iki fiilimsi b… | ✓Sıla haklıdır; biri sıfat-fiil, biri zarf-fi…
tur-fi-222 | T.8.3.9 | z3 | k2 | Fiilimsilerin üç türü vardır: işin adını bildiren isim-fiil, bir varlığı niteleyen sıfat-fiil, eylemin nasıl ya da ne zaman yapıl… | ✓Surlardan inerken çekilen fotoğrafları payla…
tur-fi-223 | T.8.3.9 | z3 | k2 | Aşağıdaki cümlede bir sözün yeri boş bırakılmıştır. - - - - deftere yazdığım notlar sınavdan önce çok işime yaradı. Bu boşluğa aş… | ✓Tahtaya yazılanlara bakarak
tur-fi-224 | T.8.3.9 | z3 | k2 | Bir öğrenciden, aşağıdaki cümlede fiilimsi olduğunu düşündüğü sözcüklerin altını çizmesi istenmiştir. Öğrencinin altını çizdiği s… | ✓2
tur-fi-225 | T.8.3.9 | z3 | k2 | Belediye, şehir ormanında bir fidan dikim günü düzenledi ve mahalleden yüzlerce gönüllü katıldı. Aşağıdaki cümlelerin hangisinde … | ✓Çukur açan gönüllüler, kamyondan indirilen f…
tur-fi-313 | T.8.3.9 | z3 | k3 | Her ilkbaharda mahalle bahçesinde bir tohum takas şenliği düzenleniyor. Mahalleli, kendi yetiştirdiği sebzelerden ayırdığı tohuml… | ✓Masaya erken ulaşanlar, nadir çeşitlerin zar…
tur-fi-314 | T.8.3.9 | z3 | k3 | Şehirde bu yıl on bisiklet paylaşım istasyonu açıldı. Kullanıcılar telefonlarındaki uygulamadan bisikletin kilidini açıyor, yolcu… | ✓II ve III
tur-fi-315 | T.8.3.9 | z3 | k3 | Sekizinci sınıflar, mezuniyet gezisi için okul bahçesinde bir kermes düzenledi. Öğrenciler evden getirdikleri kurabiyeleri, el iş… | ✓III
tur-fi-316 | T.8.3.9 | z3 | k3 | Köyümüzün dere kenarındaki eski su değirmeninde otuz yıl değirmencilik yapmış bir amcayla konuştuk. Anlattığına göre değirmenin s… | ✓IV. cümlede herhangi bir fiilimsi kullanılma…
tur-fi-317 | T.8.3.9 | z3 | k3 | Okulun dergi kulübü, bahçedeki yeni gözlem kulesi için kısa bir tanıtım yazısı hazırlamıştır: Okulumuzun arka bahçesine kurulan g… | ✓Kuleye tırmanan ziyaretçiler, kuşları sessiz…
tur-fi-318 | T.8.3.9 | z3 | k3 | Şehir merkezindeki eski bir handa, hafta sonları ebru atölyesi açılıyor. Katılımcılar önce tekneye boya damlatmayı, sonra desenle… | ✓I ve II
tur-fi-319 | T.8.3.9 | z3 | k3 | İlçedeki iki yüz yıllık taş köprünün onarımıyla ilgili beş cümle aşağıdaki tabloda sırayla verilmiştir. Buna göre, bu beş cümleni… | ✓2
tur-fi-320 | T.8.3.9 | z3 | k3 | Okulun bilim şenliğinde her sınıf bir stant hazırladı. Bizim standımızda basit makinelerle ilgili düzenekler vardı. Aşağıda stand… | ✓isim-fiil – zarf-fiil – sıfat-fiil – zarf-fi…
tur-fi-321 | T.8.3.9 | z4 | k3 | Şehirde elektrikli otobüs hattı bu yıl hizmete girdi. Otobüsler gece boyunca garajda şarj ediliyor, sabah beşte hatta çıkıyor. Be… | ✓motorundan yükselen sesi kısarak
tur-fi-322 | T.8.3.9 | z4 | k3 | Aşağıda aynı konuyu iki ayrı açıdan ele alan iki kısa metin verilmiştir. Metin I: Kışın bahçeye yem koymak, yerli kuşlar için yar… | ✓Her iki metinde de dörder fiilimsi kullanılm…
tur-fi-323 | T.8.3.9 | z4 | k3 | Okulun çevre kulübü, sahil temizliği etkinliğinden bir fotoğrafı okul panosuna asacak ve altına tek cümlelik bir açıklama yazacak… | ✓Sahilde topladığımız çöpleri ayırmak iki saa…
tur-fi-324 | T.8.3.9 | z4 | k3 | Bir grup üniversite öğrencisi, köy okullarına ikinci el bilgisayar ulaştıran bir topluluk kurmuş. Bağışlanan cihazları önce atöly… | ✓II. cümledeki fiilimsi, eylemin nasıl yapıld…
tur-fi-325 | T.8.3.9 | z4 | k3 | Aynı ek, bir cümlede fiili çekimleyebilir, başka bir cümlede fiilimsi kurabilir. Belirleyici olan ekin kendisi değil, sözcüğün cü… | ✓Bahçe kapısı sabahtan beri açılmış. Rüzgârla…
