fen-mv-101 | F.8.1.1.1 | z1 | k1 | Aşağıda Dünya'nın dönme ekseni ile Güneş çevresindeki dolanma düzlemi şematik olarak gösterilmiştir. Buna göre Dünya'nın dönme ek… | ✓Dolanma düzlemine dik doğrultudan sapmış, eğ…
fen-mv-304 | F.8.1.1.1 | z3 | k3 | Bir doğa gözlem kulübü, aynı kamp alanına ocak ve temmuz aylarında birer kez gitmiştir. Kulüp üyeleri her iki kampta da öğle vakt… | ✓I, II ve III
fen-mv-305 | F.8.1.1.1 | z3 | k3 | Bir market zinciri, yıl boyunca taze meyve bulundurabilmek için hem Türkiye'den hem de Güney Yarım Küre'deki Şili'den alım yapmak… | ✓Dünya'nın dönme ekseninin dolanma düzlemine …
fen-mv-306 | F.8.1.1.1 | z3 | k3 | Bir spor bilimleri merkezi, açık hava antrenmanlarını planlamak için sporcuların kullandığı sahada yılın dört gününde ölçüm yapmı… | ✓I ve III
fen-mv-307 | F.8.1.1.1 | z3 | k3 | Bir müzenin gök bilim salonunda, Dünya'nın Güneş çevresindeki yolculuğunu gösteren bir animasyon ekranı bulunmaktadır. Ziyaretçil… | ✓Dünya yörüngenin karşı tarafına geçtiğinde e…
fen-mv-308 | F.8.1.1.1 | z4 | k3 | Bir fabrikanın çatısına, güneş panellerinin eğimini yıl boyunca kendiliğinden değiştiren bir sistem kurulmuştur. Sistem, öğle vak… | ✓I ve II
fen-mv-309 | F.8.1.1.1 | z4 | k3 | Cem, mevsimlerin nedenini araştırmak için bir model kurmuştur. Modelde sabit duran bir lamba Güneş'i, üzerine ışık sensörü yapışt… | ✓I ve II
fen-mv-310 | F.8.1.1.1 | z4 | k3 | Bir gök bilim dergisinde, Güneş'e benzeyen bir yıldızın çevresinde dolanan üç gezegen tanıtılmıştır. Üç gezegenin de dolanma düzl… | ✓S gezegeninde eksenin eğikliği, gezegenin yı…
fen-mv-311 | F.8.1.1.1 | z4 | k3 | Bir otobüs firması, dinlenme tesisinin otoparkına araçları yazın serin tutacak bir gölgelik yaptırmak istemektedir. Mimar, gölgel… | ✓I ve II
fen-mv-312 | F.8.1.1.1 | z4 | k3 | Bir tarım araştırma istasyonunu gezen öğrencilere şu soru yöneltilmiştir: "Dünya'nın dönme ekseninin eğiklik açısı bugünkünden da… | ✓Deniz ve Ege
fen-mv-001 | F.8.1.1.1 | z1 | k0 | Dünya'da mevsimlerin oluşmasının temel nedeni aşağıdakilerden hangisidir? | ✓Dünya'nın dönme ekseninin dolanma düzlemine …
fen-mv-002 | F.8.1.1.1 | z1 | k0 | Aşağıda Dünya'nın dönme ekseni ile Güneş çevresindeki dolanma düzlemi arasındaki açı α ile gösterilmiştir. Buna göre α açısı kaç … | ✓66,5°
fen-mv-003 | F.8.1.1.1 | z1 | k0 | Bir kamp rehberi, kampçılara "Aynı yerde dikili duran bir ağacın öğle vakti gölgesi yazın kısa, kışın uzundur." demiştir. Buna gö… | ✓Yazın Güneş ışınlarının yere daha dik düşmesi
fen-mv-004 | F.8.1.1.1 | z2 | k0 | Kerem, el fenerini bir duvara önce tam karşıdan (dik), sonra yana doğru eğerek tutmuştur. Fenerin verdiği ışık iki durumda da ayn… | ✓Duvarın birim yüzeyine düşen ışık enerjisi a…
fen-mv-005 | F.8.1.1.1 | z2 | k0 | Bir öğrenci değişim programıyla temmuz ayında Türkiye'den Avustralya'ya gitmiştir. Bavuluna yazlık kıyafetler koyan öğrenci, indi… | ✓Avustralya Güney Yarım Küre'de olduğu için ı…
fen-mv-006 | F.8.1.1.1 | z2 | k0 | Aşağıda Dünya'nın Güneş çevresindeki yörüngesi üzerindeki iki konumu gösterilmiştir. Şekilde dönme ekseni çizilmiş, kuzey kutupla… | ✓Kış – Daha eğik
fen-mv-007 | F.8.1.1.1 | z2 | k0 | Bir çiftçi, aynı tohumu ektiği tarlasının iki bölümünde ürünlerin farklı zamanlarda olgunlaştığını fark etmiştir. Güneye bakan eğ… | ✓Eğimli bölümde ışınlar yüzeye daha dik düştü…
fen-mv-008 | F.8.1.1.1 | z3 | k0 | Bir fabrikanın çatısına yerleştirilen güneş panellerinin ürettiği elektrik enerjisi yıl boyunca kaydedilmiştir. Paneller kurulduğ… | ✓I ve III
fen-mv-009 | F.8.1.1.1 | z3 | k0 | Spor bilimleri dersinde öğrenciler, sentetik saha zemininin yaz aylarında neden aşırı ısındığını araştırmıştır. Özdeş iki zemin ö… | ✓I ve II
fen-mv-010 | F.8.1.1.1 | z3 | k0 | Bir bilim müzesinin "Mevsimler" köşesinde ziyaretçiler, bir kolu çevirerek yer kürenin dönme ekseninin eğiklik açısını değiştireb… | ✓I ve III
fen-mv-011 | F.8.1.1.1 | z4 | k0 | Bir okulun teknoloji kulübü, binanın çatısına yerleştirdiği ölçerle yılın altı ayında, her ayın 21'inde öğle vakti bir metrekarel… | ✓I ve II
fen-mv-012 | F.8.1.1.1 | z4 | k0 | Bir şirketin iki fabrikası vardır: K fabrikası Kuzey Yarım Küre'de, L fabrikası Güney Yarım Küre'dedir. İki fabrikanın çatısında … | ✓I ve II
fen-mv-113 | F.8.1.1.1 | z1 | k1 | Bir yerde Güneş ışınlarının yere düşme açısı büyüdükçe aşağıdakilerden hangisi artar? | ✓Birim yüzeye düşen ışık enerjisi miktarı
fen-mv-114 | F.8.1.1.1 | z1 | k1 | Aşağıdaki şemada 21 Mart tarihinde Güneş ışınlarının Dünya'ya düşme durumu gösterilmiştir. Buna göre bu tarih için aşağıdakilerde… | ✓İki yarım küre de ışınları eşit açıyla alır,…
fen-mv-115 | F.8.1.1.1 | z1 | k1 | Aşağıdakilerden hangisi mevsimlerin oluşmasında etkili değildir? | ✓Dünya'nın kendi ekseni çevresinde dönmesi
fen-mv-116 | F.8.1.1.1 | z1 | k1 | Bir öğrenci, yaşadığı şehirde öğle vakti Güneş'in ufuktan yüksekliğini iki ayrı tarihte ölçmüş ve sonuçları aşağıdaki şekle işlem… | ✓21 Haziran'da ışınlar daha dik düşer, birim …
fen-mv-117 | F.8.1.1.1 | z1 | k1 | Kuzey Kutup Dairesi'nin içinde kalan bir yerleşim yerinde haziran ayında Güneş gece boyunca ufkun altına inmemekte, gökyüzünde ka… | ✓Dünya'nın dönme ekseninin dolanma düzlemine …
fen-mv-118 | F.8.1.1.1 | z1 | k1 | Mevsimlerin oluşumu anlatılırken kullanılan "birim yüzeye düşen ışık enerjisi" ifadesi aşağıdakilerden hangisini anlatır? | ✓Yüzeyin her bir metrekaresine düşen ışık ene…
fen-mv-119 | F.8.1.1.1 | z2 | k1 | Bir öğrenci, yurt dışındaki bir okulla yaptığı yazışmada iki ülkenin okul takvimini karşılaştırmış ve yaz tatili aylarını aşağıda… | ✓II ve III
fen-mv-120 | F.8.1.1.1 | z2 | k1 | Kuzey Yarım Küre'deki bir şehrin meteoroloji istasyonu, dört ayda günlük ortalama güneşlenme süresini ölçmüş ve sonuçları aşağıda… | ✓Ocakta birim yüzeye düşen ışık enerjisi en a…
fen-mv-121 | F.8.1.1.1 | z2 | k1 | Kuzey Yarım Küre'deki bir kasabada sokak lambaları, hava kararınca kendiliğinden yanıp aydınlanınca sönmektedir. Belediye, lambal… | ✓I, II ve III
fen-mv-122 | F.8.1.1.1 | z2 | k1 | Bir yer gözlem uydusu, Kuzey Yarım Küre'de karla kaplı alanın büyüklüğünü yıl boyunca ölçmektedir. Uydunun iki ayrı ayda yaptığı … | ✓Ocakta ışınlar bu yarım küreye daha eğik düş…
fen-mv-123 | F.8.1.1.1 | z2 | k1 | Bir kafe zincirinin biri Kuzey, diğeri Güney Yarım Küre'de bulunan iki şubesinde aynı aylarda en çok satılan içecekler tabloda ve… | ✓I ve II
fen-mv-124 | F.8.1.1.1 | z2 | k1 | Bir bisiklet kulübü, açık havada yaptığı antrenmanları hava aydınlıkken bitirecek biçimde planlamaktadır. Kulüp, temmuz ayında an… | ✓Eksen eğikliği nedeniyle gündüz süresinin yı…
fen-mv-125 | F.8.1.1.1 | z2 | k1 | Bir gezgin, günlüğüne şunları yazmıştır: "Bugün 21 Aralık. Bulunduğum şehirde Güneş sabah erken doğdu, akşam geç battı; gündüz ya… | ✓Güney Yarım Küre'dedir ve yaz mevsimi yaşanm…
fen-mv-213 | F.8.1.1.1 | z2 | k2 | Bir köy okulunun öğrencileri, güneş enerjisiyle tuzlu sudan içme suyu elde eden bir damıtma düzeneği kurmuştur. Düzenek okul bahç… | ✓I ve II
fen-mv-214 | F.8.1.1.1 | z2 | k2 | Bir gezi sitesinde şu tanıtım yayımlanmıştır: "Temmuz ayında kayak yapmak isteyenleri Güney Yarım Küre'deki kayak merkezlerine be… | ✓Yalnız I
fen-mv-215 | F.8.1.1.1 | z2 | k2 | Bir tarım meslek lisesinin bahçesinde, toprağın 5 cm derinliğindeki sıcaklığı her ayın 21'inde öğle vakti hep aynı noktada ölçülm… | ✓I, II ve III
fen-mv-216 | F.8.1.1.1 | z2 | k2 | Bir araç, açık bir otoparkta gün boyunca hep aynı yerde güneş altında bırakılmıştır. Aracın camları kapalıyken öğle vakti iç sıca… | ✓I ve II
fen-mv-217 | F.8.1.1.1 | z2 | k2 | Bir müzenin cam tavanlı salonunda, eserleri korumak için otomatik bir perde sistemi kurulmuştur. Sistem yaz aylarında öğle saatle… | ✓Yaz aylarında ışınlar cam tavana daha dik ge…
fen-mv-218 | F.8.1.1.1 | z2 | k2 | Kuzey Yarım Küre'deki bir apartmanda, aynı katta bulunan ve büyüklükleri eşit olan iki dairenin pencereleri farklı yönlere bakmak… | ✓K dairesinin pencerelerine ışınlar daha dik …
fen-mv-219 | F.8.1.1.1 | z2 | k2 | Bir gözlemevi, 21 Haziran günü iki şehirde öğle vakti Güneş'in ufuktan yüksekliğini ve o günkü gündüz süresini ölçmüştür. Ölçümle… | ✓L şehri Güney Yarım Küre'dedir ve orada kış …
fen-mv-220 | F.8.1.1.1 | z3 | k2 | Bir hava durumu sitesi, K ve L şehirlerinin aylık ortalama sıcaklıklarını aynı grafikte yayımlamıştır. İki şehir de deniz kıyısın… | ✓I ve II
fen-mv-221 | F.8.1.1.1 | z3 | k2 | Bir belediye, parklarındaki çimlerin sulama programını toprağın günlük su kaybına göre belirlemektedir. Ölçümler aynı parkta yapı… | ✓I ve II
fen-mv-222 | F.8.1.1.1 | z3 | k2 | Kuzey Kutup Dairesi'nin içinde kurulmuş bir araştırma istasyonunda görevli ekip, bir yıl boyunca gökyüzü gözlemlerini günlüğüne y… | ✓I, II ve III
fen-mv-223 | F.8.1.1.1 | z3 | k2 | Bir kültür dergisinde şu bilgi yer almaktadır: "Anadolu'da 21 Mart, baharın başlangıcı sayılır ve yüzyıllardır bayram olarak kutl… | ✓Yalnız I
fen-mv-224 | F.8.1.1.1 | z3 | k2 | Mektup arkadaşı olan iki öğrenci, 21 Haziran günü bulundukları şehirlerde Güneş'in doğuş ve batış saatlerini not edip birbirlerin… | ✓I ve II
fen-mv-225 | F.8.1.1.1 | z3 | k2 | Bir açık hava sineması, gösterilerini hava tam karardıktan sonra başlatmaktadır. İşletme, aynı şehirde dört ayda uyguladığı başla… | ✓I ve II
fen-mv-313 | F.8.1.1.1 | z3 | k3 | Bir kuş gözlem derneği, ayağına halka takılan bir göçmen kuşun yıl içinde bulunduğu bölgeleri kaydetmiştir. Kayıtların bir bölümü… | ✓Yalnız I
fen-mv-314 | F.8.1.1.1 | z3 | k3 | Uluslararası bir yelken federasyonu, açık deniz yarışlarını her ülkede o ülkenin yaz aylarında düzenlemektedir. Federasyonun yayı… | ✓I ve II
fen-mv-315 | F.8.1.1.1 | z3 | k3 | İnsan derisi, üzerine düşen güneş ışığının etkisiyle D vitamini üretir. Kuzey Yarım Küre'deki bir şehrin hastanesi, yıl içindeki … | ✓I ve II
fen-mv-316 | F.8.1.1.1 | z3 | k3 | Bir araştırma teknesi, 21 Aralık günü Ekvator'dan başlayıp güneye doğru ilerlemiş ve uğradığı üç limanda o günkü gündüz süresini … | ✓I, II ve III
fen-mv-317 | F.8.1.1.1 | z3 | k3 | Kuzey Yarım Küre'deki bir tarihî yapının güney duvarında dar bir pencere bulunmaktadır. Pencereden giren güneş ışığı, yalnızca 21… | ✓Işığın taşa ulaşması için Güneş'in öğle vakt…
fen-mv-318 | F.8.1.1.1 | z3 | k3 | Bir bilim şenliğinde öğrenciler, ağzı kapalı, yassı ve özdeş üç kaba eşit miktarda su doldurup kapları aynı ışık kaynağından eşit… | ✓I ve II
fen-mv-319 | F.8.1.1.1 | z3 | k3 | Bir gök bilim uygulaması, seçilen şehirlerde Güneş'in yerel saatle öğle vaktindeki durumunu göstermektedir. Uygulamanın 21 Aralık… | ✓I ve II
fen-mv-320 | F.8.1.1.1 | z3 | k3 | Bir okulda bilim şenliği için hazırlanan afişte, Dünya'nın Güneş çevresindeki yörüngesinde aralarında üçer ay bulunan dört konumu… | ✓N
fen-mv-321 | F.8.1.1.1 | z4 | k3 | Bir fen dersinde öğretmen tahtaya şunu yazmıştır: "Dünya'nın dönme ekseninin dolanma düzlemiyle yaptığı açı 90° olsaydı, yani eks… | ✓I ve III
fen-mv-322 | F.8.1.1.1 | z4 | k3 | Bir okulun çatısına yerleştirilen ölçer, dört tarihte öğle vakti bir metrekarelik yüzeye düşen ışık enerjisini ölçmüştür. Ölçüm g… | ✓II ve III
fen-mv-323 | F.8.1.1.1 | z4 | k3 | Bir gök bilim kulübü, biri Ekvator üzerinde, diğeri Kuzey Yarım Küre'de orta kuşakta bulunan iki şehirde ölçüm yapmıştır. Her iki… | ✓I ve II
fen-mv-324 | F.8.1.1.1 | z4 | k3 | Bir gök bilim yarışmasında yarışmacılara, 21 Aralık günü üç şehirde yapılan ölçümler verilmiş ve şehirler hakkında yorum yapmalar… | ✓K Kuzey, M Güney Yarım Küre'dedir; o gün bir…
fen-mv-325 | F.8.1.1.1 | z4 | k3 | Bir sınıfta mevsimlerin nedeni tartışılmaktadır. İki öğrencinin görüşü şöyledir: Birinci öğrenci: "Mevsimler, Dünya'nın Güneş'e o… | ✓Aynı tarihte Kuzey ve Güney Yarım Küre'de ha…
fen-mv-013 | F.8.1.1.1 | z2 | k0 | Bir şehirde iki ayrı tarihte Güneş'in doğuş ve batış saatleri ölçülmüş ve tabloya yazılmıştır. Buna göre bu şehirle ilgili aşağıd… | ✓Kuzey Yarım Küre'dedir; haziranda birim yüze…
fen-mv-014 | F.8.1.1.1 | z3 | k0 | Kuzey Yarım Küre'deki bir ülkenin enerji kurumu, aydınlatmanın toplam elektrik tüketimi içindeki payını aylara göre yayımlamıştır… | ✓I ve II
fen-mv-015 | F.8.1.1.1 | z4 | k0 | Farklı şehirlerde yaşayan iki öğrenci, 21 Mart günü bulundukları yerde gündüzün kaç saat sürdüğünü ölçüp birbirlerine bildirmişti… | ✓II ve III
