fen-ik-101 | F.8.1.2.1 | z1 | k1 | Aşağıdakilerden hangisi bir hava olayına örnektir? | ✓Rize'ye bugün öğleden sonra sağanak yağış dü…
fen-ik-220 | F.8.1.2.1 | z3 | k2 | Bir haber ajansının bülteninde şu satırlar yer almıştır: "Bir kamu kurumunun yayımladığı raporda, ülkenin kuzeyindeki A bölgesi i… | ✓A bölgesinde yağış bütün dönemlerde arttığı …
fen-ik-221 | F.8.1.2.1 | z3 | k2 | Bir ilçede yağışlı geçen gün sayısı ile yıllık toplam yağış miktarının iki ayrı dönemdeki ortalamaları tabloda verilmiştir. Tablo… | ✓I ve III
fen-ik-222 | F.8.1.2.2 | z3 | k2 | Bir okulun fen kulübü, bahçesine kurduğu istasyonla 2024 yılı boyunca her gün sıcaklık ve yağış ölçmüş, yıl sonunda bu ölçümlerin… | ✓2024 kentin ortalamasına göre sıcak ve kurak…
fen-ik-223 | F.8.1.2.1 | z3 | k2 | Grafikte Dünya genelinde hesaplanan yıllık ortalama sıcaklığın 1900-2020 arasındaki değişimi yirmişer yıllık aralıklarla verilmiş… | ✓Ortalama sıcaklık bütün dönemlerde bir öncek…
fen-ik-224 | F.8.1.2.2 | z3 | k2 | Bir haber programında iki uzman konuşmaktadır. Meteorolog: "Önümüzdeki hafta ülkemizin batısında sıcaklıklar mevsim ortalamaların… | ✓I ve II
fen-ik-225 | F.8.1.2.1 | z3 | k2 | Tabloda bir kentin iki ayrı otuz yıllık dönem için hesaplanmış ortalamaları ile 2024 yılına ait gerçek ölçümleri birlikte verilmi… | ✓I, II ve III
fen-ik-301 | F.8.1.2.1 | z3 | k3 | Ada, telefonundaki hava durumu uygulamasında yaşadığı ilçe için aşağıdaki beş günlük tahmini görmüştür. Aynı uygulama, ilçenin so… | ✓I, II ve III
fen-ik-302 | F.8.1.2.1 | z3 | k3 | Aşağıdaki grafikte Karaçam ilçesinin uzun yıllar aylık ortalama yağış miktarları verilmiştir. Bir öğrenci, ilçeye taşınacak olan … | ✓Karaçam'da yazlar kurak, kışlar yağışlı geçm…
fen-ik-303 | F.8.1.2.1 | z3 | k3 | Bir kentin birbirine komşu iki mahallesi olan Yamaç ve Sahil'e birer yağış ölçer yerleştirilmiştir. 12 Nisan günü Yamaç'ta 14 mm … | ✓Aynı gün farklı yağış ölçülmesi, hava olayla…
fen-ik-304 | F.8.1.2.1 | z3 | k3 | Bir meteoroloji istasyonu 40 yıldır her gün en yüksek sıcaklığı ve yağış miktarını ölçüp kaydetmektedir. İstasyon bu kayıtlardan … | ✓Çizelge 1 yalnızca üç günün havasını gösteri…
fen-ik-305 | F.8.1.2.2 | z3 | k3 | Bir bilim programına iki konuk katılmıştır. Konuklardan biri hava olaylarını inceleyen meteorolog, diğeri iklimi inceleyen iklim … | ✓II ve III
fen-ik-306 | F.8.1.2.1 | z3 | k3 | Deniz, "Kentimizin iklimi ısındı mı?" sorusunu araştırmak istemiştir. Okul bahçesinde gölgeli bir yere termometre yerleştirmiş, i… | ✓Ölçümün süresi iklim yorumu için yetersizdir…
fen-ik-307 | F.8.1.2.1 | z3 | k3 | Bir gazetenin aynı sayfasında yer alan üç haber başlığı aşağıda verilmiştir. Buna göre numaralanmış başlıklardan hangileri ikliml… | ✓Yalnız III
fen-ik-308 | F.8.1.2.1 | z3 | k3 | Bir öğrenci, iklim ile hava olaylarını karşılaştıran aşağıdaki posteri hazırlamıştır. Öğretmen posteri incelediğinde satırlardan … | ✓II
fen-ik-309 | F.8.1.2.2 | z3 | k3 | İklim bilimciler yalnızca bugünün ölçüm aletleriyle yetinmez; geçmişin iklimini öğrenmek için doğadaki kayıtlara da bakarlar. Örn… | ✓I ve II
fen-ik-310 | F.8.1.2.1 | z3 | k3 | Karadeniz kıyısındaki bir ilçede kırk yıl önce neredeyse hiç zeytin ağacı yokken bugün geniş zeytinlikler bulunmaktadır. İlçeye a… | ✓İlçenin sıcaklık ortalaması tablodaki bütün …
fen-ik-311 | F.8.1.2.1 | z3 | k3 | Bir bölgede yapılan üç gözlem aşağıda verilmiştir. I. Bölgede yıllık ortalama sıcaklığın son elli yılda 1,2 °C yükselmesi II. Bir… | ✓I ve III
fen-ik-312 | F.8.1.2.1 | z3 | k3 | Aşağıdaki tabloda bir kentin uzun yıllar ortalamalarından (iklim normallerinden) bazıları verilmiştir. Ağustos ayında bu kente gi… | ✓Kentte 15 Ağustos günü yağmur yağıp yağmayac…
fen-ik-313 | F.8.1.2.1 | z3 | k3 | Bir enerji şirketi kıyı kesimindeki bir alana rüzgâr santrali kuracaktır. Şirketin mühendisleri hazırlık aşamasında şu görüşleri … | ✓I ve II
fen-ik-314 | F.8.1.2.1 | z3 | k3 | Aşağıdaki grafikte Yeşilyurt kentinin 1980 - 2020 yılları arasındaki yıllık ortalama sıcaklıkları verilmiştir. Grafiği inceleyen … | ✓Yanlıştır; iklimde tek tek yıllar değil, uzu…
fen-ik-315 | F.8.1.2.1 | z3 | k3 | Bir okulun iklim kulübü, "Küresel ısınma hızlanıyor mu?" başlıklı bir pano hazırlamaktadır. Panoya asılacak tabloda atmosferdeki … | ✓Karbondioksit oranı da sıcaklık farkı da iki…
fen-ik-316 | F.8.1.2.1 | z4 | k3 | Aşağıdaki tabloda K ve L kentlerine ait bazı veriler verilmiştir. İki kentte de 14 Şubat günü en yüksek sıcaklık 12 °C olarak ölç… | ✓II ve III
fen-ik-317 | F.8.1.2.2 | z4 | k3 | İklim bilimciler bir dağ buzulunun kapladığı alanı 1970'ten bu yana uydu görüntüleriyle düzenli olarak ölçmektedir. Ölçüm sonuçla… | ✓Bu ölçümler, kısa süreli hava olaylarını inc…
fen-ik-318 | F.8.1.2.1 | z4 | k3 | Ayça ile Bora aynı kentte yaşayan iki öğrencidir. Ayça "Kentimizde yazlar son otuz yılda uzadı mı?" sorusunu, Bora ise "Bu hafta … | ✓I ve II
fen-ik-319 | F.8.1.2.1 | z4 | k3 | Bir havzada iki ayrı otuzar yıllık dönemde ölçülen yağış verileri tabloda verilmiştir. Havzadaki barajı yöneten ekip, taşkın risk… | ✓Yıllık toplam yağış yaklaşık aynı kalmış, ya…
fen-ik-320 | F.8.1.2.2 | z4 | k3 | Bir iklim bilimci, bir bölgeyi değerlendirmek için üç meteoroloji istasyonunun kayıtlarını incelemektedir. Aşağıdaki tabloda ista… | ✓I ve III
fen-ik-321 | F.8.1.2.1 | z4 | k3 | Bir kentte yaşayan bir kişi, "Kentimizde kışlar eskisi kadar soğuk geçmiyor." demiş, gerekçe olarak da "Bu kış kar küreme araçlar… | ✓Sonuç çizelgeyle uyumludur; ancak gerekçe te…
fen-ik-322 | F.8.1.2.2 | z4 | k3 | Bir iklim bilimci kendisiyle yapılan söyleşide şunları söylemiştir: "Bugünden on gün sonra saat 15.00'te kentinize yağmur yağıp y… | ✓I ve II
fen-ik-323 | F.8.1.2.1 | z4 | k3 | Bir kurumun yayımladığı raporda şu iki bölüm yer almaktadır: Birinci bölüm: "Yarın kıyı kesimlerde fırtına bekleniyor; küçük tekn… | ✓II ve III
fen-ik-324 | F.8.1.2.1 | z4 | k3 | Bir kıyı ilçesinde kurulan çalışma grubu, sahil düzenlemesine başlamadan önce ilçenin iklim koşullarının değişip değişmediğini ar… | ✓Üç gözlemin tümü değiştiğine göre ilçenin ik…
fen-ik-325 | F.8.1.2.1 | z4 | k3 | Aşağıdaki tabloda M ve N bölgeleri için iki ayrı otuzar yıllık dönemde hesaplanmış yıllık ortalama sıcaklık ve yıllık ortalama ya… | ✓Yalnız II
fen-ik-001 | F.8.1.2.1 | z1 | k0 | Aşağıdakilerden hangisi bir hava olayına örnektir? | ✓Öğleden sonra başlayan sağanak yağış
fen-ik-002 | F.8.1.2.2 | z1 | k0 | İklimi inceleyen bilim dalının adı aşağıdakilerden hangisidir? | ✓Klimatoloji
fen-ik-003 | F.8.1.2.1 | z1 | k0 | Aşağıdakilerden hangisi bir yerin iklimi hakkında bilgi verir? | ✓Yıllık ortalama yağış miktarı
fen-ik-004 | F.8.1.2.1 | z2 | k0 | Elif'in dedesi, "Ben senin yaşındayken burada kışın sokakta kardan adam yapardık; şimdi kar neredeyse hiç yağmıyor." demiştir. Bu… | ✓Bölgenin uzun yıllar içindeki iklim değişimi…
fen-ik-005 | F.8.1.2.2 | z2 | k0 | Bir kurumda çalışan iki uzmandan biri "Yarın öğleden sonra kıyıda fırtına bekliyoruz." demiştir. Diğeri ise "Son elli yılda bölge… | ✓İklim bilimi (klimatoloji)
fen-ik-006 | F.8.1.2.1 | z2 | k0 | Aşağıdaki tabloda bir kent için hazırlanan üç günlük tahmin verilmiştir. Buna göre bu tabloyla ilgili aşağıdakilerden hangisi doğ… | ✓Kentte beklenen hava olaylarını göstermekted…
fen-ik-007 | F.8.1.2.1 | z2 | k0 | İklim ile hava olayları arasındaki temel fark aşağıdakilerden hangisidir? | ✓Hava olayları kısa, iklim uzun süreyi kapsar.
fen-ik-008 | F.8.1.2.1 | z2 | k0 | Bir kentte 12 Ağustos günü en yüksek sıcaklık 19 °C ölçülmüştür. Kentin ağustos ayı uzun yıllar ortalaması ise 28 °C'dir. Buna gö… | ✓O gün mevsim normallerinin altında serin geç…
fen-ik-009 | F.8.1.2.1 | z3 | k0 | Bir öğrenci, "Hava mı iklim mi daha kısa sürede değişir?" sorusunu araştırmak istemiştir. Kentinin meteoroloji istasyonundan aldı… | ✓Hava sıcaklığı iki günde 11 °C değişirken ik…
fen-ik-010 | F.8.1.2.1 | z3 | k0 | Aşağıdaki grafikte bir kentin uzun yıllar aylık ortalama sıcaklıkları verilmiştir. Buna göre bu grafiğe bakarak aşağıdakilerden h… | ✓Kentte ağustos aylarında bugüne kadar ölçülm…
fen-ik-011 | F.8.1.2.1 | z3 | k0 | Bir öğrenci "Kentimizin iklimi son kırk yılda değişti mi?" sorusunu araştıracaktır. Ulaşabileceği veriler şunlardır: I. Kentin so… | ✓I ve III
fen-ik-012 | F.8.1.2.1 | z3 | k0 | Aşağıdaki tabloda P ve R kentlerinin uzun yıllar ortalamaları verilmiştir. Buna göre bu iki kentle ilgili aşağıdakilerden hangisi… | ✓R kenti P kentinden daha serin ve daha yağış…
fen-ik-013 | F.8.1.2.1 | z4 | k0 | Bir dağ köyünde iki ayrı otuzar yıllık dönemde belirlenen değerler tabloda verilmiştir. I. Köyün iklim özellikleri iki dönem aras… | ✓Yalnız I
fen-ik-014 | F.8.1.2.1 | z4 | k0 | Bir kentin ağustos ayı ortalama sıcaklıkları dönem dönem tabloda verilmiştir. Aynı kentte 2015 ağustosunun ortalaması 26,0 °C, 20… | ✓Uzun dönemli eğilim yerine iki yılın değerin…
fen-ik-015 | F.8.1.2.2 | z4 | k0 | İklim bilimcilerden oluşan bir kurulun raporunda şu bilgiler yer almaktadır: "Küresel ortalama sıcaklık 1880'den bu yana yaklaşık… | ✓I ve II
