mat-kk-101 | M.8.1.3.1 | z1 | k1 | Bir matematik dersinde öğretmen, öğrencilerinden tam kare doğal sayıları ayırt etmelerini istemiştir. Buna göre aşağıdaki sayılar… | ✓64
mat-kk-224 | M.8.1.3.6 | z3 | k2 | Bir bulmaca uygulamasının ekranında √{60} sayısı görünmektedir. Oyuncu, ekranın altındaki dört düğmeden birine basar ve ekrandaki… | ✓√{15}
mat-kk-225 | M.8.1.3.2 | z3 | k2 | Bir kent bahçesinde, kare biçiminde bir kompost alanı ayrılacaktır. Alanın bir kenarı 7 metreden uzun, 8 metreden kısa olacaktır.… | ✓63
mat-kk-313 | M.8.1.3.4 | z3 | k3 | Bir parkta dikdörtgen biçiminde bir yürüyüş yolu yapılmıştır. Yolun alanı ve genişliği aşağıdaki şekilde verilmiştir. Yolun bir k… | ✓7
mat-kk-314 | M.8.1.3.1 | z3 | k3 | Bir kampüste kare biçiminde bir dinlenme terası bulunmaktadır. Terasın alanı 900 m²'dir. Öğrenci sayısı arttığı için teras, kare … | ✓1 225
mat-kk-315 | M.8.1.3.7 | z3 | k3 | Bir kitap kafenin girişine kare biçimli bir tabela asılacaktır. Tabelanın ön yüzünün alanı aşağıdaki şekilde verilmiştir. Kafe sa… | ✓28
mat-kk-316 | M.8.1.3.3 | z3 | k3 | Bir okçuluk kulübünde üç sporcunun bir atışta oku gönderdiği uzaklıklar ölçülmüş ve aşağıdaki tabloya metre cinsinden yazılmıştır… | ✓K < M < L
mat-kk-317 | M.8.1.3.5 | z3 | k3 | Bir anaokulunun bahçesinde dikdörtgen biçiminde bir kum havuzu vardır. Havuzun kenar uzunlukları aşağıdaki şekilde verilmiştir. H… | ✓20√{2}
mat-kk-318 | M.8.1.3.8 | z3 | k3 | Bir cam atölyesinde kare biçiminde dört levha üretilmiştir. Levhaların alanları aşağıdaki tabloda verilmiştir. Atölye, kenar uzun… | ✓N levhası
mat-kk-319 | M.8.1.3.4 | z3 | k3 | Bir takı atölyesinde, bir kenarı √{45} cm olan kare biçimli gümüş levha kesilecektir. Levha, hiç artmayacak biçimde, bir kenarı √… | ✓9
mat-kk-320 | M.8.1.3.2 | z3 | k3 | Bir tarım işletmesi, kare biçimli bir parselin alanını 5 000 m² olarak kaydetmiştir. İşletme, parselin bir kenarının uzunluğunu e… | ✓71
mat-kk-321 | M.8.1.3.6 | z4 | k3 | Bir kodlama atölyesinde öğrenciler küçük bir program yazmıştır. Program, kullanıcının girdiği k doğal sayısı için √{50 · k} ifade… | ✓7
mat-kk-322 | M.8.1.3.2 | z4 | k3 | Bir belediye, sahil yolu boyunca kare biçiminde dinlenme platformları yaptıracaktır. Her platformun alanı 20 m²'den büyük, 300 m²… | ✓13
mat-kk-323 | M.8.1.3.4 | z4 | k3 | Bir vitray atölyesinde, bir kenarı 6√{2} cm olan kare biçimli bir cam levha bulunmaktadır. Ustadan, bu levhadan kesilebilecek en … | ✓8
mat-kk-324 | M.8.1.3.6 | z4 | k3 | Bir ortaokulun bahar şenliği için ikizkenar üçgen biçiminde kumaş flamalar dikilecektir. Her flamanın direğe tutturulan kenarı √{… | ✓6√{3}
mat-kk-325 | M.8.1.3.8 | z4 | k3 | Selin ile Mert, "Kökü Yakala" adını verdikleri bir sayı oyunu oynamaktadır. Her turda Selin, 0 ile 1 arasında olan ve virgülden s… | ✓0,81
mat-kk-013 | M.8.1.3.5 | z1 | k0 | 7√{10} − 4√{10} işleminin sonucu aşağıdakilerden hangisidir? | ✓3√{10}
mat-kk-014 | M.8.1.3.4 | z1 | k0 | √{5} · √{5} işleminin sonucu aşağıdakilerden hangisidir? | ✓5
mat-kk-015 | M.8.1.3.3 | z1 | k0 | √{50} ifadesinin en sade biçimi aşağıdakilerden hangisidir? | ✓5√{2}
mat-kk-016 | M.8.1.3.4 | z2 | k0 | Bir kitap ayracı dikdörtgen biçimindedir. Ayracın kenar uzunlukları aşağıdaki şekilde verilmiştir. Buna göre ayracın alanı kaç cm… | ✓8
mat-kk-017 | M.8.1.3.5 | z2 | k0 | √{27} − √{12} + √{3} işleminin sonucu aşağıdakilerden hangisidir? | ✓2√{3}
mat-kk-018 | M.8.1.3.7 | z2 | k0 | Bir fotoğrafçı, kare biçiminde fotoğraf baskıları yapmaktadır. Bir baskının alanı aşağıdaki şekilde verilmiştir. Buna göre bu bas… | ✓4,4
mat-kk-019 | M.8.1.3.2 | z2 | k0 | Bir doğal sayının karekökü 12 ile 13 arasındadır. Buna göre bu sayı en az kaç olabilir? | ✓145
mat-kk-020 | M.8.1.3.4 | z2 | k0 | Bir terzi, dikdörtgen biçiminde bir kumaş parçasıyla çalışmaktadır. Parçanın alanı √{96} m², bir kenarının uzunluğu ise √{6} m'di… | ✓4
mat-kk-021 | M.8.1.3.8 | z2 | k0 | Ece, hesap makinesiyle √{2} sayısını hesaplamış ve ekranda 1,414213562 sonucunu görmüştür. Ece, "Bu sayı virgülden sonra 9 basama… | ✓Ekrandaki sayı √{2}'nin yaklaşık değeridir v…
mat-kk-022 | M.8.1.3.3 | z3 | k0 | Aşağıdaki ifadelerden hangisinin değeri 7 ile 8 arasındadır? | ✓3√{6}
mat-kk-023 | M.8.1.3.1 | z3 | k0 | Bir sitenin bahçesinde kare biçiminde iki oyun alanı yapılacaktır. Birinci alanın alanı aşağıdaki şekilde verilmiştir. İkinci ala… | ✓256
mat-kk-024 | M.8.1.3.7 | z3 | k0 | Bir biyoloji laboratuvarında mikroskopla incelenen kare biçimli bir doku kesitinin alanı 0,0025 mm² olarak ölçülmüştür. Buna göre… | ✓0,05
mat-kk-025 | M.8.1.3.1 | z3 | k0 | Bir etkinlikte öğrencilerden 675 sayısını, bölümün tam kare bir doğal sayı olmasını sağlayacak biçimde bir doğal sayıya bölmeleri… | ✓3
mat-kk-026 | M.8.1.3.7 | z3 | k0 | Bir matbaada kare biçimli bir karton levhadan, kare biçimli etiketler kesilmektedir. Levhanın alanı ve bir etiketin kenar uzunluğ… | ✓16
mat-kk-027 | M.8.1.3.3 | z4 | k0 | Bir bahçe merdiveninin basamakları aşağıdan yukarıya doğru giderek genişlemektedir. İlk dört basamağın genişlikleri aşağıdaki şek… | ✓6√{2}
mat-kk-028 | M.8.1.3.1 | z4 | k0 | Bir salonun zemini kare biçimindedir ve bir kenarı 30 cm olan kare fayanslarla, hiçbir fayans kesilmeden ve boşluk kalmadan kapla… | ✓4,8
mat-kk-029 | M.8.1.3.2 | z4 | k0 | Kare biçiminde bir bahçenin alanı 540 m²'den büyük, 600 m²'den küçüktür. Bahçenin bir kenar uzunluğu tam sayı metredir. Buna göre… | ✓576
mat-kk-030 | M.8.1.3.8 | z4 | k0 | Kare biçiminde bir sebze bahçesinin alanı 18 m²'dir. Buna göre bu bahçenin bir kenar uzunluğu ile ilgili aşağıdakilerden hangisi … | ✓4 ile 5 metre arasında olan irrasyonel bir s…
